Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc	FromDLC
Chat_Place_LongHu	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Thiên Địa Ngũ Phương Bất Diệt Trận》, dưới sự bao phủ của thiên địa ngũ phương bất diệt giới, thật sự là vạn pháp đều bị tiêu diệt.							
Chat_Place_Shu	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Kiếm Đàm của môn phái có chứa đạo sinh diệt, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_Shu	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Bát Môn Huyền Kim Thiên Kiếp Kiếm Trận》, trận pháp sinh tử biến hóa, thật sự là cả công lẫn thủ đều sẵn sàng.							
Chat_Place_Shu	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Ứng Dương[/color] của môn phái, sư phụ trước đây được gọi là người đầu tiên sau Tổ Sư Thanh Liên, thật tiếc là ngàn năm trước đã ngã xuống trong một thảm họa, thật đáng tiếc.					Npc_Shu_1	Npc_Shu_1	
Chat_Place_WuLian	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Môn phái chúng ta có nhiều tranh chấp với Bách Man Sơn, may mắn có trưởng lão [color=#ff0000]Gian Minh[/color] giám sát động thái của Bách Man Sơn, mới giúp chúng ta chiếm được nhiều lợi thế.					Npc_QiXia_1	Npc_QiXia_1	
Chat_Place_WuLian	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	[desc_daytime=-20], đệ tử của môn phái [color=#ff0000]Lâm Tư Nguyên[/color] đã phát hiện một tiên phủ ở nước ngoài, suýt chút nữa gặp nguy hiểm, may nhờ trưởng lão trong phái cứu giúp mới sống sót. Trời phú cho chúng ta Qúy Hạ Tông!					Npc_QiXia_3	Npc_QiXia_3	
Chat_Place_WuLian	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Trưởng lão [color=#ff0000]Nguyệt Thanh Sầu[/color] và trưởng lão [color=#ff0000]Ninh Tiêu[/color] đã quen biết nhau từ khi còn là phàm nhân, sau đó cùng nhau nhập môn, cùng tu hành, thật khiến người ta ghen tị.					Npc_QiXia_2	Npc_QiXia_2|Npc_QiXia_4	
Chat_Place_WuLian	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Linh Ngọc Phong của môn phái có chứa đạo sinh ra muôn linh, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_WuLian	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Ngũ Phong Trấn Quy Khư》, dưới sự bao phủ của Ngũ Phong, thật sự kiên cố như đá.							
Chat_Place_BaiMan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	[color=#ff0000]Ba Hàn[/color] người này phụ trách canh giữ cửa núi, thường thì mọi động thái trong phái đều rõ ràng. Không chỉ thông tin linh hoạt, mà còn có nhiều lợi lộc, thật khiến người ta ghen tị.					Npc_BaiMan_1	Npc_BaiMan_1	
Chat_Place_BaiMan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	[desc_daytime=-20], đại năng của môn phái [color=#ff0000]Tích Điêu Chuyết[/color] đã tăng cường sức mạnh, sau đó, lần lượt có các cao thủ trong phái tiến bộ mạnh mẽ, không biết đã nhận được cơ duyên gì.					Npc_BaiMan_2	Npc_BaiMan_2	
Chat_Place_BaiMan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Bạch Chỉ[/color] của môn phái là người thông minh, có nhiều mối quan hệ, luôn phụ trách tiếp đón khách từ các môn phái khác, Bằng Hữu khắp nơi, là người thông tin nhanh nhất của môn phái.					Npc_BaiMan_3	Npc_BaiMan_3	
Chat_Place_BaiMan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Vạn Cốt Tà Pháp Đàn của môn phái có chứa đạo thời gian suy tàn, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_BaiMan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Cửu Ngự Phú Long Hình Trận》, pháp thần hồn vỡ nhìn từ xa cũng khiến người ta cảm thấy rung động, thật sự rất mạnh mẽ.							
Chat_Place_XianKong	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Môn phái Thất Thiên Úc không gì khác ngoài [color=#ff0000]Chu Phi[/color], chỉ cần định kỳ tiếp nhận mật lệnh của nội địa Trung Nguyên, và báo cáo cho cấp cao trong phái là được. Công việc nhẹ nhàng, lợi lộc nhiều, lại không cản trở tu luyện, thật khiến người ta ghen tị.					Npc_QiQian_2	Npc_QiQian_2	
Chat_Place_XianKong	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Huyền Từ Thiên Khuyết của môn phái có chứa thiên địa quy tịch chi đạo, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_XianKong	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Bắc Đẩu Chân Vũ Lục Ma Đại Trận》, bí thuật Bắc Đẩu phá vọng lại có sức mạnh xuyên qua mọi thứ, thật là một tiên trận vô thượng.							
Chat_Place_Hei	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Ưu Mặc Nhiễm[/color] của môn phái phụ trách canh giữ thư viện, trong thư viện có ghi chép nhiều bảo vật cổ xưa đã thất truyền, nhìn những thứ đó giống như xem tiểu thuyết, chỉ để giải trí, không có ý nghĩa gì. Môn phái Thất Sát lấy sát làm đạo, thật là may mắn cho nàng kiên nhẫn.					Npc_QiSha_2	Npc_QiSha_2	
Chat_Place_Hei	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Thất Sát Thần Bi của môn phái có chứa đạo vạn vật diệt vong, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_Hei	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Trừ Tiên Kiếm Trận》, bốn thanh kiếm đồng loạt phát ra, vạn vật đều tiêu tan, không hổ danh là trận sát đầu tiên của thời đại cổ.							
Chat_Place_HeHuan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Đại năng [color=#ff0000]Yên Liên[/color] của môn phái luôn rất quan tâm đến bí mật lịch sử cổ đại, biết nhiều bí mật cổ xưa. Nghe nói [desc_daytime=-20], khi đi sứ Bách Man Sơn đã trả lời một câu hỏi, đã nhận được một trăm ngàn linh thạch làm thưởng. Có vẻ như nghiên cứu lịch sử thật sự là một con đường nhanh chóng để phát tài.					Npc_HeHuan_2	Npc_HeHuan_2	
Chat_Place_HeHuan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Nghe nói trong Huyền Âm Thánh Tuyền của môn phái có chứa đạo tạo hóa, nếu áp dụng vào trận pháp sẽ rất mạnh mẽ... không biết có thật không...							
Chat_Place_HeHuan	0	[HENAME] đạo hữu, môn phái của ngươi có tin tức gì thú vị không?	Vài ngày trước thấy có người trong phái đang luyện 《Tam Âm Tam Tuyệt Trận》, với sức mạnh thuần âm để điều khiển pháp, thật sự có sức mạnh như vậy, khiến người ta trầm trồ.							
Chat_Place_BirthPlace14	1	Nơi này có chuyện gì đáng nói không?	Đây là khu vực núi Đồng Long, gần đây phía đông nam dường như có một người kỳ lạ xuất hiện... thật khiến người ta lo lắng...							
Chat_Place_BirthPlace14	1	Nơi này có chuyện gì đáng nói không?	Trên thế giới có nhiều vũ khí sắc bén như cắt sắt như bơ, nhưng ít nghe thấy vũ khí cùn như cắt bùn như sắt. Vũ khí sắc bén chuyên dùng để khai thác cứng, vũ khí cùn chuyên dùng để xây dựng giòn, mỗi loại đều có công dụng riêng. Chúng ta sử dụng đều là vũ khí sắc bén, nghe nói trên thế giới hiếm có vũ khí cùn để khai thác ngọc, nhưng không biết ở đâu có thể tìm thấy.							
Chat_Place_JiuHua1	1	Nơi này có chuyện gì đáng nói không?	Trước đây ta thấy một người biểu diễn, anh ta mang theo nhiều thú hoang, những thú hoang đó còn tự xếp hàng. Có một lần anh ta đến, bị một người mặc da thú gọi lại nói vài câu, tất cả thú hoang đều bị người mặc da thú đó thu lại, người biểu diễn cũng đi theo anh ta, sau đó không bao giờ thấy anh ta quay lại.							
Chat_Place_Desert4	1	Nơi này có chuyện gì đáng nói không?	Ở đây mặc dù khô hạn, nhưng cũng có lúc mưa.							
Chat_Place_FertileField1	1	Nơi này có chuyện gì đáng nói không?	Ông nội ta nói, trên đỉnh núi cao nhất thế giới có một cái ao, trước đây còn phun lửa!							
Chat_Place_FertileField2	1	Nơi này có chuyện gì đáng nói không?	Trong rừng Thần Mộc có một số nấm kỳ lạ, ăn vào rồi thấy nhiều tiên nữ đang giúp ta chặt đá, thật vui vẻ!							
Chat_Place_FertileField3	1	Nơi này có chuyện gì đáng nói không?	Ta trước đây đã đến sa mạc làm ăn, có một ngôi làng, mọi người chỉ ăn thịt sống! Bột mì họ hoàn toàn không ăn cũng không biết làm!							
Chat_Place_CentralPlains4	1	Nơi này có chuyện gì đáng nói không?	Vài ngày trước trong làng có một người ăn nấm mua từ nơi khác, ngủ li bì ba ngày, khi ngủ thì thỉnh thoảng ra mồ hôi, thỉnh thoảng lại cười lớn. Kết quả tỉnh dậy sau đó nói với chúng ta rằng anh ta đã thấy mọi người trong làng đều biến thành chim, chúng ta đều cảm thấy anh ta điên, nhưng sau đó anh ta cũng khá bình thường.							
Chat_Place_CentralPlains5	1	Nơi này có chuyện gì đáng nói không?	Một ngày nọ có một người từ nơi khác bán nấm, rất rẻ, ta mua một ít về nhà ăn, cảm thấy trên tường toàn là hoa, ta cứ hái mãi. Không biết bao nhiêu ngày sau, phát hiện mọi người đều nhìn ta bằng ánh mắt lạ lùng, hóa ra ta cứ đào đất ở cạnh tường...							
Chat_Place_BirthPlace11	1	Nơi này có chuyện gì đáng nói không?	Bờ sông màu mỡ, sản lượng bột mì rất cao, tổ tiên chúng ta sản lượng lúa mì không thua kém họ, nhưng sản lượng bột mì lại không bằng một nửa, không biết vì sao.							
Chat_Place_BirthPlace13	1	Nơi này có chuyện gì đáng nói không?	Chúng ta đã bán rất nhiều bông cotton cho làng Lưu Khê, người ở đó may vá cực kỳ nhanh, trong đó công nhân nữ đều đeo một thứ giống như bảo vệ cổ tay.							
Chat	1	Nơi này có chuyện gì đáng nói không?	Nghe nói nhà hàng xóm của ông Vương lại có thêm một thành viên mới, thật ghen tị!							
Chat	1	Nơi này có chuyện gì đáng nói không?	Gần đây một số thanh niên trong làng cũng bị mê muội, ngày nào cũng chặn ở đầu làng, gây rối gì đó, còn động tay đánh bắt giữ. Thật là tội ác.							
Chat	1	Nơi này có chuyện gì đáng nói không?	Không có chuyện gì mới, mọi thứ đều bình thường! Ta thật muốn có một dịp tiên đến với mình. Nhưng ta chưa bao giờ thấy tiên nhân, thật khiến người ta thất vọng...							
Chat	1	Nơi này có chuyện gì đáng nói không?	Vài ngày trước gặp một người làm chìa khóa, những gì anh ta nói thật khiến người ta tức giận.							
Chat	1	Nơi này có chuyện gì đáng nói không?	Gần đây đồ ăn trong làng thường mất tích, thật kỳ lạ.							
Chat	1	Nơi này có chuyện gì đáng nói không?	Ngươi nói có khả năng nào không, những tiên nhân cao cả cũng sẽ lén lấy đồ của chúng ta?							
Chat	2	[HENAME] đạo hữu, gần đây có tin tức gì thú vị không?	Nói ra thật tức giận, hôm đó ta đấu pháp với người khác, mới sử dụng một nửa chiêu, đã bị người ta nói là học lén tuyệt học của Tây vực. Thật sự tức chết ta... Phải biết rằng trên thế giới, kiếm thuật khởi đầu không ngoài vài loại hình thức... nếu không phân biệt rõ sự thay đổi tiếp theo, thì làm sao có thể kết luận như vậy?							
Chat	2	[HENAME] đạo hữu, gần đây có tin tức gì thú vị không?	Gần đây sư đệ luôn thúc giục ta nhanh chóng đột phá cảnh giới, nhưng đột phá cảnh giới là chuyện lớn, sao có thể qua loa? Ta chỉ có thể nói một câu sắp rồi sắp rồi, thật là khổ sở.							
Chat	2	[HENAME] đạo hữu, gần đây có tin tức gì thú vị không?	Gần đây ta bỗng nhiên có chút ngộ ra: Đạo tu hành, nói với người khác, dù tốt hay xấu, đều không thể nắm giữ, cũng đều là ngoại vật. Đạo ở đâu, cuối cùng đều quay về bản thân. Có thể không áy náy với lòng mình, thì đã đủ rồi.							
Chat	2	[HENAME] đạo hữu, gần đây có tin tức gì thú vị không?	Nói đến thuật phù chú, đương nhiên phải nhắc đến trưởng lão [color=#ff0000]Hà Túc Đạo[/color] của cực thiên cung.					Npc_JiTian_1	Npc_JiTian_1	MiFaXuanZhang
ZhuLongChat	0	Có phải là hóa thân của Thiên Đạo Âm Dương, Chúc Long? Có vẻ như có gì đó kỳ lạ, đột nhiên xuất hiện ở đây, có chuyện gì đã xảy ra không?	Ta chính là Chúc Long, gần đây có một số vật từ dị giới mang theo hơi thở của thiên đạo dị giới tràn vào thế giới này, ta bị ảnh hưởng, hiện ra hình dạng như vậy. Trong những vật từ dị giới này có một vật gọi là “Tiền Cầu Phúc”, trên đó ngưng tụ những tâm niệm ước vọng của người từ dị giới, thật thú vị. Nếu ngươi Nguyện đem hiến cùng ta, ta nguyện vận dụng thiên đạo chi lực thỏa mãn các ngươi một cái nguyện vọng.							


