Tag	TargetType	Q	MA	SA	FA	fParam	sParam
T_Carry_Discuss	0	Ngươi lại mang theo một [TXT], trong những lúc quan trọng thật sự rất cần thiết, Ngươi thật là người suy nghĩ xa!	Không phải đã nói rồi sao?	Đúng vậy, ngươi cũng thấy [TXT] rất quan trọng? Có vẻ như ngươi cũng là người có tư duy!	Hả? Ý ngươi là gì? (bảo vệ túi của mình)		
T_Carry_Ask	0	Không biết Ngươi thường mang theo những gì khi đi lại?	Không phải đã nói rồi sao?	Đi trong giang hồ, [TXT] ta luôn mang theo bên mình, trong những lúc quan trọng thì rất có ích.	Hả? Ý ngươi là gì? (bảo vệ túi của mình)		
T_Esoterica_Discuss	0	Nghe nói Ngươi thành thạo [TXT], thật là tuyệt vời, nếu Ta có trình độ như Ngươi thì thật hài lòng.	Không phải đã nói rồi sao?	Mối quan hệ của chúng ta, muốn học ta dạy ngươi nhé! Với năng lực của ngươi, nắm bắt điều này chắc chắn không có vấn đề gì.	Ô? ngươi muốn làm gì?		
T_Esoterica_Ask	0	Không biết Ngươi giỏi những gì?	Không phải đã nói rồi sao?	ta khá giỏi [TXT].	ta sao phải nói cho ngươi biết?		
T_Feature_Discuss	0	Thực ra Ta cũng là một người [TXT], đôi khi thật sự rất khổ sở vì điều đó, nhưng biết làm sao bây giờ?	Không phải đã nói rồi sao?	Ừ ừ, ngươi cũng vậy sao? Ồ, có vẻ như chúng ta là đồng loại…	ngươi có ý gì? Không lẽ muốn chế nhạo ta?		
T_Feature_Ask	0	(Chủ đề này có lẽ không phù hợp để hỏi trực tiếp, vẫn nên thu thập thông tin từ người khác, rồi từ đó mở rộng chủ đề.)	……	……	……		
T_HateItem_Discuss	0	Nói sao trên thế giới lại có những thứ [TXT] đáng ghét như vậy? Ngươi có thấy đúng không…	Không phải đã nói rồi sao?	A a! ngươi cũng ghét cái này sao! ta cũng có cảm giác như vậy, thật sự muốn phá hủy tất cả [TXT] trên thế giới.	Sao? Ý ngươi là coi thường ta à?		
T_HateItem_Ask	0	Ngươi có những thứ gì không thích không?	Không phải đã nói rồi sao?	Có, ta rất ghét [TXT], thật sự muốn phá hủy tất cả [TXT] trên thế giới.	ta sao phải nói cho ngươi biết?		
T_Hobby_Discuss	0	Thực ra Ta cũng có một [TXT], trải nghiệm của Ta rất giống Ngươi… ôi, thật khó nói.	Không phải đã nói rồi sao?	ngươi cũng đã có trải nghiệm như vậy? Quả thật, cảm giác như thế này người ngoài rất khó hiểu…	(Khuôn mặt thay đổi) ngươi nói cái này có ý nghĩa gì?		
T_Hobby_Ask	0	(Chủ đề này có lẽ không phù hợp để hỏi trực tiếp, vẫn nên thu thập thông tin từ người khác, rồi từ đó mở rộng chủ đề.)	……	……	……		
T_LikeItem_Discuss	0	Ta đặc biệt thích [TXT], có [TXT], Ta mới cảm nhận được mình đang sống thật sự!	Không phải đã nói rồi sao?	ngươi cũng có cảm giác như vậy? ta thật không dám tưởng tượng cuộc sống không có [TXT] sẽ như thế nào!	Ô? Tại sao đột nhiên nói về cái này?		
T_LikeItem_Ask	0	Ngươi có những thứ gì thích không?	Không phải đã nói rồi sao?	Nói về điều này, ta đã không còn buồn ngủ nữa! ta rất thích [TXT], thật sự là món quà từ trời.	ta sao phải nói cho ngươi biết?		
T_Secret_Discuss	0	Thực ra Ta khá tò mò về một số điều liên quan đến [TXT], thật sự rất thú vị!	Không phải đã nói rồi sao?	Về [TXT], ta cũng biết một chút gì đó, như vậy đó…	Ô? Tại sao đột nhiên nói về cái này?		
T_Secret_Ask	0	(Trong trường hợp không biết gì, thật sự không biết bắt đầu từ đâu. Vẫn nên ít nhất thu thập được một số thông tin từ người khác, rồi mới hỏi một cách khéo léo…)	……	……	……		


