蓝布薄衣衫	Áo mỏng vải xanh
闵	Mẫn
姬	Cơ
全	Toàn
高	Cao
香柏	Hương Bách
飞扬	Phi Dương
维	Duy
逆浪尊者	Nghịch Lãng Tôn Giả
宰	Tể
盼山	Phán Sơn
康	Khang
袁	Viên
秀	Tinh Tế
太初居士	Thái Sơ Cư Sĩ
林	Lâm
笑白	Tiếu Bạch
航	Hàng
笪	Đát
盼兰	Phán Lan
郑	Trịnh
雪柳	Tuyết Liễu
弘	Hoằng
苗宣	Miêu Tuyên
翻江飞鹰	Phi Ưng lướt sông
毋	Vô
锦	Cẩm
学	Học
费	Phí
代芹	Đại Cần
紫火刀	Đao Tử Hoả
终	Chung
凡松	Phàm Tùng
安	An
项	Hạng
映之	Ánh Chi
陆	Lục
春	Xuân
三头金剑	Ba Đầu Kim Kiếm
殷	Đỏ thẫm
芳	Phương
俏银狐	Ngân Hồ
邓	Đặng
寒松	Hàn Tùng
才	Tài
裘	Cừu
叶	Diệp
莫	Mạc
文	Văn
扶	Phù
墨竹	Mặc Trúc
赤脚尊者	Xích Cước Tôn Giả
齐	Tề
晓曼	Hiểu Mạn
兴思	Hưng Tư
沈	Thẩm
巧风	Xảo Phong
於	Vu
强	Mạnh
演道飞狐	Diễn Đạo Phi Hồ
赋灵术	Phú Linh Thuật
五泉涤心法	Ngũ Tuyền Địch Tâm Pháp
先天罡气	Tiên Thiên Cương Khí
化伤术	Hóa Thương Thuật
求雨术	Cầu Vũ Thuật
甘霖术	Cam Lâm Thuật
风水鉴定	Phong Thủy Giám Định
太和御气诀	Thái Hòa Ngự Khí Quyết
清心咒	Thanh Tâm Chú
御木诀	Ngự Mộc Quyết
天霖诀	Thiên Lâm Quyết
天水化伤术	Thiên Thủy Hóa Thương Thuật
天一真法	Thiên Nhất Chân Pháp
采水诀	Thái Thủy Quyết
入定之术	Thuật Nhập Định
水镜观心定	Thủy Kính Quán Tâm Định
灵息诀	Linh Tức Quyết
玄牝重生法	Huyền Tẫn Trọng Sinh Pháp
乘风诀	Thừa Phong Quyết
同风诀	Đồng Phong Quyết
奔流诀	Bôn Lưu Quyết
归海诀	Quy Hải Quyết
水精真形	Thủy Tinh Chân Hình
水气真形	Thủy Khí Chân Hình
水神真形	Thủy Thần Chân Hình
暴雨术	Bạo Vũ Thuật
九阴真水界	Cửu Âm Chân Thủy Giới
玄魂造命	Huyền Hồn Tạo Mệnh
罡煞合流	Cương Sát Hợp Lưu
醍醐灌顶之术	Đề Hồ Quán Đỉnh Thuật
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
通符书	Thông Phù Thư
云气汇流	Vân Khí Hội Lưu
剑符录	Kiếm Phù Lục
神剑符	Thần Kiếm Phù
玄符录	Huyền Phù Lục
天甲符	Thiên Giáp Phù
咒符录	Chú Phù Lục
神咒符	Thần Chú Phù
结云经	Kết Vân Kinh
祈天经	Kỳ Thiên Kinh
通天符法	Thông Thiên Phù Pháp
天真论	Thiên Chân Luận
无上神符	Vô Thượng Thần Phù
借天符	Tá Thiên Phù
遮天符	Phù Chắn Trời
云行法	Vân Hành Pháp
东木分神书	Đông Mộc Phân Thần Thư
分神之术	Phân Thần Chi Thuật
心斋	Tâm Trai
养吾经	Dưỡng Ngã Kinh
吸星掌	Hấp Tinh Chưởng
天魔舞	Thiên Ma Vũ
心印诀	Tâm Ấn Quyết
寄情之术	Kỹ thuật gửi tình cảm
坐忘论	Tọa Vong Luận
七情剑	Thất Tình Kiếm
魂体寄生	Hồn Thể Ký Sinh
风月幻境	Phong Nguyệt Huyễn Cảnh
如意幻境	Như Ý Ảo Cảnh
同心诀	Đồng Tâm Quyết
脱胎换骨	Thoát Thai Hoán Cốt
长生诀	Trường Sinh Quyết
心剑	Tâm Kiếm
再造形神之术	Tái Tạo Hình Thần Thuật
太上忘情	Thái Thượng Vong Tình
秘宝：清宁飞羽	Bí Bảo: Thanh Ninh Phi Vũ
慧剑斩念	Tuệ Kiếm Trảm Niệm
风神云体	Phong Thần Vân Thể
斩道见我	Trảm Đạo Kiến Ngã
斩念剑	Trảm Niệm Kiếm
极情剑	Cực Tình Kiếm
玉京飞流法	Ngọc Kinh Phi Lưu Pháp
元磁灭绝神光	Nguyên Từ Diệt Tuyệt Thần Quang
和光同尘	Hòa Quang Đồng Trần
回光诀	Hồi Quang Quyết
五气归源	Ngũ Khí Quy Nguyên
玉清定境	Ngọc Thanh Định Cảnh
万法归藏	Vạn Pháp Quy Tàng
谷神大法	Cốc Thần Đại Pháp
庚金神雷	Canh Kim Thần Lôi
回春诀	Hồi Xuân Quyết
烈焰决	Liệt Diệm Quyết
厚土之盾	Hậu Thổ Chi Thuẫn
大衍神算	Đại Diễn Thần Toán
周天神算	Chu Thiên Thần Toán
六壬神算	Lục Nhâm Thần Toán
元始之胎	Nguyên Thủy Chi Thai
秘宝：戊己杏黄旗	Bí Bảo: Mậu Kỷ Hạnh Hoàng Kỳ
玉清太虚神雷	Ngọc Thanh Thái Hư Thần Lôi
庚金元神	Canh Kim Nguyên Thần
庚金元神·圆满	Canh Kim Nguyên Thần·Viên Mãn
甲木元神	Giáp Mộc Nguyên Thần
甲木元神·圆满	Giáp Mộc Nguyên Thần·Viên Mãn
壬水元神	Nhâm Thủy Nguyên Thần
壬水元神·圆满	Nhâm Thủy Nguyên Thần·Viên Mãn
丙火元神	Bính Hỏa Nguyên Thần
丙火元神·圆满	Bính Hỏa Nguyên Thần·Viên Mãn
戊土元神	Mậu Thổ Nguyên Thần
戊土元神·圆满	Mậu Thổ Nguyên Thần·Viên Mãn
太阴锻体	Thái Âm Đoán Thể
少阴锻体	Thiếu Âm Đoán Thể
玄阴锻体	Huyền Âm Đoán Thể
神行术	Thần Hành Thuật
瞬形法	Thuấn Hình Pháp
九州大法	Cửu Châu Đại Pháp
辟邪真法	Tị Tà Chân Pháp
幽剑	U Kiếm
地母玄经	Địa Mẫu Huyền Kinh
凝珀诀	Ngưng Phách Quyết
摄神御鬼大法	Nhiếp Thần Ngự Quỷ Đại Pháp
九幽炼神	Cửu U Luyện Thần
尘暴术	Trần Bạo Thuật
八极炼形诀	Bát Cực Luyện Hình Quyết
灵视神观	Linh Thị Thần Quan
太虚元罡	Thái Hư Nguyên Cương
太虚神盾	Thái Hư Thần Thuẫn
瞬霎诀	Thuấn Sát Quyết
太阴诀	Thái Âm Quyết
少阴诀	Thiếu Âm Quyết
玄阴诀	Huyền Âm Quyết
渊狱诀	Uyên Ngục Quyết
幽狱诀	U Ngục Quyết
通幽秘传	Thông u bí truyền
幽淬之法	Pháp Luyện U Tẩy
灵淬之法	Pháp Luyện Linh Tẩy
坤元真气	Khôn Nguyên Chân Khí
厚德篇	Hậu Đức Thiên
虚空谒神法	Hư Không Nghệ Thần Pháp
坏灭诀	Hoại Diệt Quyết
一剑	Nhất Kiếm
秘宝：一剑	Bí Bảo: Nhất Kiếm


