房间	Phòng
<font color=MYCOLOR>程雪青</font>打了个哈欠。	<font color=MYCOLOR>Trình Tuyết Thanh</font> ngáp.
7天 05:17	7 ngày 05:17
晨光初露，<font color=MYCOLOR>程雪青</font>看<font color=HECOLOR>仰厚</font>好像正无聊，就拉着他聊了聊关于<font color=OBJCOLOR>灵晶地板</font>的事。	Ánh mai vừa ló, <font color=MYCOLOR>Trình Tuyết Thanh</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> có vẻ đang chán nản, liền kéo anh ta nói chuyện về <font color=OBJCOLOR>sàn nhà tinh linh</font>.
7天 06:42	7 ngày 06:42
8天 19:53	8 ngày 19:53
日暮时分，<font color=MYCOLOR>程雪青</font>正在<font color=OBJCOLOR>工作</font>。看<font color=HECOLOR>轩辕士</font>从旁边经过，就抬手打了个招呼。但<font color=HECOLOR>轩辕士</font>面无表情的看了一眼，并没有回应，这让<font color=MYCOLOR>程雪青</font>心里一堵。	Lúc hoàng hôn, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>làm việc</font>. Thấy <font color=HECOLOR>Huyền Nguyên Sĩ</font> đi ngang qua, liền giơ tay chào. Nhưng <font color=HECOLOR>Huyền Nguyên Sĩ</font> chỉ liếc nhìn lạnh lùng mà không đáp lại, khiến <font color=MYCOLOR>Trình Tuyết Thanh</font> cảm thấy bức bối trong lòng.
8天 20:22	8 ngày 20:22
<font color=MYCOLOR>程雪青</font>虽然被<font color=OBJCOLOR>做噩梦</font>的情绪困扰，但他还是把<font color=OBJCOLOR>家常菜</font>做的十分美味。	<font color=MYCOLOR>Tuyết Thanh</font> tuy bị ảnh hưởng bởi <font color=OBJCOLOR>ác mộng</font> nhưng vẫn làm <font color=OBJCOLOR>món ăn gia đình</font> rất ngon.
9天 04:47	9 ngày 04:47
9天 05:13	9 ngày 05:13
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>整理一下。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn sắp xếp lại <font color=OBJCOLOR>cung Tinh Hàn Yêu</font>.
9天 05:44	9 ngày 05:44
<font color=MYCOLOR>程雪青</font>觉得有点无聊。	<font color=MYCOLOR>Trình Tuyết Thanh</font> cảm thấy hơi chán.
9天 16:39	9 ngày 16:39
<font color=MYCOLOR>程雪青</font>突然觉得左眼跳了跳。	<font color=MYCOLOR>Tuyết Thanh</font> đột nhiên cảm thấy mắt trái giật giật.
9天 18:27	9 ngày 18:27
<font color=MYCOLOR>程雪青</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Trình Tuyết Thanh</font> rất <font color=OBJCOLOR>thích</font> <font color=OBJCOLOR>ngày nắng</font>.
11天 00:40	11 ngày 00:40
破晓时分，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然流下眼泪。	Lúc rạng đông, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>nấu ăn</font> món ăn gia đình, bỗng rơi lệ.
12天 06:08	12 ngày 06:08
12天 20:14	12 ngày 20:14
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>清洁一下。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn dọn dẹp <font color=OBJCOLOR>cung Tinh Hàn Yêu</font>.
15天 03:19	15 ngày 03:19
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>狼皮薄衣衫</font>换掉。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn thay <font color=OBJCOLOR>áo mỏng da sói</font>.
15天 03:56	15 ngày 03:56
松柏之侧，<font color=MYCOLOR>程雪青</font>在<font color=OBJCOLOR>烹饪</font><font color=OBJCOLOR></font>时，突然心中一动，对耕作一道又有感悟。	Bên cạnh tùng bách, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>nấu ăn</font> thì đột nhiên trong lòng chợt động, lại có cảm ngộ về <font color=OBJCOLOR>canh tác</font>.
15天 06:51	15 ngày 06:51
16天 06:18	16 ngày 06:18
程	Trình
雪青	Tuyết Thanh
新家园	Tổ ấm mới
胜	Thắng
贺	Hạ
珊	San
毕	Tất
绍	Thiệu
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	<font color=MYCOLOR>Hiên Viên sĩ</font> giẫm phải đồ vật nào đó.
1天 10:07	1 ngày 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	<font color=MYCOLOR>Hiên Viên Sĩ</font> ợ hơi.
3天 06:27	3 ngày 06:27
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Hiên Viên Sĩ</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
4天 07:18	4 ngày 07:18
<font color=MYCOLOR>轩辕士</font>鞋里进了东西。	<font color=MYCOLOR>Hiên Viên sĩ</font> có đồ vật lọt vào giày.
4天 15:45	4 ngày 15:45
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>千里神视符</font>换掉。	<font color=MYCOLOR>Hiên Viên Sĩ</font> muốn thay <font color=OBJCOLOR>Thiên Lý Thị Phù</font>.
5天 09:25	5 ngày 09:25
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>紫布修行衣衫</font>清洁一下。	<font color=MYCOLOR>Hiên Viên Sĩ</font> muốn làm sạch <font color=OBJCOLOR>áo tu luyện vải tím</font>.
6天 12:38	6 ngày 12:38
华灯初上，<font color=MYCOLOR>轩辕士</font>刚刚吃饱喝足，正满意的拍肚子，看到<font color=HECOLOR>程雪青</font>刚好在旁边，就和她打了个招呼。但没想到<font color=HECOLOR>程雪青</font>却并不想理他，这让<font color=MYCOLOR>轩辕士</font>觉得很尴尬。	Đèn hoa vừa lên, <font color=MYCOLOR>Hiên Viên Sĩ</font> vừa ăn no uống đủ, đang hài lòng vỗ bụng, nhìn thấy <font color=HECOLOR>Trình Tuyết Thanh</font> tình cờ ở bên cạnh, liền chào hỏi nàng. Nhưng không ngờ <font color=HECOLOR>Trình Tuyết Thanh</font> lại không muốn để ý đến anh ta, khiến <font color=MYCOLOR>Hiên Viên Sĩ</font> cảm thấy rất khó xử.
<font color=MYCOLOR>轩辕士</font>揉了揉肚子。	<font color=MYCOLOR>Hiên Viên sĩ</font> xoa bụng.
9天 17:34	9 ngày 17:34
<font color=MYCOLOR>轩辕士</font>在吃<font color=OBJCOLOR>干锅田鸡</font>时，突然想起自己的<font color=OBJCOLOR>父亲轩辕兴业</font>。	<font color=MYCOLOR>Hiên Viên Sĩ</font> khi ăn <font color=OBJCOLOR>cán oa điền kê</font>, bỗng nhớ đến <font color=OBJCOLOR>cha Hiên Viên Hưng Nghiệp</font>.
9天 19:53	9 ngày 19:53
<font color=MYCOLOR>轩辕士</font>突然觉得左眼跳了跳。	<font color=MYCOLOR>Hiên Viên Sĩ</font> đột nhiên cảm thấy mắt trái giật giật.
14天 17:38	14 ngày 17:38
<font color=MYCOLOR>轩辕士</font>在喝<font color=OBJCOLOR>水</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	<font color=MYCOLOR>Hiên Viên Sĩ</font> đang uống <font color=OBJCOLOR>nước</font> thì đột nhiên trong đầu hiện lên hình ảnh <font color=OBJCOLOR>Tịch Tín</font>.
16天 04:59	16 ngày 04:59
17天 08:56	17 ngày 08:56
轩辕	Hiên Viên
士	Sĩ
兴业	Hưng Nghiệp
言	Ngôn
诗蕊	Thi Nhị
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>随便看看</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>hơi lạnh</font> quấy rối, chỉ có thể <font color=OBJCOLOR>xem qua</font> để thư giãn tâm trí.
4天 21:39	4 ngày 21:39
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Trời quang vạn lý, <font color=MYCOLOR>Đổng Chi Nhu</font> khi <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> bỗng phát ra một tiếng thở dài.
5天 09:54	5 ngày 09:54
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Trời Vạn Lý không gợn mây, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Quan sát sao đêm</font> bỗng chảy nước mắt.
6天 02:33	6 ngày 02:33
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>muôn màu muôn vẻ</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>chơi nhạc</font> để giải tỏa.
6天 09:33	6 ngày 09:33
天朗气清，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng dưng trăm mối ngổn ngang.
6天 13:08	6 ngày 13:08
天朗气清，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>cha Đổng Minh</font> của bản thân.
7天 10:12	7 ngày 10:12
绿荫之下，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Dưới bóng tán cây, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>quan sát mây cuộn mây tan</font>, chợt nhớ đến <font color=OBJCOLOR>cha mình Đổng Minh</font>.
7天 14:22	7 ngày 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>Cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
8天 13:02	8 ngày 13:02
万里无云，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trời vạn lý không mây, <font color=MYCOLOR>Chi Nhu</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng dưng suy nghĩ miên man.
8天 14:00	8 ngày 14:00
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>hơi nóng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>chơi nhạc</font> để làm trống tâm trí.
10天 01:01	10 ngày 01:01
人定之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>火铜琴台</font>很有意思……	Vào giờ nhân định, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên cảm thấy <font color=OBJCOLOR>Đài cầm Hoả Đồng</font> bên cạnh rất thú vị…
10天 22:51	10 ngày 22:51
日中之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Vào giữa trưa, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt nhớ nhà.
11天 12:11	11 ngày 12:11
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>梧桐木法座</font>很有意思……	Trời quang Vạn Lý, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhìn trần nhà</font> thì chợt thấy <font color=OBJCOLOR>Pháp tọa ngô đồng thần mộc</font> bên cạnh thật thú vị……
11天 13:09	11 ngày 13:09
夕食之刻，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Lúc dùng bữa tối, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng dưng trăm mối ngổn ngang.
12天 16:02	12 ngày 16:02
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font>, đột nhiên cảm thấy bồn chồn khó hiểu.
13天 07:46	13 ngày 07:46
14天 01:53	14 ngày 01:53
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>温度舒适</font>心情不错，忍不住来<font color=OBJCOLOR>跳舞</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>nhiệt độ thoải mái</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>nhảy múa</font> để giải tỏa.
14天 05:15	14 ngày 05:15
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>龟肉</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhìn Trần Nhà</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>Thịt Rùa</font>.
14天 11:43	14 ngày 11:43
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	Đêm tối sâu thẳm, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang <font color=OBJCOLOR>Nhảy múa</font> bỗng thấy ngột ngạt khó chịu.
14天 22:10	14 ngày 22:10
绿荫之下，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	Dưới bóng cây xanh, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>Nhảy múa</font>, đột nhiên nghĩ ngợi muôn vàn.
15天 01:16	15 ngày 01:16
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	Trong môn phái, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Chơi Nhạc</font> thì đột nhiên muốn đến <font color=OBJCOLOR>Tà Đế Lăng</font> xem thử.
17天 12:45	17 ngày 12:45
董	Đổng
之柔	Chi Nhu
明	Minh
郎	Lang
凌春	Lăng Xuân
陈	Trần
慵醉	Thung Túy
江南罩	Giang Nam Trạo
松柏之侧，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>肉干</font>。	Bên cạnh cây tùng bách, <font color=MYCOLOR>Khương Long</font> trong lúc <font color=OBJCOLOR>xem qua</font> bỗng nhiên muốn ăn <font color=OBJCOLOR>thịt khô</font>.
4天 13:54	4 ngày 13:54
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Vừa nguôi giận, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì bỗng thở dài một tiếng.
5天 07:43	5 ngày 07:43
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>突然小难过</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Giang Long</font> bị cảm xúc <font color=OBJCOLOR>Bỗng nhiên buồn nhẹ.</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
6天 00:09	6 ngày 00:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trong môn phái, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bỗng thấy bức <font color=OBJCOLOR>tường linh thạch</font> bên cạnh rất thú vị..
6天 06:06	6 ngày 06:06
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì trong đầu đột nhiên hiện lên hình ảnh của <font color=OBJCOLOR>Bách Lý My</font>.
7天 00:12	7 ngày 00:12
起更之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然想吃<font color=OBJCOLOR>蛙肉</font>。	Vào lúc đổi gác, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt ếch</font>.
7天 20:50	7 ngày 20:50
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然流下眼泪。	Đầu ngày, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>Quan sát mây cuộn mây tan</font> bỗng chảy nước mắt.
8天 08:09	8 ngày 08:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> đột nhiên muốn ăn <font color=OBJCOLOR>thịt bò</font>.
8天 12:17	8 ngày 12:17
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Vạn Lý không mây, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt rơi nước mắt.
8天 13:14	8 ngày 13:14
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trời quang đãng, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng cảm thấy <font color=OBJCOLOR>linh thạch</font> bên cạnh khá thú vị..
8天 15:26	8 ngày 15:26
夜深人静，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>夜观星象</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	Đêm khuya yên tĩnh, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>quan sát sao đêm</font> bỗng cảm thấy <font color=OBJCOLOR>cỏ dại</font> bên cạnh rất thú vị..
8天 22:35	8 ngày 22:35
申时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	Giờ Thân, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>Chơi nhạc</font>, trong đầu bỗng hiện lên hình ảnh của <font color=OBJCOLOR>Bách Lý Mi</font>.
9天 15:29	9 ngày 15:29
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>精致的房间</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Giang Long</font> vì <font color=OBJCOLOR>căn phòng tinh tế</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>chơi nhạc</font> để giải tỏa.
10天 03:36	10 ngày 03:36
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng dưng suy nghĩ miên man.
10天 04:34	10 ngày 04:34
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>娱乐</font>时，突然领会到<font color=OBJCOLOR>《逍遥危燕玉女妙录》</font>的一丝真意。<font color=MYCOLOR>姜龙</font>当场沉浸在这一化境中，等回过神来，发现修为已然大进。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>giải trí</font>, đột nhiên lĩnh ngộ được một chút chân ý của <font color=OBJCOLOR>《Tiêu Diêu Nguy Yến Ngọc Nữ Diệu Lục》</font>. <font color=MYCOLOR>Khương Long</font> lập tức chìm đắm trong cảnh giới cao thâm này, đến khi hoàn hồn thì phát hiện tu vi đã tiến nhanh.
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bất chợt suy tư trăm mối.
10天 23:34	10 ngày 23:34
