祝贺	Chúc mừng
托体同山诀	Thác Thể Đồng Sơn Quyết
琢玉册	Trác Ngọc Sách
丙丁雷泽火	Bính Đinh Lôi Trạch Hỏa
神火合一·雷泽	Thần Hỏa Hợp Nhất·Lôi Trạch
上清先天真焰	Thượng Thanh Tiên Thiên Chân Diễm
神火合一·上清	Thần Hỏa Hợp Nhất·Thượng Thanh
心焰	Tâm Diễm
神火合一·心焰	Thần Hỏa Hợp Nhất·Tâm Diễm
伐毛洗髓之术	Phạt Mao Tẩy Tủy Thuật
上清秘传造化真解	Thượng Thanh Bí Truyền Tạo Hóa Chân Giải
紫薇气摄神功	Thần Công Khí Nhiếp Tử Vi
太上金钟真言	Thái Thượng Kim Chung Chân Ngôn
南海四象咒	Nam Hải Tứ Tượng Chú
腾岳清心秘传	Đằng Nhạc Thanh Tâm Bí Truyền
麒麟沃野宝册	Kỳ Lân Ốc Dã Bảo Sách
镇岳佛心密卷	Trấn Nhạc Phật Tâm Mật Quyển
化形琢玉纲要	Hóa Hình Trác Ngọc Cương Yếu
地龙饕餮	Địa Long Thao Thiết
元坤妙法	Nguyên Khôn Diệu Pháp
醍醐灌顶之术	Đề Hồ Quán Đỉnh Thuật
金丹十二都天咒	Kim Đan Thập Nhị Đô Thiên Chú
忘情十二都天真言	Vong Tình Thập Nhị Đô Thiên Chân Ngôn
彻法覆灭	Triệt Pháp Phủ Diệt
苍木化影	Thương mộc Hóa ảnh
迅击十式	Tấn Kích Mười Thức
迅影密卷	Tấn Ảnh Mật Quyển
破灭七式	Phá Diệt Bảy Thức
合一记	Hợp Nhất Ký
神佑宝典	Thần Hựu Bảo Điển
鬼手通卷	Quỷ Thủ Thông Quyển
万木摄神宝典	Vạn Mộc Nhiếp Thần Bảo Điển
东华神佑秘法	Đông Hoa Thần Hựu Bí Pháp
苍莽摄神要诀	Yêu Quyết Nhiếp Thần Thương Mãng
搜魂大法	Đại Pháp Tìm Hồn
赤月沃野通卷	Xích Nguyệt Ốc Dã Thông Quyển
归真落花	Quy chân lạc hoa
斩天开天真言	Trảm Thiên Khai Thiên Chân Ngôn
曳影宝典	Dạ Ảnh Bảo Điển
归祖要诀	Quy Tổ Yêu Quyết
水涵柏上仙百炼宝册	Thượng Tiên Hàm Bách Bách Luyện Bảo Sách
督子轩真人鲸吞宝典	Chân Nhân Tử Hiên Kình Thôn Bảo Điển
寒月归祖秘传	Bí Truyền Quy Tổ Hàn Nguyệt
炎神殿清心密卷	Mật Quyển Thanh Tâm Viêm Thần Điện
紫薇神农秘法	Bí Pháp Thần Nông Tử Vi
灵犀咒	Linh Tê Chú
心印诀	Tâm Ấn Quyết
分神之术	Phân Thần Chi Thuật
新境琢玉	Tân Cảnh Trác Ngọc
御气落花诀	Ngự Khí Lạc Hoa Quyết
真丹要略	Chân đan yếu lược
未来星宿多宝纲要	Đa Bảo Tương Lai Tinh Tú Cương Yếu
五帝药典	Ngũ đế dược điển
玄机落花诀	Quyết Lạc Hoa Huyền Cơ
多宝回魂咒	Đa Bảo Hồi Hồn Chú
金刚秘要	Kim Cương Bí Yếu
奠基密卷	Điện Cơ Mật Quyển
金刚宝典	Kim Cang Bảo Điển
佛心密卷	Mật Quyển Phật Tâm
多宝秘法	Bí Pháp Đa Bảo
通慧典	Thông Huệ Điển
五戒摄神	Ngũ Giới Nhiếp Thần
乙木多宝宝典	Ất Mộc Đa Bảo Bảo Điển
太乙沃野药典	Thái Ất Ôc Dã dược điển
南海合一	Nam Hải Hợp Nhất
六壬神算	Lục Nhâm Thần Toán
罗祥上仙鲸吞经	Kinh Kình Thôn La Tường Thượng Tiên
五戒天星	Ngũ Giới Thiên Tinh
五台八极神雷	Ngũ Đài Bát C極 Thần Lôi
覆天	Phúc Thiên
金刚密卷	Kim Cương Mật Quyển
金刚秘册	Kim Cương Bí Sách
知节金刚秘法	Trí Tiết Kim Cang Bí Pháp
戎勇上仙金刚宝典	Nhung Dũng Thượng Tiên Kim Cương Bảo Điển
鬼手秘传	Quỷ Thủ Bí Truyền
五内百炼	Ngũ Nội Bách Luyện
多宝多宝宝册	Đa Bảo Đa Bảo Bảo Sách
星辰佛心秘要	Tinh Thần Phật Tâm Bí Yếu
寒月清心秘传	Hàn Nguyệt Thanh Tâm Bí Truyền
白帝宫百炼宝册	Bảo Sách Bách Luyện Bạch Đế Cung
五台开天咒	Ngũ Đài Khai Thiên Chú
过去庄严金刚咒	Quá Khứ Trang Nghiêm Kim Cang Chú
奠基宝典	Điện Cơ Bảo Điển
奠基经	Kinh Điện Cơ
奠基	Điện Cơ
奠基秘册	Điện Cơ Bí Sách
冷月奠基	Lãnh Nguyệt Đặt Nền Tảng
长生金刚要诀	Trường Sinh Kim Cang Yêu Quyết
微草奠基	Vi thảo kiến cơ
腾岳金刚秘法	Đằng Nhạc Kim Cang bí pháp
少林奠基	Thiếu Lâm đặt nền móng
真丹奠基宝典	Chân Đan Để Cơ Bảo Điển
寒月奠基秘要	Hàn Nguyệt Điện Cơ Bí Yếu
三才奠基密卷	Tam Tài Điện Cơ Mật Quyển
凌霄奠基密卷	Mật quyển Điền Cơ Linh Tiêu
鬼手秘法	Quỷ Thủ Bí Pháp
镇岳琢玉秘传	Trấn Nhạc Trác Ngọc Bí Truyền
蜀山妙手秘法	Thục Sơn Diệu Thủ bí pháp
黄庭琢玉	Hoàng Đình Trác Ngọc
腾岳通慧册	Sách Thông Tuệ Đằng Nhạc
三才鬼手秘要	Tam Tài Quỷ Thủ bí yếu
勾陈佛心书	Câu Trần Phật Tâm Thư
华山饕餮秘传	Bí Truyền Thao Thiết Hoa Sơn
太上多宝秘法	Thái Thượng Đa Bảo bí pháp
太上多宝秘传	Thái Thượng Đa Bảo Bí Truyền
御气急诵	Ngự Khí cấp Tụng
曳影剑诀	Dạ Ảnh Kiếm Quyết
归源曳影	Quy Nguyên Dạ Ảnh
南海破灭密卷	Nam Hải Phá Diệt Mật Quyển
摄神	Nhiếp Thần
勾陈合一	Câu Trần Hợp Nhất
再造术	Tái Tạo Thuật
凝光曳影宝典	Bảo Điển Ngưng Quang Duệ Ảnh
迅击	Tấn Kích
迅影	Tấn Ảnh
迅击宝典	Tấn Kích Bảo Điển
气摄	Khí Nhiếp
长青纪要	Trường Thanh kỷ yếu
大日辟谷要诀	Đại Nhật Tịch Cốc Yếu Quyết
金丹神视宝典	Kim Đan Thần Thị Bảo Điển
嵇家归祖	Kê Gia Quy Tổ
吸星掌	Hấp Tinh Chưởng
五泉涤心法	Ngũ Tuyền Địch Tâm Pháp
先天罡气	Tiên Thiên Cương Khí
求雨术	Cầu Vũ Thuật
甘霖术	Cam Lâm Thuật
风水鉴定	Phong Thủy Giám Định
太和御气诀	Thái Hòa Ngự Khí Quyết
清心咒	Thanh Tâm Chú
天霖诀	Thiên Lâm Quyết
天水化伤术	Thiên Thủy Hóa Thương Thuật
天一真法	Thiên Nhất Chân Pháp
采水诀	Thái Thủy Quyết
水镜观心定	Thủy Kính Quán Tâm Định
灵息诀	Linh Tức Quyết
乘风诀	Thừa Phong Quyết
同风诀	Đồng Phong Quyết
奔流诀	Bôn Lưu Quyết
归海诀	Quy Hải Quyết
水精真形	Thủy Tinh Chân Hình
水气真形	Thủy Khí Chân Hình
水神真形	Thủy Thần Chân Hình
暴雨术	Bạo Vũ Thuật
九阴真水界	Cửu Âm Chân Thủy Giới
罡煞合流	Cương Sát Hợp Lưu
寒月圆转密卷	Hàn Nguyệt Viên Chuyển mật quyển
焚日金刚神雷	Phẫn Nhật Kim Cang Thần Lôi
奠基要诀	Điện Cơ Yêu Quyết
琢玉秘传	Trác Ngọc Bí Truyền
龙虎百炼要诀	Long Hổ Bách Luyện Yếu Quyết
五戒琢玉秘要	Ngũ Giới Trác Ngọc Bí Yếu
西海多宝纲要	Tây Hải Đa Bảo Cương Yếu
公西巧风真人鬼手宝册	Công Tây Kiều Phong Chân Nhân Quỷ Thủ Bảo Sách
凌霄鬼手秘传	Lăng Tiêu Quỷ Thủ Bí Truyền
六气多宝通卷	Lục Khí Đa Bảo thông quyển
焚日气摄	Phật Nhật Khí Nhiếp
开天眼之术	Khai Thiên Nhãn Thuật
凌霄崩天宝典	Linh Tiêu Băng Thiên Bảo Điển
真丹神农宝册	Bảo Sách Thần Nông Chân Đan
万木开天咒	Chú Khai Thiên Vạn Mộc
东海落花诀	Đông Hải Lạc Hoa Quyết
苍龙不坏神雷	Thương Long Bất Hoại Thần Lôi
千钧式	Thức Thiên Quân
混元宝典	Hỗn Nguyên Bảo Điển
蓄神要诀	Súc Thần Yêu Quyết
圆转秘要	Viên Chuyển Bí Yếu
长生圆转要诀	Trường Sinh Viên Chuyển Yêu Quyết
金丹破灭十式	Kim Đan Phá Diệt Thập Thức
炎神殿混元	Hỗn Nguyên Viêm Thần Điện
通慧记	Thông Tuệ ký
合一要诀	Hợp Nhất Yêu Quyết
碧光佛心册	Bích Quang Phật Tâm Sách
五戒清心神功	Ngũ Giới Tịnh Tâm thần công
东华归祖神功	Thần Công Quy Tổ Đông Hoa
未来星宿佛心册	Bản Sách Phật Tâm Tinh Túc Vị Lai
苍莽鲸吞纪要	Thương Mãng Kình Thôn Ký Yếu
大日摄神密卷	Đại Nhật Nhiếp Thần Mật Quyển
赤月辟谷神功	Xích Nguyệt Tịch Cốt thần công
苍龙合一记	Thương Long Hợp Nhất Ký
地龙百炼纲要	Địa Long Bách Luyện Cương Yếu
真丹无形神雷	Thần Lôi Vô Hình Chân Đan
阴阳飞星诀	Quyết Phi Tinh Âm Dương
阴阳飞星神雷	Âm Dương Phi Tinh Thần Lôi
坤元秘法	Bí Pháp Khôn Nguyên
混元	Hỗn nguyên.
破灭十式	Phá Diệt Mười Thức
初解迅影七式	Sơ giải Tấn Ảnh Thất Thức
沃野宝册	Ốc Dã Bảo Sách
佛心记	Phật Tâm ký
现在贤摄神要诀	Hiện Tại Hiền Nhiếp Thần Yếu Quyết
武当神佑册	Võ Đang Thần Hựu Sách
万里摄神宝典	Vạn Lý Nhiếp Thần Bảo Điển
阴神夺舍	Âm thần đoạt xá


