ID	Name	Desc	Condition1	Point1	UnLock1	Default	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4	DoLua
104	Bí ẩn diệt môn	Khi điều tra, bạn phát hiện Bách Man Sơn diệt Thái Nhất, dường như là vì một bảo vật tên là “Khí Càn Khôn”. Nhưng vụ việc này không đơn giản như vẻ bề ngoài, theo lời của đại năng Bạch Chí của Bách Man Sơn, những đại năng khác bố trí trận Địa Long hôm đó lại đến từ Chính Đạo! Điều càng kỳ lạ hơn là, sau lưng Bách Man Sơn và Chính Đạo, lại mơ hồ có bóng dáng của Hợp Hoan Phái, Thất Sát Ma Cung, Thất Thiên Ổ, Đan Hạ Động Thiên, Khôn Lôn Cung, Tử Tiêu Tông, sáu phái chính tà đang âm thầm thúc đẩy! Điều này có nghĩa là, hành động lần này, dù rõ ràng hay ẩn giấu, tám phái chính tà đều đang hợp tác. Tiến hành điều tra sâu hơn, một điều kỳ lạ hơn đã xuất hiện, ngoài Bách Man Sơn rõ ràng chỉ vì bảo vật, các phái ẩn sau lại có thái độ tinh tế khác nhau đối với Thái Nhất Môn: ba phái tà ác dường như có một mối thù nào đó với Thái Nhất Môn, bốn phái chính lại là sự sợ hãi và e ngại. Nhưng Thái Nhất Môn chỉ mới được thành lập trong khoảng một trăm năm qua, luôn sống chui lủi ở vùng đông nam, bảy phái còn lại đều là những phái lớn có truyền thừa từ cổ đại, thái độ mơ hồ này thực sự khó hiểu. Nhưng dù sao đi nữa, rõ ràng đây không phải là một mối tình đơn giản có thể giải thích, mà chắc chắn có một bí mật sâu xa hơn ở phía sau. Trong quá trình điều tra, bạn đã thấy những ấn pháp cổ xưa bị thiếu hụt ở Hợp Hoan Tông và Khôn Lôn Cung, sau khi nghiên cứu kỹ càng, bạn phát hiện chúng có một mối liên hệ nào đó, chỉ là thiếu một phần quan trọng nhất, vì vậy không thể phục hồi, điều này cũng khiến bạn rất chú ý.														WorldLua:SetWorldFlag(94,1);WorldLua:SetWorldFlag(95,1)
105	Bí mật ngày xưa - Thái Nhất chí bảo	Thật không ngờ rằng, nguồn gốc của Thái Nhất Môn lại xuất phát từ đại phái cổ đại Đông Hoàng Cung, chỉ là một biến cố lớn cách đây ngàn năm đã khiến Đông Hoàng Cung suýt bị diệt môn, hơn một trăm năm sau, nhân tài của họ mới cải trang và xây dựng lại thành Thái Nhất Môn. Trong thời kỳ cổ đại, có một phái trong Đông Hoàng Cung có cái nhìn bi quan về cuộc chiến tranh giữa tiên và ma lần thứ ba, vì vậy đã chế tạo ra bảo vật “Khí Càn Khôn”, hy vọng khi tai họa đến có thể ẩn mình trong đó mà sống sót, để lại ngọn lửa cho nhân gian. Đến đây, mọi sự thật đã sáng tỏ, Bách Man Sơn không biết từ đâu có được manh mối về bảo vật này, để mưu đoạt bảo vật mà diệt môn Thái Nhất.														
106	Bí mật ngày xưa - Chính đạo khôi thủ	Thật không ngờ rằng, nguồn gốc của Thái Nhất Môn lại xuất phát từ đại phái cổ đại Đông Hoàng Cung, chỉ là một biến cố lớn cách đây ngàn năm đã khiến Đông Hoàng Cung suýt bị diệt môn, hơn một trăm năm sau, nhân tài của họ mới cải trang và xây dựng lại thành Thái Nhất Môn. Trong thời kỳ cổ đại, Đông Hoàng Cung là truyền thừa của ba hoàng cổ đại, là chính đạo không thể chối cãi, thế lực của họ lấn át nhân gian vô địch. Vào thời điểm đó, đang vào thời kỳ chiến tranh giữa tiên và ma lần thứ hai, mười đại tà giáo liên kết với ma đầu, đều bị Đông Hoàng Cung tiêu diệt hoàn toàn. Ngày nay, Bách Man Sơn, Thất Thiên Ổ, Thất Sát Ma Cung và Hợp Hoan Phái chính là những con cá lọt lưới còn sống sót vào thời điểm đó. Đến đây, mọi sự thật đã sáng tỏ, bốn phái này biết rõ gốc gác của Thái Nhất Môn, chắc chắn lo sợ Đông Hoàng Cung phục hồi quyền lực để thanh toán quá khứ, vì vậy đã ra tay trước.														
107	Bí mật ngày xưa - Lập uy thiên hạ	Thật không ngờ rằng, nguồn gốc của Thái Nhất Môn lại xuất phát từ đại phái cổ đại Đông Hoàng Cung, chỉ là một biến cố lớn cách đây ngàn năm đã khiến Đông Hoàng Cung suýt bị diệt môn, hơn một trăm năm sau, nhân tài của họ mới cải trang và xây dựng lại thành Thái Nhất Môn. Trong thời kỳ cổ đại, Đông Hoàng Cung là truyền thừa của ba hoàng cổ đại, là chính đạo không thể chối cãi, vào thời điểm đó, cuộc chiến giữa tiên và ma lần thứ hai sắp sửa nổ ra, Đông Hoàng Cung đã lãnh đạo các tu sĩ nhân gian thành lập mặt trận thống nhất để chống lại ma giới, tuy nhiên Tử Tiêu Tông lại dựa vào gốc gác chính đạo của mình, không chịu quản lý. Vào thời khắc quan trọng, khi sấm sét hành động, chưởng giáo Đông Hoàng đã tự tay tiêu diệt bảy lão đại của Tử Tiêu Tông vì không tuân lệnh, để ổn định lòng quân, cuối cùng mặt trận thống nhất đã được thiết lập và giành được thắng lợi lớn trong cuộc chiến tranh giữa tiên và ma lần thứ hai. Cuộc chiến này do nội bộ Tử Tiêu Tông xảy ra biến cố, dẫn đến giới tu hành thiệt hại nặng nề, Đông Hoàng Cung đã ép Tử Tiêu Tông lập lời thề, trở thành tiên phong cho cuộc chiến tranh giữa tiên và ma lần thứ ba, để chuộc tội. Đến đây, mọi sự thật đã sáng tỏ, hiện nay cuộc chiến tranh giữa tiên và ma lần thứ ba sắp đến, Tử Tiêu Tông biết rõ gốc gác của Thái Nhất Môn, chắc chắn lo sợ Đông Hoàng Cung phục hồi quyền lực để thanh toán quá khứ, vì vậy đã ra tay trước.														
108	Bí mật ngày xưa - Đông Hoàng kinh biến	Điều bạn không ngờ là, nguồn gốc của Thái Nhất Môn lại xuất phát từ đại phái cổ đại Đông Hoàng Cung, trong thời kỳ cổ đại, Đông Hoàng Cung là truyền thừa của ba hoàng cổ đại, thế lực của họ lấn át nhân gian vô địch. Trong cuộc chiến tranh giữa tiên và ma lần thứ hai, họ đã dẫn dắt nhân gian đánh bại ma giới, cứu vớt nhân gian. Tuy nhiên, ngàn năm trước, Đông Hoàng Cung bỗng nhiên phát động một cuộc đại loạn trong giới tu hành, muốn hủy diệt căn cơ của tất cả tu sĩ. Có truyền thuyết rằng chưởng giáo Đông Hoàng đã âm thầm sửa đổi đại pháp Ngũ Hành do Đông Hoàng truyền lại, hấp thụ ma khí để tu luyện, vì vậy đã sa vào ma đạo, muốn lật đổ nhân gian. Chưởng giáo Đông Hoàng còn được gọi là ma trung chi ma, với tài năng vô song nhìn xuống thiên hạ, không ai có thể địch lại. Các tu sĩ trên thế giới vì cầu sinh, bất luận chính tà đều liên minh lại, chiến đấu suốt mười năm, cuối cùng đã tiêu diệt được Đông Hoàng Cung. Tuy nhiên, Đông Hoàng Cung vẫn để lại một di sản bí mật, sau khi ẩn mình một trăm năm mới cải trang và xây dựng lại thành Thái Nhất Môn. Đến đây, mọi thứ dường như đã có một lời giải thích hợp lý, các phái trên thế giới, bất luận chính tà, đều sợ hãi sự trỗi dậy của Thái Nhất Môn, ma trung chi ma ngày xưa trở lại nhân gian, vì vậy bất luận chính tà đều liên minh, nhất định muốn triệt để diệt trừ Đông Hoàng. Tuy nhiên, có thật là như vậy không? Bạn là đệ tử của Thái Nhất, nghiên cứu sâu về đại pháp Ngũ Hành của Thái Nhất, không ai hiểu rõ hơn bạn về căn cơ của pháp môn Thái Nhất: trong đó có thể có một số phương pháp tà đạo, nhưng tuyệt đối không có pháp môn hấp thụ ma khí để nâng cao tu vi. Nếu đây vẫn không phải là sự thật, chỉ là lời nói dối do những kẻ chiến thắng dệt nên, thì sự thật ẩn giấu sau lịch sử rốt cuộc là gì? Tất cả dường như rơi vào một bí ẩn lớn hơn...														
500	Ngoại truyền: Thượng cổ thông tin	Những ngày qua, bạn đã lần lượt tiếp xúc với một số bí ẩn cổ đại. Tuy nhiên, thông tin còn sót lại từ thời kỳ cổ đại đều rất kỳ lạ, nội dung thường là những chuyện vặt vãnh không có giá trị, có những thứ thậm chí nhìn qua có vẻ giống như nhưng lại khó hiểu, dường như đã bị áp dụng một loại chú thuật kỳ lạ nào đó. Nhưng loại chú thuật này thường được sử dụng để bảo mật trong nội bộ môn phái, nhưng giờ đây xem ra, tất cả các tài liệu còn sót lại từ thời kỳ cổ đại đều được bảo vệ bằng chú thuật, vậy thì ý nghĩa của việc giữ bí mật là gì? Và phương pháp giải mã là gì?	43||	1000												
1000	Ngoại truyền: Thượng cổ thông tin	Sau một cuộc điều tra chi tiết, bạn đã hiểu lý do tại sao thời kỳ cổ đại dùng chú thuật để phong tỏa thông tin chính là để phòng ngừa ma tộc xâm nhập vào nhân gian. Và qua cuộc khảo sát này, bạn cũng đã học được phương pháp giải mã chữ viết cổ đại.														WorldLua:SetWorldFlag(93,1)
10000	Thượng cổ bí văn															
10001	Cấm kỵ quá khứ															
10002	Kết luận đã biết															


