房间	Phòng
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Trình Tuyết Thanh</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
6天 19:47	6 ngày 19:47
<font color=MYCOLOR>程雪青</font>打了个哈欠。	<font color=MYCOLOR>Trình Tuyết Thanh</font> ngáp.
7天 05:17	7 ngày 05:17
晨光初露，<font color=MYCOLOR>程雪青</font>看<font color=HECOLOR>仰厚</font>好像正无聊，就拉着他聊了聊关于<font color=OBJCOLOR>灵晶地板</font>的事。	Ánh mai vừa ló, <font color=MYCOLOR>Trình Tuyết Thanh</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> có vẻ đang chán nản, liền kéo anh ta nói chuyện về <font color=OBJCOLOR>sàn nhà tinh linh</font>.
7天 06:42	7 ngày 06:42
8天 19:53	8 ngày 19:53
日暮时分，<font color=MYCOLOR>程雪青</font>正在<font color=OBJCOLOR>工作</font>。看<font color=HECOLOR>轩辕士</font>从旁边经过，就抬手打了个招呼。但<font color=HECOLOR>轩辕士</font>面无表情的看了一眼，并没有回应，这让<font color=MYCOLOR>程雪青</font>心里一堵。	Lúc hoàng hôn, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>làm việc</font>. Thấy <font color=HECOLOR>Huyền Nguyên Sĩ</font> đi ngang qua, liền giơ tay chào. Nhưng <font color=HECOLOR>Huyền Nguyên Sĩ</font> chỉ liếc nhìn lạnh lùng mà không đáp lại, khiến <font color=MYCOLOR>Trình Tuyết Thanh</font> cảm thấy bức bối trong lòng.
8天 20:22	8 ngày 20:22
<font color=MYCOLOR>程雪青</font>虽然被<font color=OBJCOLOR>做噩梦</font>的情绪困扰，但他还是把<font color=OBJCOLOR>家常菜</font>做的十分美味。	<font color=MYCOLOR>Tuyết Thanh</font> tuy bị ảnh hưởng bởi <font color=OBJCOLOR>ác mộng</font> nhưng vẫn làm <font color=OBJCOLOR>món ăn gia đình</font> rất ngon.
9天 04:47	9 ngày 04:47
9天 05:13	9 ngày 05:13
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>整理一下。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn sắp xếp lại <font color=OBJCOLOR>cung Tinh Hàn Yêu</font>.
9天 05:44	9 ngày 05:44
<font color=MYCOLOR>程雪青</font>觉得有点无聊。	<font color=MYCOLOR>Trình Tuyết Thanh</font> cảm thấy hơi chán.
9天 16:39	9 ngày 16:39
<font color=MYCOLOR>程雪青</font>突然觉得左眼跳了跳。	<font color=MYCOLOR>Tuyết Thanh</font> đột nhiên cảm thấy mắt trái giật giật.
9天 18:27	9 ngày 18:27
<font color=MYCOLOR>程雪青</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Trình Tuyết Thanh</font> rất <font color=OBJCOLOR>thích</font> <font color=OBJCOLOR>ngày nắng</font>.
11天 00:40	11 ngày 00:40
破晓时分，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然流下眼泪。	Lúc rạng đông, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>nấu ăn</font> món ăn gia đình, bỗng rơi lệ.
12天 06:08	12 ngày 06:08
12天 20:14	12 ngày 20:14
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>清洁一下。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn dọn dẹp <font color=OBJCOLOR>cung Tinh Hàn Yêu</font>.
15天 03:19	15 ngày 03:19
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>狼皮薄衣衫</font>换掉。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn thay <font color=OBJCOLOR>áo mỏng da sói</font>.
15天 03:56	15 ngày 03:56
松柏之侧，<font color=MYCOLOR>程雪青</font>在<font color=OBJCOLOR>烹饪</font><font color=OBJCOLOR></font>时，突然心中一动，对耕作一道又有感悟。	Bên cạnh tùng bách, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>nấu ăn</font> thì đột nhiên trong lòng chợt động, lại có cảm ngộ về <font color=OBJCOLOR>canh tác</font>.
15天 06:51	15 ngày 06:51
16天 06:18	16 ngày 06:18
19天 03:43	19 ngày 03:43
<font color=MYCOLOR>程雪青</font>不知道怎么回事，莫名其妙发了发呆。	<font color=MYCOLOR>Trình Tuyết Thanh</font> không biết vì sao, đột ngột ngẩn người.
21天 05:35	21 ngày 05:35
<font color=MYCOLOR>程雪青</font>拍了拍灰尘。	<font color=MYCOLOR>Trình Tuyết Thanh</font> phủi bụi.
22天 12:18	22 ngày 12:18
<font color=MYCOLOR>程雪青</font>抿了抿嘴。	<font color=MYCOLOR>Trình Tuyết Thanh</font> mím môi.
24天 00:39	24 ngày 00:39
<font color=MYCOLOR>程雪青</font>在喝<font color=OBJCOLOR>水</font>时，脑海中突然浮现<font color=OBJCOLOR>董之柔</font>的模样。	<font color=MYCOLOR>Trình Tuyết Thanh</font> đang uống <font color=OBJCOLOR>Nước</font> thì đột nhiên trong đầu hiện lên hình ảnh của <font color=MYCOLOR>Đổng Chi Nhu</font>.
25天 09:15	25 ngày 09:15
<font color=MYCOLOR>程雪青</font>看到<font color=HECOLOR>轩辕士</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Tuyết Thanh</font> nhìn thấy <font color=HECOLOR>Hiên Viên Sĩ</font> từ xa đi tới, liền vẫy tay gọi với chào hỏi.
26天 16:50	26 ngày 16:50
26天 17:30	26 ngày 17:30
27天 06:43	27 ngày 06:43
28天 12:57	28 ngày 12:57
<font color=MYCOLOR>程雪青</font>因<font color=OBJCOLOR>风水良好</font>心情不错，烹饪<font color=OBJCOLOR>家常菜</font>时都忍不住哼着小曲儿。	<font color=MYCOLOR>Trình Tuyết Thanh</font> vì <font color=OBJCOLOR>phong thủy tốt</font> mà tâm trạng vui vẻ, khi nấu <font color=OBJCOLOR>món ăn gia đình</font> còn không nhịn được ngân nga một khúc nhạc nhỏ.
29天 07:46	29 ngày 07:46
30天 11:55	30 ngày 11:55
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>狼皮薄衣衫</font>整理一下。	<font color=MYCOLOR>Trình Tuyết Thanh</font> muốn sắp xếp lại <font color=OBJCOLOR>áo mỏng da sói</font>.
32天 19:21	32 ngày 19:21
晴空万里，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然觉得莫名烦躁。	Trời quang vạn lý, <font color=MYCOLOR>Trình Tuyết Thanh</font> khi nấu <font color=OBJCOLOR>món ăn gia đình</font> bỗng thấy bực bội khó tả.
35天 03:38	35 ngày 03:38
36天 13:55	36 ngày 13:55
36天 19:17	36 ngày 19:17
38天 03:56	38 ngày 03:56
万里无云，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	Trời vạn dặm không mây, <font color=MYCOLOR>Trình Tuyết Thanh</font> khi <font color=OBJCOLOR>nấu ăn</font> món ăn gia đình, đột nhiên muốn ăn <font color=OBJCOLOR>bột mì</font>.
41天 02:58	41 ngày 02:58
46天 09:41	46 ngày 09:41
<font color=MYCOLOR>程雪青</font>看着旁边的<font color=OBJCOLOR>野草</font>若有所思。	<font color=MYCOLOR>Trình Tuyết Thanh</font> nhìn <font color=OBJCOLOR>cỏ dại</font> bên cạnh, suy ngẫm.
49天 17:40	49 ngày 17:40
<font color=MYCOLOR>程雪青</font>在喝<font color=OBJCOLOR>水</font>时，突然很想家。	<font color=MYCOLOR>Trình Tuyết Thanh</font> đang uống <font color=OBJCOLOR>nước</font> thì đột nhiên rất nhớ nhà.
50天 21:31	50 ngày 21:31
程	Trình
雪青	Tuyết Thanh
轩辕士	Hiên Viên
胜	Thắng
贺	Hạ
珊	San
毕	Tất
绍	Thiệu
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	<font color=MYCOLOR>Hiên Viên sĩ</font> giẫm phải đồ vật nào đó.
1天 10:07	1 ngày 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	<font color=MYCOLOR>Hiên Viên Sĩ</font> ợ hơi.
3天 06:27	3 ngày 06:27
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Hiên Viên Sĩ</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
4天 07:18	4 ngày 07:18
<font color=MYCOLOR>轩辕士</font>鞋里进了东西。	<font color=MYCOLOR>Hiên Viên sĩ</font> có đồ vật lọt vào giày.
4天 15:45	4 ngày 15:45
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>千里神视符</font>换掉。	<font color=MYCOLOR>Hiên Viên Sĩ</font> muốn thay <font color=OBJCOLOR>Thiên Lý Thị Phù</font>.
5天 09:25	5 ngày 09:25
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>紫布修行衣衫</font>清洁一下。	<font color=MYCOLOR>Hiên Viên Sĩ</font> muốn làm sạch <font color=OBJCOLOR>áo tu luyện vải tím</font>.
6天 12:38	6 ngày 12:38
华灯初上，<font color=MYCOLOR>轩辕士</font>刚刚吃饱喝足，正满意的拍肚子，看到<font color=HECOLOR>程雪青</font>刚好在旁边，就和她打了个招呼。但没想到<font color=HECOLOR>程雪青</font>却并不想理他，这让<font color=MYCOLOR>轩辕士</font>觉得很尴尬。	Đèn hoa vừa lên, <font color=MYCOLOR>Hiên Viên Sĩ</font> vừa ăn no uống đủ, đang hài lòng vỗ bụng, nhìn thấy <font color=HECOLOR>Trình Tuyết Thanh</font> tình cờ ở bên cạnh, liền chào hỏi nàng. Nhưng không ngờ <font color=HECOLOR>Trình Tuyết Thanh</font> lại không muốn để ý đến anh ta, khiến <font color=MYCOLOR>Hiên Viên Sĩ</font> cảm thấy rất khó xử.
<font color=MYCOLOR>轩辕士</font>揉了揉肚子。	<font color=MYCOLOR>Hiên Viên sĩ</font> xoa bụng.
9天 17:34	9 ngày 17:34
<font color=MYCOLOR>轩辕士</font>在吃<font color=OBJCOLOR>干锅田鸡</font>时，突然想起自己的<font color=OBJCOLOR>父亲轩辕兴业</font>。	<font color=MYCOLOR>Hiên Viên Sĩ</font> khi ăn <font color=OBJCOLOR>cán oa điền kê</font>, bỗng nhớ đến <font color=OBJCOLOR>cha Hiên Viên Hưng Nghiệp</font>.
9天 19:53	9 ngày 19:53
<font color=MYCOLOR>轩辕士</font>突然觉得左眼跳了跳。	<font color=MYCOLOR>Hiên Viên Sĩ</font> đột nhiên cảm thấy mắt trái giật giật.
14天 17:38	14 ngày 17:38
<font color=MYCOLOR>轩辕士</font>在喝<font color=OBJCOLOR>水</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	<font color=MYCOLOR>Hiên Viên Sĩ</font> đang uống <font color=OBJCOLOR>nước</font> thì đột nhiên trong đầu hiện lên hình ảnh <font color=OBJCOLOR>Tịch Tín</font>.
16天 04:59	16 ngày 04:59
17天 08:56	17 ngày 08:56
<font color=MYCOLOR>轩辕士</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Hiên Viên Sĩ</font> rất <font color=OBJCOLOR>thích</font> <font color=OBJCOLOR>ngày nắng</font>.
20天 12:18	20 ngày 12:18
<font color=MYCOLOR>轩辕士</font>在吃<font color=OBJCOLOR>肉干</font>时，突然想起自己的<font color=OBJCOLOR>父亲轩辕兴业</font>。	<font color=MYCOLOR>Hiên Viên Sĩ</font> khi ăn <font color=OBJCOLOR>thịt khô</font>, đột nhiên nhớ đến <font color=OBJCOLOR>cha Hiên Viên Hưng Nghiệp</font> của mình.
26天 17:17	26 ngày 17:17
<font color=MYCOLOR>轩辕士</font>不知道怎么回事，莫名其妙发了发呆。	<font color=MYCOLOR>Hiên Viên Sĩ</font> không biết vì sao, đột ngột ngẩn người.
28天 16:12	28 ngày 16:12
<font color=MYCOLOR>轩辕士</font>好像听到有谁在喊自己的名字。	<font color=MYCOLOR>Hiên Viên Sĩ</font> dường như nghe có ai đó đang gọi tên mình.
28天 19:56	28 ngày 19:56
<font color=MYCOLOR>轩辕士</font>有些关于<font color=OBJCOLOR>正派</font>的事想找人聊聊，	<font color=MYCOLOR>Hiên Viên Sĩ</font> có chuyện về <font color=OBJCOLOR>chính phái</font> muốn tìm người trò chuyện,
28天 20:54	28 ngày 20:54
<font color=MYCOLOR>轩辕士</font>眼睛进了沙子。	<font color=MYCOLOR>Hiên Viên sĩ</font> bị cát bay vào mắt.
31天 21:33	31 ngày 21:33
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>程雪青</font>打老远过来，就向她挥了挥手，打了个招呼。	<font color=MYCOLOR>Hiên Viên Sĩ</font> thấy <font color=HECOLOR>Trình Tuyết Thanh</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
32天 19:51	32 ngày 19:51
33天 09:29	33 ngày 09:29
<font color=HECOLOR>程雪青</font>闲逛路过，看到<font color=MYCOLOR>轩辕士</font>正被热到意识模糊，就拉着他聊了聊关于<font color=OBJCOLOR>搬运</font>的事。	<font color=HECOLOR>Trình Tuyết Thanh</font> Dạo chơi ngang qua, thấy <font color=MYCOLOR>Hiên Viên Sĩ</font> đang bị nóng đến mức Ý thức không rõ ràng, liền kéo anh ấy lại nói chuyện về <font color=OBJCOLOR>Vận chuyển</font>.
40天 13:54	40 ngày 13:54
<font color=MYCOLOR>轩辕士</font>快乐的享受着进食的乐趣，看<font color=HECOLOR>程雪青</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>过往</font>的事。	<font color=MYCOLOR>Hiên Viên sĩ</font> vui vẻ tận hưởng niềm vui khi ăn uống, thấy <font color=HECOLOR>Trình Tuyết Thanh</font> có vẻ đang chán nản, liền kéo nàng trò chuyện về chuyện <font color=OBJCOLOR>quá khứ</font>.
40天 19:45	40 ngày 19:45
<font color=MYCOLOR>轩辕士</font>很喜欢<font color=OBJCOLOR>工作</font>。	<font color=MYCOLOR>Hiên Viên Sĩ</font> rất <font color=OBJCOLOR>thích</font> <font color=OBJCOLOR>công</font>.
41天 10:19	41 ngày 10:19
<font color=MYCOLOR>轩辕士</font>拍了拍灰尘。	<font color=MYCOLOR>Hiên Viên sĩ</font> phủi bụi.
48天 06:18	48 ngày 06:18
早食之刻，<font color=MYCOLOR>轩辕士</font>看<font color=HECOLOR>师咏</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>气感</font>的事。	Vào giờ ăn sáng, <font color=MYCOLOR>Hiên Viên Sĩ</font> thấy <font color=HECOLOR>Sư Vịnh</font> có vẻ <font color=OBJCOLOR>chán nản</font>, liền kéo nàng trò chuyện về <font color=OBJCOLOR>Khí cảm</font>.
50天 07:01	50 ngày 07:01
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>李飞扬</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Hiên Viên Sĩ</font> thấy <font color=HECOLOR>Lý Phi Dương</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
50天 20:11	50 ngày 20:11
轩辕	Hiên Viên
士	Sĩ
程雪青	Tuyết Thanh
兴业	Hưng Nghiệp
言	Ngôn
诗蕊	Thi Nhị
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>随便看看</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>hơi lạnh</font> quấy rối, chỉ có thể <font color=OBJCOLOR>xem qua</font> để thư giãn tâm trí.
4天 21:39	4 ngày 21:39
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Trời quang vạn lý, <font color=MYCOLOR>Đổng Chi Nhu</font> khi <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> bỗng phát ra một tiếng thở dài.
5天 09:54	5 ngày 09:54
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Trời Vạn Lý không gợn mây, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Quan sát sao đêm</font> bỗng chảy nước mắt.
6天 02:33	6 ngày 02:33
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>muôn màu muôn vẻ</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>chơi nhạc</font> để giải tỏa.
6天 09:33	6 ngày 09:33
天朗气清，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng dưng trăm mối ngổn ngang.
6天 13:08	6 ngày 13:08
天朗气清，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>cha Đổng Minh</font> của bản thân.
7天 10:12	7 ngày 10:12
绿荫之下，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Dưới bóng tán cây, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>quan sát mây cuộn mây tan</font>, chợt nhớ đến <font color=OBJCOLOR>cha mình Đổng Minh</font>.
7天 14:22	7 ngày 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>Cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
8天 13:02	8 ngày 13:02
万里无云，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trời vạn lý không mây, <font color=MYCOLOR>Chi Nhu</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng dưng suy nghĩ miên man.
8天 14:00	8 ngày 14:00
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>hơi nóng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>chơi nhạc</font> để làm trống tâm trí.
10天 01:01	10 ngày 01:01
人定之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>火铜琴台</font>很有意思……	Vào giờ nhân định, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên cảm thấy <font color=OBJCOLOR>Đài cầm Hoả Đồng</font> bên cạnh rất thú vị…
10天 22:51	10 ngày 22:51
日中之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Vào giữa trưa, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt nhớ nhà.
11天 12:11	11 ngày 12:11
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>梧桐木法座</font>很有意思……	Trời quang Vạn Lý, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhìn trần nhà</font> thì chợt thấy <font color=OBJCOLOR>Pháp tọa ngô đồng thần mộc</font> bên cạnh thật thú vị……
11天 13:09	11 ngày 13:09
夕食之刻，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Lúc dùng bữa tối, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng dưng trăm mối ngổn ngang.
12天 16:02	12 ngày 16:02
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font>, đột nhiên cảm thấy bồn chồn khó hiểu.
13天 07:46	13 ngày 07:46
14天 01:53	14 ngày 01:53
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>温度舒适</font>心情不错，忍不住来<font color=OBJCOLOR>跳舞</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>nhiệt độ thoải mái</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>nhảy múa</font> để giải tỏa.
