Key	Value
正心不在焉的制药作业中	Đang mất tập trung trong công việc chế thuốc
任意元神期的修行者都可以将某些内门特质通过元神寄托赋予装备。	Bất kỳ tu sĩ kỳ nguyên thần nào cũng có thể gửi gắm một số đặc tính nội môn vào trang bị thông qua nguyên thần.
内丹灵气容量:	Dung lượng linh khí nội đan:
撰写内容	Soạn nội dung
刚结束今天的筑基功课	Vừa kết thúc bài học xây dựng cơ bản hôm nay
购买（{0}元）	Mua ({0} đồng)
{0}正在发挥药效	{0} đang phát huy tác dụng của thuốc
{1}\n读取中...{0}	{1}\nĐang tải...{0}
其他	Khác
正无所事事的消磨着时光	Đang giết thời gian một cách vô định
无上大法	Đại pháp vô thượng
查看情绪面板	Xem bảng cảm xúc
存档标识	Dấu lưu tệp
在移除工作之时，正感觉有点无聊	Đang cảm thấy hơi chán khi gỡ bỏ công việc
赠送以完成任务	Tặng để hoàn thành nhiệm vụ
{0}营养：{1:N0}\n营养上限：100\n营养越高，对应的属性成长越快，消耗也越多，通过不同的饮食习惯来影响当前营养。	{0} Dinh dưỡng: {1:N0}\nGiới hạn dinh dưỡng: 100\nDinh dưỡng càng cao, tốc độ tăng trưởng thuộc tính tương ứng càng nhanh, tiêu hao cũng nhiều hơn, có thể ảnh hưởng bởi thói quen ăn uống khác nhau.
系统回调	Hệ thống gọi lại
弥留({0:N0}秒)	Sắp lìa đời ({0:N0} giây)
在修理建筑之时，正感觉有点无聊	Cảm thấy hơi nhàm chán khi sửa chữa công trình
敲响警钟,外门弟子会聚集到周围。	Gõ chuông báo động, đệ tử ngoại môn sẽ tập trung xung quanh.
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]Công việc liên quan:[/color]\nBổ củi\nVận chuyển nguyên liệu bổ củi\nĐốn cây\nLoại bỏ thực vật
确定删除以下背景故事吗？\n\n{0}	Xác nhận xóa câu chuyện nền sau đây?\n\n{0}
拥有者:{0}	Chủ sở hữu: {0}
祠	Từ đường
是否确定凝取灵石，这将触发一场战斗。	Có chắc chắn ngưng tụ linh thạch không? Điều này sẽ kích hoạt một trận chiến.
拉屎	Đi đại tiện
<font color=#FF0000>(生食)</font>\n	<font color=#FF0000>(Ăn sống)</font>\n
确定要删除存档{0}吗？这将不可逆转。	Xác nhận muốn xóa tệp lưu {0} không? Điều này sẽ không thể đảo ngược.
{0}: {1:F2}/秒\n	{0}: {1:F2}/giây\n.
前往:目标点	Đi đến: Điểm mục tiêu
可生效{0}次	Có hiệu lực {0} lần
角色当前灵力不足以驱动此术！	Nhân vật hiện tại không đủ linh lực để thi triển thuật này!
药物	Dược phẩm
自制建筑蓝图	Bản vẽ công trình tự chế
正道中流	Chính đạo trung lưu
\n寿元：{0:N0}({1:N0})	\nTuổi thọ: {0:N0}({1:N0})
(等待安装)	(Đang chờ lắp đặt)
掌门	Chưởng môn
一个区域	Một khu vực
[打开]\n防御及保护，开启后会自动反击发起攻击的敌人	[Mở]\nPhòng thủ và Bảo vệ, bật lên sẽ tự động phản kích Kẻ địch tấn công
入库	Nhập kho
请选择一具死去的身体	Vui lòng chọn một cơ thể đã chết
<font color=#D06508>[药物]</font>\n	<font color=#D06508>[Thuốc]</font>\n
参悟经验：{0}\n	Kinh nghiệm tham ngộ: {0}\n
蓝图	Bản vẽ
编队	Biên đội
灵气:{0:N0}/{1:N0}	Linh khí: {0:N0}/{1:N0}
修行时杂念频起，正感觉有点生气	Tạp niệm nổi lên khi tu hành, cảm thấy hơi tức giận
屋顶	Mái nhà
建筑名非法	Tên công trình không hợp lệ
由修行者夺舍而来，只要积累足够精元就可以开启灵智\n精元容量：{0:F0}/{1:F0} ({2:F0}%)	Được đoạt xá bởi người tu hành, chỉ cần tích lũy đủ tinh nguyên là có thể khai mở linh trí\nDung lượng tinh nguyên: {0:F0}/{1:F0} ({2:F0}%)
在拆地板之时，正觉得很爽快	Cảm thấy rất sảng khoái khi tháo sàn nhà
消耗49点香火值，祖师分身下凡讲道，持续一天。(内门弟子会在选择周围的蒲团或者空地听讲)	Tiêu hao 49 điểm giá trị hương hỏa, phân thân tổ sư giáng phàm giảng đạo, kéo dài một ngày. (Đệ tử nội môn sẽ chọn đệm hoặc khu vực trống xung quanh để nghe giảng)
无	Không
激活中	Đang kích hoạt
刷新设置	Làm mới thiết lập
{0}之镇派法宝，乃是前代派中高人的贴身法器。但自从百年前便被封印，再无人启用，似乎在等待着什么。	Pháp bảo trấn phái của {0}, là pháp khí thân cận của cao nhân đời trước trong môn phái. Nhưng từ trăm năm trước đã bị phong ấn, không ai sử dụng, dường như đang chờ đợi điều gì đó.
{0}心防无法瓦解(冷漠)	Tâm phòng của {0} không thể phá vỡ (lạnh lùng)
请选择一个可以灵淬的物品	Vui lòng chọn một vật phẩm có thể linh tẩy
历练故事	Câu chuyện lịch luyện.
耗时：{0:N2}天	Thời gian: {0:N2} ngày
六壬神算	Lục Nhâm Thần Toán
游戏中有大量可以提高角色基础属性与技能的方法，而角色初始属性过高，可能对您的游戏体验造成较大地破坏，请谨慎考虑！	Trò chơi có rất nhiều cách để nâng cao thuộc tính cơ bản và kỹ năng của nhân vật. Tuy nhiên nếu thuộc tính ban đầu của nhân vật quá cao có thể sẽ gây phá hủy trải nghiệm của bạn trong trò chơi, hãy cân nhắc kỹ!
多次画符	Vẽ bùa nhiều lần
阵法真意图鉴需要玩家结成包含对应真意的阵法来点亮。	Đồ hình chân ý trận pháp cần người chơi kết hợp trận pháp chứa chân ý tương ứng để thắp sáng.
术法	Thuật pháp
请选择秘籍	Vui lòng chọn bí kíp
蕴养这株灵植，调整灵植的养成趋势，并借此收获一些珍稀材料。	Nuôi dưỡng linh thực này, điều chỉnh xu hướng phát triển của linh thực, và từ đó thu hoạch một số nguyên liệu quý hiếm.
生长度:{0:P0} 成熟度:{1:P0}	Độ sinh trưởng: {0:P0} Độ trưởng thành: {1:P0}
玄门秘籍	Bí kíp huyền môn
影响角色灵气最大值。	Ảnh hưởng đến giá trị linh khí tối đa của nhân vật.
当前阵图无内容，无法配置布局	Trận đồ hiện tại không có nội dung, không thể bố trí
藏经阁容量：{0}/{1}	Dung lượng Tàng Kinh Các: {0}/{1}
[color=#FF0000]已达到最大等级[/color]	[color=#FF0000]Đã đạt cấp tối đa[/color]
祭拜	Tế bái
【新线索·{0}】	【Manh mối mới·{0}】
救灾	Cứu trợ thiên tai
不是内门弟子	Không phải là đệ tử nội môn
<font color=#D06508>[灵器]</font>[color=#66FFFF]({0})[/color]\n	<font color=#D06508>[Linh khí]</font>[color=#66FFFF]({0})[/color]\n
解锁神国建筑:[{0}]\n	Mở khóa công trình Thần Quốc: [{0}]\n
天气	Thời tiết
[简介]\r\n	[Giới thiệu]\r\n
壮减	Suy giảm
正在专心的照顾他人	Đang tập trung chăm sóc người khác
采集或者历练	Thu thập hoặc lịch luyện
\n季节不适	\nMùa không thích hợp
将一个镇物鉴定	Định giá một vật trấn
满目凋敝	Hoang tàn trước mắt.
洞天	Động thiên
任务	Nhiệm vụ
从{0}前往{1}	Từ {0} đến {1}
模组商店及万界天宫的内容(UGC)是由玩家所制作，这些内容可能会影响你的游戏体验，包括但不仅限于：内容不适、数值崩溃、历程失控等。我们未对这些分享内容进行任何功能和数值上的审核或者协助，您必须自行分辨并承担下载该内容的风险。	Nội dung của cửa hàng mô-đun và Thiên Cung Vạn Giới (UGC) do người chơi tạo ra, những nội dung này có thể ảnh hưởng đến trải nghiệm trò chơi của bạn, bao gồm nhưng không giới hạn: nội dung không phù hợp, lỗi số liệu, hành trình mất kiểm soát, v.v. Chúng tôi không kiểm tra bất kỳ chức năng hay giá trị nào của những nội dung được chia sẻ này, bạn phải tự mình đánh giá và chịu rủi ro khi tải xuống nội dung này.
护体	Hộ thể
土壤肥沃	Đất đai màu mỡ
身手	Thân thủ
真炁：{0:F0}/{1:F0}\n体修专属的战斗资源，会快速的恢复和消耗。真炁会随着境界的提升，身躯的淬炼而提升。	Chân khí: {0:F0}/{1:F0}\n Tài nguyên chiến đấu chuyên biệt của thể tu, sẽ nhanh chóng hồi phục và tiêu hao. Chân khí sẽ tăng theo cảnh giới và sự rèn luyện cơ thể.
<font color=#D06508>[原材料]</font>\n{0}\n	<font color=#D06508>[Nguyên liệu]</font>\n{0}\n
让其观察一个物品、建筑或植物，来获得对应的思绪。限于其低下的灵智，同一种思绪只能通过观察并记住一条。	Quan sát một vật phẩm, công trình hoặc thực vật để nhận được suy nghĩ tương ứng. Do trí tuệ thấp, cùng một suy nghĩ chỉ có thể ghi nhớ bằng cách quan sát một lần.
请选择认知	Vui lòng chọn nhận thức
该物品不能作为赋灵对象	Vật phẩm này không thể làm đối tượng phụ linh
区域数据	Dữ liệu khu vực
 [失去]	 [Mất]
代理人正在赶来...	Đại diện đang đến...
身上已经携带了法宝胚胎{0},无法穿戴多个	Đang mang theo pháp bảo phôi {0}, không thể mang thêm nhiều cái
高	Cao
【解锁隐秘·{0}】	【Mở khóa bí mật·{0}】
单击选择目标	Nhấp để chọn mục tiêu
正心不在焉的种植中	Đang mất tập trung trong việc trồng cây
{0}{1}的线索	Manh mối của {0}{1}
设置的所需游戏版本比当前游戏版本更高，请确认	Phiên bản trò chơi yêu cầu cao hơn phiên bản hiện tại, vui lòng xác nhận
{0}丢失了	{0} đã mất
它的	Của nó
确定派遣弟子要进入{0}吗？\n\t参与弟子有：\n{1}	Xác nhận phái đệ tử vào {0} không?\n\tĐệ tử tham gia gồm:\n{1}
[NAME]通过从{2}获取的理智，对{3}的感知，对{4}的认知，产生了一点灵智碎片。	[NAME] thông qua lý trí nhận được từ {2}, cảm giác về {3}, nhận thức về {4}, đã tạo ra một mảnh linh trí.
拼装耗时 : 	Thời gian lắp ráp: 
年龄不足16岁,无法选择历世!	Không đủ 16 tuổi, không thể chọn Lịch thế!
{0}[color=#9e6404][挑战][/color]	{0}[color=#9e6404][Thử thách][/color]
奖励发放失败,请稍后重试	Phát thưởng thất bại, vui lòng thử lại sau
{9}：{10:N2}%\n灵煞趋势：{8}{0:N2}/天\n　蕴养加成：{1}\n　天气加成：{2}\n　季节加成：{3}\n　五行加成：{4}\n　交感加成：{5}\n\n当前状态：{6}\n　{7}\n	{9}: {10:N2}%\nXu hướng linh sát: {8}{0:N2}/ngày\n  Dưỡng nuôi gia tăng: {1}\n  Thời tiết gia tăng: {2}\n  Mùa gia tăng: {3}\n  Ngũ hành gia tăng: {4}\n  Giao cảm gia tăng: {5}\n\nTrạng thái hiện tại: {6}\n  {7}\n
再以境界突破为例：\n[color=#ff0000]木属性[/color]的功法在[color=#ff0000]金属性[/color]的环境中突破时，因[color=#ff0000]金克木[/color]的原因而倍加艰难。\n如果在[color=#ff0000]水属性[/color]的环境中突破，则会因[color=#ff0000]水生木[/color]之故，而提高突破成功率。	Lấy ví dụ về đột phá cảnh giới:\n[color=#ff0000]Công pháp thuộc tính Mộc[/color] khi đột phá trong môi trường [color=#ff0000]Kim[/color], do [color=#ff0000]Kim khắc Mộc[/color] nên sẽ khó khăn hơn nhiều.\nNếu trong môi trường [color=#ff0000]Thủy[/color], sẽ do [color=#ff0000]Thủy sinh Mộc[/color] mà tăng tỷ lệ thành công.
被{0}屠宰	Bị {0} tàn sát
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	Giờ Dần, lúc bình minh, thời điểm sáng sớm, lúc năm canh, trăng lặn về Tây, phương Đông dần sáng
木	Mộc
尝试突破瓶颈一次，不论成功与否。	Thử đột phá một lần, bất kể thành công hay thất bại.
影响生产事件中灵石和矿物的产量。	Ảnh hưởng đến sản lượng linh thạch và khoáng sản trong sự kiện sản xuất.
庄重的开启丹炉，准备炼丹	Trang trọng mở lò đan, chuẩn bị luyện đan
全局闪避：{0:P2}	Né tránh toàn cục: {0:P2}
请选择一个合适的突破地点	Vui lòng chọn một địa điểm đột phá phù hợp
打水	Lấy nước
好的	Tốt
{0} ({1}格)	{0} ({1} ô)
进入场景	Vào cảnh
未知	Không rõ
只能传授给低代弟子	Chỉ có thể truyền thụ cho đệ tử đời thấp hơn
较为利于	Khá thuận lợi
无门无派	Không môn không phái
无法录入	Không thể ghi nhận
检测服务器MOD...	Kiểm tra máy chủ MOD...
景色绝美	Cảnh sắc tuyệt đẹp
正在下载 ：	Đang tải xuống:
重载MapStory	Tải lại MapStory
采掘获取有用的材料。	Khai thác để thu được nguyên liệu hữu ích.
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	Khả năng cảm nhận linh khí, ảnh hưởng đến tỷ lệ xuyên thấu của linh khí hộ thuẫn, xác suất trấn áp pháp bảo.
蓝图标签	Nhãn bản vẽ
消息属性{0}存在问题	Thuộc tính tin nhắn {0} có vấn đề
重试	Thử lại
已拥有	Đã sở hữu
分裂镇物	Phân tách vật trấn giữ
交互	Tương tác
结丹时的天气对丹品的影响。	Thời tiết khi kết đan ảnh hưởng đến chất lượng đan.
别名	Bí danh
元神之法	Phương pháp nguyên thần
千	Ngàn
失败惩罚：	Hình phạt thất bại:
性别：{1}\n年龄：{0:N0}\n	Giới tính: {1}\nTuổi: {0:N0}\n
交流	Giao lưu
否	Không
你对凡人的情感逐渐收敛，已经很少会有极端的狂喜或悲恸。得益于此，你对神力的掌握渐渐加深，但来自众生的那些平凡微小的信仰你已无法尽数感知。	Bạn dần dần thu nhỏ cảm xúc với phàm nhân, hiếm khi có niềm vui sướng hay đau khổ tột cùng. Nhờ vậy, bạn dần nắm vững thần lực, nhưng những tín ngưỡng nhỏ bé từ chúng sinh bạn không còn cảm nhận được hết.
傲慢	Kiêu ngạo
在拆地板之时，正在胡思乱想	Đang nghĩ vẩn vơ khi tháo sàn
失落的灵智	Linh trí bị mất
[color=#009900][打开][/color]	[color=#009900][Mở][/color]
不能作为此技能的对象	Không thể làm mục tiêu cho kỹ năng này.
境界不够({0}/{1})\n	Cảnh giới không đủ ({0}/{1})\n
炼宝	Luyện bảo
送礼	Tặng quà
未选择需要上传的内容	Chưa chọn nội dung cần tải lên
已存在同名文档，确定覆盖原存档吗？这将不可逆转。	Đã tồn tại tệp cùng tên, xác nhận ghi đè lưu trữ cũ? Điều này không thể đảo ngược.
御器	Ngự khí
错误的控制器值:{0}	Giá trị bộ điều khiển sai: {0}
总大小:	Tổng kích thước:
捕获小动物。	Bắt động vật nhỏ.
请输入蓝图名称	Vui lòng nhập tên bản vẽ
风水相宜	Phong thủy hài hòa
查阅	Tra cứu
刚完成收获，准备洗洗手收工	Vừa thu hoạch xong, chuẩn bị rửa tay và nghỉ ngơi
剩余时间:	Thời gian còn lại:
当前煞性	Sát khí hiện tại
五行蕴养:\n	Nuôi dưỡng ngũ hành:\n.
在照顾别人的间余，刚小憩片刻	Trong lúc chăm sóc người khác, vừa chợp mắt một lát
省电	Tiết kiệm pin
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	Tiềm năng tu luyện của nhân vật. Tiềm năng liên quan đến tuổi tác và kinh nghiệm cá nhân của nhân vật, một khi vào nội môn sẽ bị khóa, không thể thay đổi.
弟子领命！	Đệ tử nhận lệnh!
铸体	Đúc thể
给路人提供帮助的次数	Số lần giúp đỡ người qua đường
资源解压失败	Giải nén tài nguyên thất bại
{0}的攻击	Tấn công của {0}
\n分类需求:	\nYêu cầu phân loại:
秘籍	Bí kíp
身手({0:P0})\n上肢受伤会影响该值，身手影响大部分工作的效率。	Thân thủ ({0:P0})\nThương tổn cánh tay trên sẽ ảnh hưởng đến giá trị này, thân thủ ảnh hưởng đến hiệu suất của hầu hết công việc.
{0}点 {1}	{0} điểm {1}
竹林深处	Sâu trong rừng tre
在制药作业时，正感觉有点无聊	Đang cảm thấy hơi chán khi làm công việc chế thuốc
随机生成一个法宝	Ngẫu nhiên tạo ra một pháp bảo
灵气	Linh khí
数量：{0}	Số lượng：{0}
(等待更换材料)	(Đang chờ thay đổi nguyên liệu)
0/1次	0/1 lần
更新	Cập nhật
(休眠)	(Ngủ đông)
将置物台上的物品丢下。	Ném vật phẩm trên bệ đặt xuống.
体修秘体	Thể tu bí thể
活物组成	Thành phần sinh vật sống
{0}{1:F0}  {2}等级	{0}{1:F0} {2} cấp độ
{0}心防瓦解	{0} tâm phòng bị tan vỡ
精英	Tinh anh
归属：[color=#D06508]{0}[/color]\n	Thuộc về: [color=#D06508]{0}[/color]\n
\n[color=#9e6404]不能共存：[/color]	\n[color=#9e6404]Không thể cùng tồn tại:[/color]
请先为分堂选择专精。	Vui lòng chọn chuyên môn cho phân đường trước.
未命名配置	Cấu hình chưa đặt tên
卓越	Xuất sắc
我们强烈建议您在进行真仙模式前尽可能的熟悉游戏，真仙模式下您将会面临极大的挑战。\n确定要打开真仙模式吗？	Chúng tôi khuyến nghị bạn nên làm quen với trò chơi càng nhiều càng tốt trước khi tham gia chế độ Chân Tiên. Trong chế độ này, bạn sẽ đối mặt với thử thách rất lớn.\nBạn có chắc chắn muốn mở chế độ Chân Tiên không?
无称号	Không có danh hiệu
下载 	Tải xuống 
突破{0}技能等级上限{1}	Đột phá giới hạn cấp độ kỹ năng {0} lên {1}
复活中	Phục sinh
神修在心境为“动”时，心境会自然提高，情绪越好，提高速度越快。	Khi thần tu có tâm trạng là "Động", tâm trạng sẽ tự nhiên tăng lên, cảm xúc càng tốt, tốc độ tăng càng nhanh.
丢失	Mất mát
女性	Nữ giới
晃眼	Lóa mắt
  \n当前进度:	  \nTiến độ hiện tại:
{0}\n当前有{1}个门派的任务未完成	{0}\nHiện tại có {1} nhiệm vụ của môn phái chưa hoàn thành
\n[color=#FF8B00]消耗平衡点:{0:N0}\n(内门弟子吞服天地灵气补充食物的速度与自身消耗食物的速度在此处达到平衡)[/color]	\n[color=#FF8B00]Tiêu hao điểm cân bằng:{0:N0}\n(Đệ tử nội môn hấp thụ linh khí thiên địa để bổ sung thức ăn với tốc độ cân bằng với tiêu hao thức ăn tại đây)[/color]
{0}品	Phẩm {0}
攻击威力: {0:F0}	Sức mạnh tấn công: {0:F0}
丹药	Đan dược
在修理建筑之时，正在胡思乱想	Đang mơ màng khi sửa chữa công trình
装备物品	Trang bị vật phẩm
请教	Hỏi
查阅秘籍。	Tra cứu bí kíp.
<font color=#D06508>[激活进度]</font>\n	<font color=#D06508>[Tiến độ kích hoạt]</font>\n
思绪：{0}/{1}	Tâm trạng: {0}/{1}
灵宠觉醒	Linh thú thức tỉnh
购买妙法宝匣，可补充使用次数，是否前往购买？	Mua bảo hộp Diệu Pháp để bổ sung lượt sử dụng, có muốn mua không?
境界加成：{0}\n	Cộng thêm cảnh giới: {0}\n
被迫服役	Bị cưỡng ép phục vụ
上次保存时间:{0}{1}	Thời gian lưu lần trước:{0}{1}
本局游戏永久生效	Hiệu lực vĩnh viễn trong trò chơi hiện tại
入驻	Cư trú
将一个物品灵淬	Linh tẩy một vật phẩm
正兴高采烈的赶路	Đang hứng khởi đi đường
冷淡	Lạnh nhạt
隐藏	Ẩn
数据格式有问题,解析失败，请检查配置数据!	Định dạng dữ liệu gặp vấn đề, phân tích thất bại, vui lòng kiểm tra dữ liệu cấu hình!
{0}:{1} 需求:{2}\n	{0}:{1} Yêu cầu: {2}\n
他的	Của anh ấy
无门派	Không môn phái
内丹	Nội đan
输入数值	Nhập giá trị
(总值)	(Tổng giá trị)
所修功法：{0}({2})\n{1}\n性别：{5}\n年龄：{3:N0}\n道行：{4:N0}	Công pháp đang tu luyện: {0}({2})\n{1}\nGiới tính: {5}\nTuổi: {3:N0}\nĐạo hạnh: {4:N0}
巧匠	Thợ khéo
挖土	Đào đất
{0}的尸体	Thi thể của {0}
埋葬	Chôn cất
\n已达到道行上限	\nĐã đạt giới hạn đạo hạnh
可招揽:{0}/{1}	Có thể chiêu mộ: {0}/{1}
潜力	Tiềm năng.
时年 {0:N0}岁	Năm {0:N0} tuổi
所选对话文件数据异常无法读取	Dữ liệu tệp hội thoại được chọn bất thường, không thể đọc
\n点击建造	\nNhấn để xây dựng
该效果不能对灵兽起作用!	Hiệu quả này không áp dụng cho linh thú!
前往{0}	Đi đến {0}
击退抵抗 : {0:P0}	Kháng cự đánh lui: {0:P0}
(发呆)	(Ngẩn ngơ).
只有对炼丹之道有足够的造诣（20级以上），才能将这部分感悟寄托于装备。	Chỉ khi đạt đủ trình độ luyện đan (cấp 20 trở lên), mới có thể gửi gắm cảm ngộ này vào trang bị.
等待激活	Chờ kích hoạt
孵化进度：{0:N0}%\n	Tiến độ ấp: {0:N0}%\n
\n来自：{0}	\nTừ: {0}
是	 có 
弟子女	Đệ tử nữ
[模组]	[Mô-đun]
机缘	Cơ duyên
新灵智	Linh trí mới
在修理建筑时，正忍不住神游天外	Đang sửa chữa công trình mà không ngừng mơ màng
心境崩溃	Tâm cảnh sụp đổ
框选铺设范围	Khung chọn phạm vi lát
红尘记	Hồng trần ký
男人	Đàn ông
道行:{0}\n{1}	Đạo hạnh: {0}\n{1}
已激活	Đã kích hoạt
行商无法被转换阵营	Thương nhân không thể chuyển đổi phe phái
