Key	Value
该对象曾经诞生过灵性，如今灵性紊乱，无法再次通灵	Đối tượng này từng sinh ra linh tính, nhưng hiện tại linh tính rối loạn, không thể thông linh lần nữa
前往地母石碑许愿(需要500灵石)	Đến Bia Đá Địa Mẫu cầu nguyện (cần 500 linh thạch)
冬	Đông
许愿	Cầu Nguyện
将身上的某件物品送给对方，需要好感度大于等于20。当与门派好感度足够高时，可能会将随身宝物作为回礼。	Tặng một vật phẩm trên người cho đối phương, cần độ thiện cảm lớn hơn hoặc bằng 20. Khi thiện cảm với môn phái đủ cao, có thể nhận được bảo vật mang theo làm quà đáp lễ.
只能对动物使用	Chỉ có thể sử dụng cho động vật
求雨	Cầu Mưa
离开隐匿	Rời khỏi Ẩn Nặc
隐匿	Ẩn Nặc
地母石碑失去了光泽，看起来无法进行许愿	Bia Đá Địa Mẫu đã mất đi ánh sáng, dường như không thể cầu nguyện
村民说：“这附近以前有一块太一门的封地，建有太一门的主殿，现在被拆了。既然你们是太一门逃出来的，也许能建设一番。”	Dân làng nói: “Trước đây gần đây có một phong địa của Thái Nhất Môn, xây dựng đại điện của Thái Nhất Môn, nhưng giờ đã bị phá bỏ. Nếu các ngươi là người trốn ra từ Thái Nhất Môn, có lẽ có thể xây dựng lại nơi này.”
辩论旷日持久，最终也没有个结果，奇观建设被耽误了。	Cuộc tranh luận kéo dài không có hồi kết, việc xây dựng kỳ quan bị trì hoãn.
该角色已经失去灵智	Nhân vật này đã mất đi linh trí
天逢之时	Thiên Phùng Chi Thời
只能对人类使用	Chỉ có thể sử dụng cho nhân loại
在未来不久，天逢之刻即将到来。	Trong tương lai không xa, khoảnh khắc Thiên Phùng sắp đến.
受天道异动影响，无法邀请对方到你的门派做客。	Bị Dị động Thiên Đạo ảnh hưởng, không thể mời đối phương đến môn phái của bạn.
置物台上的%s不能用于种植	%s trên bàn đặt vật không thể dùng để trồng trọt
无何有之乡	Vô Hà Hữu Chi Hương
历史沉淀之所，不甘永驻之地。	Nơi lắng đọng lịch sử, chốn không cam chịu ở mãi.
天逢之刻已至。	Khoảnh khắc Thiên Phùng đã đến.
目标境界过高	Cảnh giới mục tiêu quá cao
可蕴养，当前目标:%s	Có thể dưỡng dục, mục tiêu hiện tại: %s
[NAME]来到此地便感觉到一种亲近的气息，一番寻觅，竟然真的找到了天地灵根的踪迹！	[NAME] đến nơi này liền cảm nhận được một luồng khí tức thân thuộc, sau một hồi tìm kiếm, quả nhiên đã tìm thấy dấu vết của thiên địa linh căn!
[NAME]来到此地便感觉到一种亲近的气息，但似乎欠缺了一些机缘，最终一无所获，只能空手而归。	[NAME] đến nơi này liền cảm nhận được một luồng khí tức thân thuộc, nhưng dường như thiếu một chút cơ duyên, cuối cùng không thu hoạch được gì, đành tay không trở về.
[NAME]来到此地便感觉到一种同出一源的气息，一番寻觅，竟然真的找到了天地灵根的踪迹！	[NAME] đến nơi này liền cảm nhận được một luồng khí tức cùng nguồn gốc, sau một hồi tìm kiếm, quả nhiên đã tìm thấy dấu vết của thiên địa linh căn!
[NAME]来到此地便感觉到一种同出一源的气息，但似乎欠缺了一些机缘，最终一无所获，只能空手而归。	[NAME] đến nơi này liền cảm nhận được một luồng khí tức cùng nguồn gốc, nhưng dường như thiếu một chút cơ duyên, cuối cùng không thu hoạch được gì, đành tay không trở về.
[NAME]凭着感觉一番寻觅，最终一无所获，只能空手而归。	[NAME] dựa vào cảm giác tìm kiếm một hồi, cuối cùng không thu hoạch được gì, đành tay không trở về.
等待移动	Chờ di chuyển
烈阳术	Thuật Mặt Trời Rực Rỡ
邀请对方到你的门派做客，需要好感度大于等于60。	Mời đối phương đến môn phái của ngươi làm khách, cần độ thiện cảm lớn hơn hoặc bằng 60.
地图上已有该类灵植	Trên bản đồ đã có loại linh thực này
心魔化形	Hóa Hình Tâm Ma
{0}大显神通，召唤了大雨，灾难缓解了不少。	{0} thể hiện tài năng, triệu hồi mưa lớn, giảm bớt nhiều thảm họa.
我方赈灾进度增加了{0}。	Tiến độ cứu trợ của chúng ta tăng thêm {0}.
罪孽之雷	Sấm Sét Tội Lỗi
内丹	Nội Đan
示威	Thị Uy
失落之迷阵	Mê Trận Mất Lạc
烈焰之径	Đường Lửa Rực Cháy
心魔龙息	Hơi Thở Rồng Tâm Ma
怒吼	Gầm Thét
业火龙息	Hơi Thở Rồng Nghiệp Hỏa
死亡	Cái Chết
蛟王刺	Thứ Gai Vương Giao
暴雨术	Thuật Mưa Lớn
盘旋	Xoay Tròn
阴阳之怒	Cơn Thịnh Nộ Âm Dương
可观察，当前目标:%s	Có thể quan sát, mục tiêu hiện tại: %s
水脉爆发	Nổ Mạch Nước
神念之雷	Sấm Sét Thần Niệm
业力化形	Hóa Hình Nghiệp Lực
癸水妖雷	Quý Thủy Yêu Lôi
龙怒	Long Nộ
瓶颈突破成功！	Đột phá bình cảnh thành công!
不能对己方动物使用	Không thể sử dụng cho động vật đồng minh
该角色未处于昏迷状态	Nhân vật này không ở trạng thái hôn mê
破土	Phá Đất
法宝	Pháp Bảo
降临	Giáng Lâm
涅槃	Tái Sinh
熔断	Nóng Chảy
真焱形态	Hình Thái Chân Viêm
凤怒九霄	Phượng Nộ Cửu Tiêu
天道之怒-业火缠身	Cơn Thịnh Nộ Thiên Đạo - Nghiệp Hỏa Quấn Thân
请选择一块空地	Hãy chọn một mảnh đất trống
该目标未处于昏迷状态	Mục tiêu này không ở trạng thái hôn mê
真焱形态-回收	Hình Thái Chân Viêm - Thu Hồi
真焱熔断	Nóng Chảy Chân Viêm
反噬	Phản Phệ
天道之怒-心灵遮罩	Cơn Thịnh Nộ Thiên Đạo - Màn Che Tâm Linh
寒狱	Ngục Lạnh
[NAME]解读密卷，发现其中记载了一名古代仙人的食谱，简直莫名其妙。	[NAME] giải đọc mật quyển, phát hiện bên trong ghi chép một thực đơn của tiên nhân cổ đại, thật là khó hiểu.
[NAME]解读密卷，发现其中记载了上古时期人类如厕方式的衍变，简直不知所谓。	[NAME] giải đọc mật quyển, phát hiện bên trong ghi chép sự biến đổi cách đi vệ sinh của nhân loại thời thượng cổ, thật là khó hiểu.
[NAME]解读密卷，发现其中每一个字都认识，但是连起来就完全读不懂了。	[NAME] giải đọc mật quyển, phát hiện từng chữ đều nhận ra, nhưng ghép lại thì hoàn toàn không hiểu gì.
[NAME]解读密卷，发现其中记载了许多古代儿童玩具的制造方法，让人摸不着头脑。	[NAME] giải đọc mật quyển, phát hiện bên trong ghi chép nhiều cách chế tạo đồ chơi trẻ em cổ đại, khiến người ta không thể hiểu nổi.
吞火	Nuốt Lửa
该角色没有化形天劫	Nhân vật này không có hóa hình thiên kiếp
%s采摘完后，算了算时间，大概推算出%s会在天苍历%s年 %s %s日左右再次成熟。	Sau khi %s thu hoạch xong, tính toán thời gian, đại khái suy đoán rằng %s sẽ trưởng thành lại vào khoảng ngày %s tháng %s năm %s của lịch Thiên Thương.
太阳之晶	Tinh Thể Mặt Trời
灼之瞳	Mắt Cháy
泽国	Đất Nước Tràn Ngập
火息虹练	Cầu Lửa Hồng Luyện
善念之术	Thuật Thiện Niệm
灵根备忘录	Sổ ghi nhớ linh căn
兽群呼唤	Gọi Bầy Thú
[NAME]在大竹林深处反复搜寻，终于在某个溪流边寻得这枚黑白相间的玉佩。	[NAME] tìm kiếm kỹ lưỡng trong rừng trúc lớn, cuối cùng cũng tìm được một miếng ngọc bội đen trắng ở bên một dòng suối.
%s成功将天气吸入其中	%s đã thành công hút khí trời vào trong
已经标记了%s，对方如果出行我们将会收到消息。	Đã đánh dấu %s, nếu đối phương xuất hành chúng ta sẽ nhận được tin tức.
真水凝练	Ngưng Luyện Chân Thủy
龙吸术	Thuật Hút Long
天妖化血	Thiên Yêu Hóa Huyết
付辟空	Phó Tịch Không
吸收天气	Hấp thụ khí trời
追踪	Theo dõi
移动摄像头。fParam1为相对时间fParam2:0锁定并释放主角锁定1锁定主角不释放 ,sParam1为移动路径{坐标,摄像机距离},例如{{5000,20},{6000,5}}	Di chuyển camera. fParam1 là thời gian tương đối, fParam2: 0 khóa và thả nhân vật chính, 1 khóa nhân vật chính không thả. sParam1 là đường di chuyển {tọa độ, khoảng cách camera}, ví dụ {{5000,20},{6000,5}}
%s十分懊恼，只得仔细查看了灵植的长势，算了算时间，大概推算出%s会在天苍历%s年 %s %s日左右再次成熟。	%s vô cùng tiếc nuối, chỉ đành xem xét kỹ lưỡng sự phát triển của linh thực, tính toán thời gian, đại khái suy đoán rằng %s sẽ trưởng thành lại vào khoảng ngày %s tháng %s năm %s của lịch Thiên Thương.
岐黄	Kỳ Hoàng
烹饪	Nấu ăn
版筑	Xây dựng
耕作	Canh tác
采掘	Khai thác
雅艺	Nghệ thuật
巧匠	Thủ công
处世	Xử thế
[rand_lable=desc_time,desc_place,desc_weather]，[name]在[obj_action]时，突然心中一动，对%s一道又有感悟。	[rand_lable=desc_time,desc_place,desc_weather], [name] trong lúc [obj_action], đột nhiên trong lòng có chút cảm ngộ về %s.
烈焰之息	Hơi Thở Rực Cháy
%s毫无反应	%s không có phản ứng gì
无法转换该角色的阵营	Không thể chuyển đổi phe của nhân vật này
该动物已经失去灵智	Động vật này đã mất đi linh trí
%s十分懊恼，采摘完剩下的灵植后，仔细查看了灵植的长势，算了算时间，大概推算出%s会在天苍历%s年 %s %s日左右再次成熟。	%s vô cùng tiếc nuối, sau khi thu hoạch nốt linh thực còn lại, xem xét kỹ lưỡng sự phát triển của linh thực, tính toán thời gian, đại khái suy đoán rằng %s sẽ trưởng thành lại vào khoảng ngày %s tháng %s năm %s của lịch Thiên Thương.
尚有未结束的战斗	Vẫn còn trận chiến chưa kết thúc
利用神通使天放晴	Sử dụng thần thông để trời quang mây tạnh
无知者	Kẻ Vô Tri
吾生也有涯，而知也无涯。\n以有涯随无涯，殆已！	Sinh mệnh của ta có hạn, nhưng tri thức thì vô hạn.<br>Lấy cái hữu hạn để theo đuổi cái vô hạn, thật là nguy hiểm!
[NAME]什么都不想做，还是离开这里吧。	[NAME] không tìm thấy hạt giống tu hành phù hợp.
甲：哎你听说了么，村头阿柴明明像兔子一样柔弱，居然杀了人，几个壮汉都拉不住。\n乙：喂，你听说了么，隔壁村的阿柴明明像兔子一样柔弱，居然连续杀了几个壮汉。\n丙：喂喂喂，听说邻县有个叫阿柴的兔子，居然连续杀了几个壮汉。	Giáp: Này, ngươi có nghe chưa, A Sài ở đầu làng rõ ràng yếu đuối như thỏ, vậy mà lại giết người, mấy người đàn ông khỏe mạnh cũng không giữ được. <br>Ất: Này, ngươi có nghe chưa, A Sài ở làng bên cạnh rõ ràng yếu đuối như thỏ, vậy mà liên tiếp giết mấy người đàn ông khỏe mạnh. <br>Bính: Này này, nghe nói ở huyện bên cạnh có một con thỏ tên là A Sài, lại liên tiếp giết mấy người đàn ông khỏe mạnh.
隐匿气息，降低被发现的概率。\n离开隐匿需要五秒。	Ẩn giấu khí tức, giảm khả năng bị phát hiện.<br>Rời khỏi Ẩn Nặc cần 5 giây.
利用神通求得一场雨	Sử dụng thần thông để cầu một cơn mưa
流言	Tin Đồn
[NAME]悄悄追踪这些弟子的踪迹。发现这是一群{0}的内门弟子在掳掠根基不错的凡人修炼魔功。\n[NAME]表明来意，愿意帮忙，只是需要分润一些好处。{0}的弟子略一沉吟答应了[NAME]入伙，短短几日，[NAME]觉得修为有了长足进步。	[NAME] lặng lẽ theo dõi hành tung của những đệ tử này, phát hiện họ là một nhóm đệ tử nội môn của {0} đang bắt cóc những người phàm có căn cơ tốt để luyện ma công. [NAME] bày tỏ ý định muốn giúp đỡ, chỉ yêu cầu chia một chút lợi ích. Các đệ tử của {0} suy nghĩ một chút rồi đồng ý để [NAME] tham gia. Chỉ trong vài ngày, [NAME] cảm thấy tu vi tiến bộ vượt bậc.
道生一	Đạo Sinh Nhất
等待10s	Chờ 10 giây
道生一，一生二，二生三，三生万物。\n万物负阴而抱阳,冲气以为和。	Đạo sinh Nhất, Nhất sinh Nhị, Nhị sinh Tam, Tam sinh vạn vật.<br>Vạn vật mang âm mà ôm dương, hòa khí để làm nên sự hài hòa.
该动物未处于昏迷状态	Động vật này không ở trạng thái hôn mê
恶念	Ác Niệm
周天神算施展成功，获得持续一个月的前知之力。	Chu Thiên Thần Toán thi triển thành công, nhận được lực tiên tri kéo dài một tháng.
天机	Thiên Cơ
[color=MYCOLOR]%s[/color]被[color=#HECOLOR]%s[/color]逗笑了，随手扔了一件物品给它玩。	[color=MYCOLOR]%s[/color] bị [color=#HECOLOR]%s[/color] chọc cười, tiện tay ném một vật phẩm cho nó chơi.
周天神算	Chu Thiên Thần Toán
恶念之渊	Vực Sâu Ác Niệm
曾经有一名富豪贪婪的收集奇珍异宝，并花费巨资为这些宝物建立华丽的宫殿，派遣仆人日日清扫。\n然而，他给的越多，宝物所求也越多，富豪最终因这份爱而失去了自己的一切：\n家庭，未来，还有自己的生命……	Từng có một phú hào tham lam thu thập kỳ trân dị bảo, và tiêu tốn gia tài để xây dựng cung điện lộng lẫy cho những bảo vật này, cử người hầu quét dọn hàng ngày.<br>Tuy nhiên, ông càng cho đi nhiều, bảo vật càng đòi hỏi nhiều hơn, cuối cùng phú hào đã mất đi tất cả vì tình yêu này:<br>Gia đình, tương lai, và cả mạng sống của chính mình…
真焱丹	Đan Chân Viêm
天道审判	Phán Xét Thiên Đạo
随着天机变动，这个神通似乎已失去了作用。	Theo sự biến động của Thiên Cơ, thần thông này dường như đã mất đi tác dụng.
炽火之怒	Phẫn Nộ Rực Lửa
贪婪的宝物	Bảo Vật Tham Lam
他们骂了几句就走了，奇观建设继续进行。	Họ chỉ mắng vài câu rồi rời đi, việc xây dựng kỳ quan tiếp tục.
尚有角色处于隐匿状态	Vẫn còn nhân vật ở trạng thái Ẩn Nặc
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系金行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有金行之力对其有效。	Do mảnh vỡ của tiểu thiên thế giới suy tàn vì thiên đạo sụp đổ, chỉ dựa vào một gốc linh căn trời đất miễn cưỡng duy trì lực thuộc tính Kim mà tồn tại.<br>Thế giới này tràn đầy oán nghiệt của vạn vật tử vong khi trời đất tan vỡ, chúng sinh ra từ loạn giới, chỉ có lực thuộc tính Kim mới hiệu quả đối với chúng.
该角色寿元不足	Nhân vật này không đủ thọ nguyên
乱界夹缝-金之界	Khe Hỗn Loạn - Giới Kim
之后来的npc角色	Nhân vật NPC đến sau
{0}的{1}将会参与下次拍卖。	{0} của {1} sẽ tham gia phiên đấu giá lần tới.
这次拍卖没啥重要人物啊。	Phiên đấu giá lần này không có nhân vật quan trọng nào cả.
大衍神算施展成功，获得一条秘闻。	Đại Diễn Thần Toán thi triển thành công, nhận được một tin tức bí mật.
败	Thất Bại
兵家常事。	Chuyện thường binh gia.
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系木行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有木行之力对其有效。	Do mảnh vỡ của tiểu thiên thế giới suy tàn vì thiên đạo sụp đổ, chỉ dựa vào một gốc linh căn trời đất miễn cưỡng duy trì lực thuộc tính Mộc mà tồn tại.<br>Thế giới này tràn đầy oán nghiệt của vạn vật tử vong khi trời đất tan vỡ, chúng sinh ra từ loạn giới, chỉ có lực thuộc tính Mộc mới hiệu quả đối với chúng.
大衍神算	Đại Diễn Thần Toán
乱界夹缝-木之界	Khe nứt loạn giới - Giới Mộc
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系水行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有水行之力对其有效。	Do mảnh vỡ của tiểu thiên thế giới suy tàn vì thiên đạo sụp đổ, chỉ dựa vào một gốc linh căn trời đất miễn cưỡng duy trì lực thuộc tính Thủy mà tồn tại.<br>Thế giới này tràn đầy oán nghiệt của vạn vật tử vong khi trời đất tan vỡ, chúng sinh ra từ loạn giới, chỉ có lực thuộc tính Thủy mới hiệu quả đối với chúng.
[color=MYCOLOR]%s[/color]觉得[color=HECOLOR]%s[/color]真可爱，好像从冰冷的修仙界找到了一丝温度，心防不在不知不觉中被打开了。	[color=MYCOLOR]%s[/color] cảm thấy [color=HECOLOR]%s[/color] thật đáng yêu, như tìm thấy một chút ấm áp trong thế giới tu tiên lạnh lẽo, phòng ngự trong lòng bất giác được mở ra.
此时的天空并无星光。	Bầu trời lúc này không có ánh sao.
乱界夹缝-水之界	Khe nứt loạn giới - Giới Thủy
无法转换该动物的阵营	Không thể chuyển đổi phe của động vật này
北斗星光	Ánh sao Bắc Đẩu
阿柴	A Sài
{0}大显神通，又减少了食物的产量，灾难加剧了。	{0} thể hiện tài năng, nhưng lại làm giảm sản lượng lương thực, thảm họa càng nghiêm trọng.
赈灾需求提高了{0}。	Nhu cầu cứu trợ tăng thêm {0}.
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系火行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有火行之力对其有效。	Do mảnh vỡ của tiểu thiên thế giới suy tàn vì thiên đạo sụp đổ, chỉ dựa vào một gốc linh căn trời đất miễn cưỡng duy trì lực thuộc tính Hỏa mà tồn tại.<br>Thế giới này tràn đầy oán nghiệt của vạn vật tử vong khi trời đất tan vỡ, chúng sinh ra từ loạn giới, chỉ có lực thuộc tính Hỏa mới hiệu quả đối với chúng.
%s 败于 %s 之手！	%s bại dưới tay %s!
乱界夹缝-火之界	Khe nứt loạn giới - Giới Hỏa
乱界夹缝-土之界	Khe nứt loạn giới - Giới Thổ
心魔吐息	Hơi Thở Tâm Ma
这是技能的tip	Đây là hướng dẫn kỹ năng
业火吐息	Hơi Thở Nghiệp Hỏa
因天道崩碎而衰亡的小千世界碎片，仅凭一株天地灵根勉强维系土行之力而存。\n此界充满天地破碎时万物死亡的冤孽，他们因乱界而生，只有土行之力对其有效。	Do mảnh vỡ của tiểu thiên thế giới suy tàn vì thiên đạo sụp đổ, chỉ dựa vào một gốc linh căn trời đất miễn cưỡng duy trì lực thuộc tính Thổ mà tồn tại.<br>Thế giới này tràn đầy oán nghiệt của vạn vật tử vong khi trời đất tan vỡ, chúng sinh ra từ loạn giới, chỉ có lực thuộc tính Thổ mới hiệu quả đối với chúng.
[NAME]悄悄追踪这些弟子的踪迹。发现这是一群{0}的内门弟子在掳掠根基不错的凡人修炼魔功。\n[NAME]表明来意，愿意帮忙，只是需要分润一些好处。{0}的弟子略一沉吟答应[NAME]的请求。[NAME]面色一喜，却没想到对面突然出手偷袭，[NAME]瞬间被重创，拼了全力才逃得性命。	[NAME] lặng lẽ theo dõi hành tung của những đệ tử này, phát hiện họ là một nhóm đệ tử nội môn của {0} đang bắt cóc những người phàm có căn cơ tốt để luyện ma công. [NAME] bày tỏ ý định muốn giúp đỡ, chỉ yêu cầu chia một chút lợi ích. Các đệ tử của {0} suy nghĩ một chút rồi đồng ý yêu cầu của [NAME]. [NAME] vui mừng ra mặt, nhưng không ngờ đối phương bất ngờ ra tay đánh lén, [NAME] bị trọng thương ngay lập tức, phải dốc toàn lực mới thoát được.
分享码错误或者召唤失败，请重新再试	Mã chia sẻ sai hoặc triệu hồi thất bại, vui lòng thử lại
请输入分享码	Vui lòng nhập mã chia sẻ
尚有角色处于警戒区域，请先远离门派区域	Vẫn còn nhân vật trong khu vực cảnh giác, xin hãy rời khỏi khu vực môn phái trước
无法蕴养	Không thể dưỡng dục
我…我是谁……？这里是哪儿？\n糟了，似乎什么都不记得了……\n不，并不是，我还记得一件事，唯有这件事我不会忘：\n我的这具身体————无坚不摧！	Ta… Ta là ai…? Đây là đâu?<br>Hỏng rồi, dường như ta không nhớ gì cả…<br>Không, không phải vậy, ta vẫn nhớ một điều, duy nhất điều này ta không thể quên:<br>Thân thể này của ta ——— Bất khả chiến bại!
周天神算施展失败。	Chu Thiên Thần Toán thi triển thất bại.
最初者	Người khởi đầu
来的人越来越多，很多人甚至还对建筑设计评头论足，奇观建设被耽误了。	Người đến ngày càng đông, nhiều người thậm chí còn bình phẩm về thiết kế công trình, việc xây dựng kỳ quan bị trì hoãn.
粉红乡是英雄冢。\n百炼钢化绕指柔。	Hồng trần là nơi chôn vùi anh hùng.<br>Thép luyện trăm lần cũng hóa mềm mại.
软弱的心	Trái tim yếu đuối
玉佩碎裂之后，远处有一道天貊的气息飞了过来。	Sau khi ngọc bội vỡ, từ xa có một luồng khí tức của thiên mạc bay đến.
画地为牢	Vẽ đất làm lao
忠诚的将军为王看守宝库。\n千年时光流转，王国早已凋零……\n昔日之誓却如星辉，熠熠闪烁，永不磨灭。	Vị tướng trung thành canh giữ kho báu cho vua.<br>Ngàn năm trôi qua, vương quốc đã sớm suy tàn…<br>Lời thề năm xưa vẫn như ánh sao, sáng rực rỡ, không bao giờ phai mờ.
生命是剧毒，生者饮鸩止渴，但无人能躲过最后的衰亡……\n面对必然的凋零，这一生的挣扎又有何意义？\n来，在我的帮助下，拥抱这生命之毒吧！	Sự sống là một loại độc dược, người sống uống rượu độc để giải khát, nhưng không ai có thể tránh khỏi sự suy tàn cuối cùng…<br>Đối mặt với sự tàn úa không thể tránh, cuộc đấu tranh trong đời này có ý nghĩa gì?<br>Hãy đến đây, dưới sự giúp đỡ của ta, ôm lấy độc dược của sự sống này!
生命之毒	Độc của sự sống
大衍神算施展失败。	Đại Diễn Thần Toán thi triển thất bại.
无法观察	Không thể quan sát
%s今天已经处于饱满状态	%s hôm nay đã đạt trạng thái bão hòa
饥渴的聚灵阵	Trận pháp tụ linh khát khao
为了突破境界，修行者耗尽心力搭建超越极限的聚灵阵。\n然而不知为何，聚灵阵的效果竟然被放大了千百倍。\n在成阵的瞬间，修行者瞬间被无尽的灵气奴役化为傀儡……\n四周大地撕裂，万物凋零……	Để đột phá cảnh giới, người tu luyện dốc hết tâm lực xây dựng trận pháp tụ linh vượt qua giới hạn.<br>Tuy nhiên không biết vì sao, hiệu quả của trận pháp tụ linh lại bị phóng đại lên hàng ngàn lần.<br>Ngay khi trận pháp hình thành, người tu luyện lập tức bị linh khí vô tận nô dịch hóa thành con rối…<br>Đất đai xung quanh bị xé rách, vạn vật tàn úa…
天池之主	Chủ nhân Thiên Trì
吾乃玄溟，龙中之龙也！\n吾功业盖世，诸天仙神亦难及项背！\n吾乃天池之主！	Ta là Huyền Minh, rồng trong các loài rồng!<br>Thành tựu của ta vượt qua thế gian, chư thiên tiên thần cũng khó sánh vai!<br>Ta chính là chủ nhân Thiên Trì!
好牛逼	Thật lợi hại!
好牛逼的法宝	Pháp bảo thật lợi hại!
