拜祖师	Bái tổ sư
白虹涤心衣	Bạch Hồng Tẩy Tâm Y
狼皮香囊	Túi thơm da sói
行疆幻空囊	Hành Cương Huyễn Không Nang
兔皮休闲衣衫	Áo giải trí da thỏ
行疆甲	Hành Cương Giáp
霹雳白骨碑	Phích Lịch Bạch Cốt Bi
青龙斩仙草	Thanh Long Trảm Tiên Thảo
垃圾	Rác
七魄毒	Thất Phách Độc
苍莽飞星谱	Thương Mãng Phi Tinh Phổ
灰石环	Vòng hôi thạch
腾岳辟邪环	Đằng Nhạc Bích Tà Hoàn
苍龙神卷	Thương Long Thần Quyển
雌蛇粪便	Phân rắn cái
母兔子粪便	Phân thỏ cái
布薄下裳	Xiêm y mỏng
兔皮薄衣衫	Áo mỏng da thỏ
野猪皮薄下裳	Hạ Thường da lợn rừng mỏng
星髓弓	Cung Tinh Tuỷ
灵石刀	Linh Thạch Đao
寒晶长枪	Thương Dài Hàn Tinh
星髓剑	Kiếm Tinh tủy
大理石锤	Búa Đá Cẩm Thạch
三千烦恼	Tam Thiên Phiền Não
干锅田鸡	Cán Oa Điền Kê
棕石锤	Búa đá nâu
玄铁铃铛	Chuông huyền thiết
断岳白骨铃	Linh Bạch Cốt Đoạn Nhạc
碧光斩仙弓	Bích Quang Trảm Tiên Cung
五内摄欲	Ngũ Nội Nhiếp Dục
铁剑	Kiếm sắt
兔皮厚制下裳	Hậu Chế Hạ Thường Da Thỏ
万里飞星衣	Vạn Lý Phi Tinh Y
九宫飞羽散	Cửu Cung Phi Vũ Tán
灰石剑	Kiếm Đá Xám
狼皮厚制下裳	Da sói Hậu Chế Hạ Thường
万里磨骨衫	Vạn Lý Ma Cốt Áo dài
五戒琢玉	Ngũ Giới Trác Ngọc
棕石弓	Đá nâu cung
原木	Gỗ nguyên liệu
甲乙玄光柱	Cột Huyền Quang Giáp Ất
碧光索	Dây Bích Quang
布修行下裳	Quần tu hành vải
碧光落樱甲	Bích Quang Lạc Anh Giáp
野猪皮休闲下裳	Quần Nghỉ Ngơi Da Lợn Rừng
大理石剑	Kiếm Đá Cẩm Thạch
布伞	Ô vải
青龙圣伞	Thanh Long Thánh Tán
熊皮休闲衣衫	Da gấu Áo Thường Nhật
铁矿镐	Cuốc mỏ
狼皮休闲下裳	Quần da sói thường ngày
青冥	Thanh minh
灵石剑	Linh Thạch Kiếm
万里异骨剑	Vạn Lý Dị Cốt Kiếm
玄铁刀	Huyền Thiết đao
霹雳万骨金	Phích Lịch Vạn Cốt Kim
口味蛇	Khẩu Vị Xà
甲乙千魂局	Giáp Ất Thiên Hồn Cục
野猪皮香囊	Túi Thơm Da Lợn Rừng
地龙玄光囊	Địa Long Huyền Quang Nang
赤炎庇世镇	Trấn Xích Viêm Bị Thế
布香囊	Túi thơm
碧光灵血囊	Bích Quang Linh Huyết Nang
寒晶铃铛	Chuông hàn tinh
归源七魄铃	Linh Thất Phách Quy Nguyên
星髓	Tinh tủy
开天恶魄金	Khai Thiên Ác Phách Kim
苍莽赤血甲	Thương Mãng Xích Huyết Giáp
铁矿石	Quặng sắt
白虎涤心珏	Bạch Hổ Tịnh tâm ngọc
书	Sách
长生紫薇册	Trường Sinh Tử Vi Cách
公兔子粪便	Phân thỏ đực
大理石墙	Tường đá cẩm thạch
铁门（通常）	Cửa sắt (thông thường)
玉石墙	Tường ngọc
铁书架	Giá sách sắt
梧桐木法座	Ngô Đồng Mộc Pháp Tọa
铁墙	Tường sắt
铁琴台	Đàn sắt
木灯柱	Cột đèn
铁假人桩	Thiết nhân
木栅栏	Hàng rào gỗ
铁门派山门	Cổng sắt Môn phái
铁陵墓	Lăng mộ sắt
铁香炉	Lư hương
铁手工桌	Bàn làm việc thủ công sắt
铁制药桌	Bàn thuốc sắt
铁桌子	Bàn sắt
铁床	Giường sắt
木油灯	Đèn dầu gỗ
铁小方桌	Bàn vuông sắt nhỏ
草蒲团	Bồ đoàn
铁丹炉	Lò Đan sắt
铁炼宝台	Bàn luyện bảo sắt
铁花瓶	Bình hoa sắt
铁书画桌	Bàn vẽ sắt
铁虫鸟架	Giá chim sắt
铁法座	Pháp tọa sắt
铁鼎	Đỉnh sắt
灵石置物台	Kệ đặt linh thạch
灵石道德天尊雕像	Tượng Đạo Đức Thiên Tôn Linh thạch
灵石灵宝天尊雕像	Tượng Linh Bảo Thiên Tôn Linh thạch
灵石屏风	Bình phong Linh thạch
灵石墙	Linh thạch tường
灵石门（通常）	Cổng Linh Thạch (Thường)
灵石花瓶	Bình hoa Linh thạch
灵石双人床	Linh thạch Song Nhân Sàng
灵石琴台	Đàn cầm linh thạch
灵石围棋桌	Linh Thạch Vi Kỳ Trác
灵石鼎	Đỉnh Linh thạch
大理石门（通常）	Cửa đá cẩm thạch (Thông thường)
灵石桌子	Bàn Linh Thạch
铁灯笼	Đèn lồng
铁灯柱	Cột đèn sắt
铁围棋桌	Bàn cờ vây sắt
灵石护山剑阵	Kiếm Trận Hộ Sơn Linh Thạch
铁油灯	Đèn dầu sắt
木练功点	Điểm luyện công gỗ
铁水缸	Thùng nước sắt
木门（通常）	Cửa gỗ (thường)
寒晶门（通常）	Hàn Tinh Môn (thông thường)
金丝木门（通常）	Mộc Môn Gỗ kim ti (thông thường)
金丝木灯笼	Đèn lồng kim ti mộc
棕石花瓶	Bình Hoa Đá Nâu
棕石熔炉	Lò luyện kim Đá nâu
寒晶鼎	Tinh hàn đỉnh
梧桐木花瓶	Bình hoa ngô đồng thần mộc
寒晶花瓶	Bình hoa hàn tinh
火铜花瓶	Bình hoa đồng lửa
大理石花瓶	Bình hoa đá cẩm thạch
玄铁花瓶	Bình hoa huyền thiết
星髓花瓶	Bình hoa tinh tủy
金丝木花瓶	Bình hoa gỗ kim tuyến
铁屏风	Bình phong sắt
铁锻铁台	Bàn rèn sắt
铁缝纫桌	Bàn may sắt
铁纺织机	Máy dệt sắt
寒晶八卦旗	Cờ Hàn Nguyệt Bát Quái
大理石狮子	Đại Lý Thạch Sư Tử
大理石灯笼	Đèn lồng đá cẩm thạch
大理石太极旗	Đá cẩm thạch Cờ Thái Cực
金丝木太极旗	Cờ Thái Cực kim ti mộc
金丝木八卦旗	Bát Quái Kỳ kim ti mộc
灵石元始天尊雕像	Linh thạch. Nguyên Thủy Thiên Tôn điêu tượng
灵石神鹤灯	Linh thạch Đèn Thần Hạc
灵石狮子	Sư tử linh thạch
木法座	Pháp tọa gỗ
木太极旗	Cờ Thái Cực gỗ
大理石塔	Tháp Đá Cẩm Thạch
灰石灯柱	Cột đèn đá xám
灰石盆栽-迎客	Bồn cảnh đá xám - Nghênh Khách
灰石盆栽-苍翠	Chậu hoa đá xám - Xanh tươi
灰石书架	Kệ sách Đá xám
灵石镇塔	Linh Thạch Trấn Tháp
灵石假山-叠嶂	Linh thạch Giả Sơn - Điệp Chướng
灵石盆栽-苍翠	Chậu Linh Thạch - Thương Thúy
灵石太极旗	Linh Thạch Thái Cực Kỳ
大理石香炉	Lư hương đá cẩm thạch
一	Một
大理石碑	Bia đá cẩm thạch
太	Thái
大理石灯柱	Cột đèn đá cẩm thạch
大理石神鹤灯	Đèn Thần Hạc Đại Lý Thạch
灰石钟	Đá xám chuông
灵石灯柱	Cột đèn linh thạch
灵石雕塑	Tượng linh thạch
灵石香炉	Linh Thạch Lư Hương
灵石祖师牌位	Bài vị tổ sư Linh Thạch
灵石法座	Linh Thạch Pháp Tọa
灵石八卦旗	Cờ Linh Thạch Bát Quái
灵石灯笼	Đèn lồng linh thạch
灵石碑	Bia Linh thạch
灵石盆栽-迎客	Linh thạch Bồn cảnh - Nghênh Khách
灵石假山-层峦	Linh thạch Giả Sơn - Tầng Loan
红布蒲团	Bồ đoàn vải đỏ
金丝木钟	Kim Ti Mộc Chung
灵石观星台	Đài Quan Tinh Linh Thạch
吃东西	Ăn uống
睡觉	Ngủ
闲逛	Dạo chơi
雌蛇	Rắn cái
恶劣的环境	Môi trường tồi tệ
拆除	Tháo dỡ
脏乱的环境	Môi trường bẩn thỉu
漆黑	Đen tối
极寒	Cực hàn
挖矿	Khai thác mỏ
昏暗	Tối tăm
筑基	Trúc Cơ
全身受伤	Toàn thân bị thương
冻伤导致全身被破坏	Bị phá hủy toàn thân do tê cóng
滕	Đằng
厚	Hậu
母兔子	Thỏ cái
公兔子	Thỏ đực
人间绝景	Tuyệt cảnh nhân gian
境界提升	Cảnh giới nâng cao.
突破瓶颈	Đột phá bình cảnh
芮	Nhuế
鸿畅	Hồng Sướng
赌场老板	Đổ Tràng Lão Bản
掌门	Chưởng môn
非常饿	Rất đói.
蔚	Úy
兴思	Hưng Tư
芮鸿畅	Nhuệ Hồng Sướng
有点热	Hơi nóng
需要房间	Cần một căn phòng
跟芮鸿畅发生了争吵	Đã xảy ra tranh cãi với Hồng Sướng
炎热	Nóng bức
装备	Trang bị
褚	Chử
未熄	Vị Tức
多姿多彩	Muôn màu muôn vẻ.
睡在地上	Ngủ trên mặt đất
有点冷	Hơi lạnh
空旷的房间	Phòng trống trải
睡眠充沛	Ngủ đủ giấc
收获	Thu hoạch
长孙	Trưởng tôn
山	Núi
合适的衣装	Trang phục phù hợp
行为	Hành vi
庄	Trang
明	Minh
闻人	Văn nhân
刚	Cương
炙热	Nóng rực
非常疲劳	Rất mệt mỏi.
咸	Hàm
晓曼	Hiểu Mạn
吃生食	Ăn đồ sống
秋	Mùa thu
梦琪	Mộng Kỳ
小麦	Lúa mì
汝克	Nhữ Khắc
弃婴	Khí Anh
筑基有成	Trúc Cơ Hữu Thành
糟糕的布置	Bố trí tồi tệ
翁	Ông
琼	Quỳnh
雪原少年	Tuyết Nguyên Thiếu Niên
新世界	Thế giới mới.
灵气浓烈	Linh khí đậm đặc.
钭	Thẩu
自强	Tự Cường
佛门传承	Phật Môn Truyện Thừa
矿工	Khoáng Công
睡在野外	Ngủ ngoài trời
单	Đan
仁	Nhân
夹谷世	Giáp Cốc Thế
夹谷	Giáp Cốc
叶	Diệp
单仁	Đơn Nhân
焦	Tiêu
良	Lương
施	Thi
华	Hoa
游	Du
凝阳	Ngưng Dương
秦	Tần
善	Thiện
吕	Lữ
芷蕾	Chỉ Lôi
糟糕的衣服	Quần áo tồi tàn
交际	Giao tiếp
练习	Luyện tập
令狐	Lệnh Hồ
天	Ngày
桓	Hoàn
先	Tiên
司马	Ti Mã
顺	Thuận
杨	Dương
大	Lớn
扫地	Quét dọn.
太一	Thái Nhất
门	Cửa
着火了	Bị cháy
存档写入完成	Hoàn tất ghi lưu trữ
先天罡气	Tiên Thiên Cương Khí
化伤术	Hóa Thương Thuật
璇玑剑谱	Huyễn Cơ Kiếm Phổ
清心咒	Thanh Tâm Chú
吸星掌	Hấp Tinh Chưởng
指北录	Chỉ Bắc lục
入定之术	Thuật Nhập Định
周天神算	Chu Thiên Thần Toán
北斗绝式-北极剑	Bắc Đẩu Tuyệt Thức-Bắc Cực Kiếm
天心正法	Thiên Tâm Chính Pháp
御木诀	Ngự Mộc Quyết
玉液炼形诀	Ngọc Dịch Luyện Hình Quyết
灵息诀	Linh Tức Quyết
求雨术	Cầu Vũ Thuật
驱云诀	Khu Vân Quyết
微草神视秘要	Vi Thảo Thần Thị Bí Yếu
玉京飞流法	Ngọc Kinh Phi Lưu Pháp
三世洞真法	Tam Thế Động Chân Pháp
太和御气诀	Thái Hòa Ngự Khí Quyết


