ID	Secret	Title	Type	Source	Txt	RelationEvidence	RelationMotivation	BeiZhu
16	2	Bí ẩn diệt môn	1	Bách Man Sơn Đại Năng·Bạch Chỉ	Theo lời đại năng Bạch Chỉ của Bách Man Sơn, [desc_daytime=-20], một đại năng thông thạo cổ tịch tên là Ân Liên từ Hợp Hoan Phái đã đến thăm, giáo chủ Bách Man Sơn đã thử hỏi về bảo vật cổ đại "Khô Năng Giới", không ngờ thực sự đã từ miệng ông ta nghe được rằng vật này dường như có liên quan đến một môn phái tên là Thái Nhất Môn trong giới tu luyện Đông Nam.	23	8	Hợp Hoan
17	2	Bí ẩn diệt môn	1	Bách Man Sơn Đại Năng·Bạch Chỉ	Theo lời đại năng Bạch Chỉ của Bách Man Sơn, [desc_daytime=-20], trong một lần đi chơi cùng đại năng Thất Thiên Đình, nàng vừa lúc nhận được tín hiệu bí mật từ một điệp viên ở Thất Thiên Đình. Trưởng lão Thất Thiên Đình không hề tránh né cô, mà mở thư mật ngay trước mặt, trong đó vừa khéo có một tin tức về việc giáo chủ Thái Nhất Môn đột phá Kim Đan, toàn bộ đệ tử trong phái đều trở về núi để chúc mừng.	24	9	Thất Thiên
18	2	Bí ẩn diệt môn	1	Bách Man Sơn Đại Năng·Bạch Chỉ	Theo lời đại năng Bạch Chỉ của Bách Man Sơn, Bách Man Sơn ban đầu lo lắng rằng Thái Nhất Môn đã có bảo vật quan trọng này, có thể có một số bối cảnh, nếu không thể tiêu diệt hoàn toàn, có thể sẽ có hậu hoạ. Ngay lúc này, một nhóm người bí ẩn lại mang đến sơ đồ trận pháp cổ đại Đoạt Long, tuyên bố có thù với Thái Nhất Môn và sẵn sàng tham gia vào cuộc vây bắt lần này. Những người bí ẩn này có chân khí thuần khiết và mạnh mẽ, khí tím lờ mờ, dường như đến từ môn phái chính đạo Tử Thiên Tông.	25	10	Tử Tiêu
19	2	Bí ẩn diệt môn	1	Tử Tiêu Tông Đại Năng·Tân Kỳ	Theo lời đại năng Tân Kỳ của Tử Thiên Tông, [desc_daytime=-20], nhiều đại năng của Huyền Nhất Đạo đã đến thăm Tử Thiên Tông, tổ chức một buổi biểu diễn pháp thuật giao lưu, các đại năng của hai phái đều xuất hiện, thảo luận trong nhiều ngày, truyền ra nhiều câu chuyện hay. Tuy nhiên, buổi biểu diễn pháp thuật này lại cấm các đệ tử bình thường tham gia quan sát, thực sự là có chút kỳ lạ.	26	11	Chính Nhất
20	2	Bí ẩn diệt môn	1	Tử Tiêu Tông Đại Năng·Tân Kỳ	Theo lời đại năng Tân Kỳ của Tử Thiên Tông, [desc_daytime=-20], Khôn Lôn Cung đã đến thăm Tử Thiên Tông, đã trao đổi một số sơ đồ trận pháp để đổi lấy một số đan dược. Nói rằng những sơ đồ trận pháp này rất quý giá, trong đó thậm chí bao gồm cả trận pháp cổ đại Đoạt Long, trong khi Khôn Lôn Cung cũng rất giỏi trong việc luyện đan, thực sự khiến người ta không hiểu nổi tại sao lại làm một thương vụ lỗ vốn như vậy.	27	12	Côn Lôn
21	2	Bí ẩn diệt môn	1	Tử Tiêu Tông Đại Năng·Tân Kỳ	Theo lời đại năng Tân Kỳ của Tử Thiên Tông, [desc_daytime=-20], Đan Hỏa Sơn đã lấy lý do mở rộng môn phái để bán một số lượng lớn nguyên liệu rồng với giá thấp cho Tử Thiên Tông để đổi lấy một lượng lớn linh thạch. Nhưng sau đó, họ đã yêu cầu xin cấp nguyên liệu rồng để luyện chế, nhưng không được phép, không biết trong môn phái đã sử dụng những nguyên liệu rồng này cho mục đích gì, khiến người ta cảm thấy khá kỳ lạ.	28|29	13	Đan Hà
22	2	Bí ẩn diệt môn	2	Thất Sát Ma Cung Đại Năng·Vu Mặc Nhiễm	Theo lời đại năng U Mặc Nhi của Thất Man Sơn, [desc_daytime=-20], nhiều lãnh đạo của Thất Man Sơn đột nhiên có hành động khác thường trong việc tra cứu hồ sơ về bảo vật cổ đại trong kho sách. Phải biết rằng Thất Man Sơn lấy giết chóc làm đạo, rất ít có môn đồ nào quan tâm đến những truyền thuyết cổ xưa như vậy, huống chi là nhiều trưởng lão cùng hành động, thực sự có chút kỳ quái.			Thất Sát
23	2	Bí ẩn diệt môn	2	Hợp Hoan Phái Đại Năng·Ân Liên	Theo lời đại năng Ân Liên của Hợp Hoan Phái, nàng đã luôn bế quan nghiên cứu lịch sử cổ đại ở phía sau núi, [desc_daytime=-20], vô tình tìm thấy một quyển sách bị hỏng trong kho sách của môn phái, trong đó lại ghi chép về bảo vật cổ đại "Khô Năng Giới" hiện có thể đang lạc lối trong một môn phái nhỏ ở Đông Nam. Khi nàng đang thắc mắc tại sao mình đã không chú ý đến quyển sách này trong suốt mấy chục năm, thì giáo chủ đột nhiên phái cô đi sứ đến Bách Man Sơn. Điều kỳ lạ là, mọi người ở Bách Man Sơn vừa mở miệng đã hỏi về nơi ở của "Khô Năng Giới", điều này khiến cô cảm thấy có một sự trùng hợp kỳ lạ. Thêm vào đó, bạn đã chú ý đến một pháp ấn rất kỳ lạ trên một viên cổ ngọc trên người trưởng lão Ân Liên, nó trông có vẻ rất cổ kính, dường như là một phần của một loại pháp ấn phức tạp hơn, điều này khiến bạn cảm thấy có chút quan tâm, vì vậy đã lén lút ghi nhớ lại.			Hợp Hoan
24	2	Bí ẩn diệt môn	2	Thất Thiên Ổ Đệ Tử·Chu Phi	Theo lời đệ tử Chu Phi của Thất Thiên Đình, anh ta luôn phụ trách việc tiếp nhận tin tức của các điệp viên ở Trung Nguyên. [desc_daytime=-20], khi báo cáo cho các trưởng lão trong môn phái, trưởng lão thậm chí không tránh né người lạ bên cạnh, mà trực tiếp yêu cầu anh ta báo cáo ngay tại chỗ. Lúc đó, bản thân anh ta nghĩ rằng đó là một trưởng lão chưa từng gặp, không ngờ sau này mới biết người đó lại xuất thân từ Bách Man Sơn. Trưởng lão đó luôn làm việc rất nghiêm túc, tình huống lần này thực sự khiến người ta cảm thấy kỳ lạ.			Thất Thiên
25	2	Bí ẩn diệt môn	2	Tử Tiêu Tông Đệ Tử·Tần Kiệt	Theo lời đệ tử Tần Kiệt của Tử Thiên Tông, [desc_daytime=-20], anh ta chuẩn bị đột phá Kim Đan và yêu cầu sư phụ bảo vệ, nhưng khi đến lúc, sư phụ lại và các trưởng lão trong môn phái bất ngờ thông báo rằng sẽ tham ngộ đại đạo, tập trung bế quan trong nhiều ngày. Và sau khi bế quan kết thúc, sư phụ lại vì thất bại trong việc ngộ đạo mà bị thương, cơ hội kết đan mà anh ta đã chờ đợi suốt nhiều năm đã bị bỏ lỡ. Anh ta thực sự không thể hiểu tại sao sư phụ vốn đối xử với mình như con ruột lại lại không quan tâm đến mình trong thời điểm quan trọng như vậy, đi tham gia vào cuộc bế quan tập thể kỳ quái đó.			Tử Tiêu
26	2	Bí ẩn diệt môn	2	Huyền Nhất Đạo Đại Năng·Diệp Bạch Tuyết	Theo lời đại năng Diệp Bạch Tuyết của Huyền Nhất Đạo, [desc_daytime=-20], giáo chủ đã ra lệnh cho mười mấy trưởng lão cùng đi sứ đến Tử Thiên Tông, tiến hành một buổi luận pháp với các trưởng lão của Tử Thiên Tông. Quy mô của chuyến đi sứ này, Huyền Nhất Đạo trong nhiều năm qua hiếm có, vốn khiến họ rất mong đợi. Tuy nhiên, cuối cùng Tử Thiên Tông chỉ phái ra một vài tu sĩ không rõ danh tính để thảo luận với họ, pháp thuật của họ cũng không cao siêu, sự chậm trễ như vậy thực sự là không tôn trọng, khiến người ta tức giận vô cùng.			Chính Nhất
27	2	Bí ẩn diệt môn	2	Côn Lôn Cung Trường Lão·Ly Vĩ Yến	Theo lời trưởng lão Ly Vĩ Yến của Khôn Lôn Cung, [desc_daytime=-20], nàng theo lệnh của giáo chủ đi sứ đến Tử Thiên Tông, đã đổi một số sơ đồ trận pháp quý giá để lấy một lượng lớn đan dược mà môn phái không thiếu. Kể từ khi nàng quản lý kho tàng của Khôn Lôn Cung, chưa bao giờ làm một thương vụ lỗ vốn như vậy, thực sự khiến người ta day dứt không yên.			Côn Lôn
28	2	Bí ẩn diệt môn	2	Đan Hà Động Thiên Trường Lão·Tạ Tư	Theo lời trưởng lão Tiết Tư của Đan Hỏa Sơn, [desc_daytime=-20], giáo chủ Đan Hỏa Sơn lấy lý do mở rộng môn phái để bán một lượng lớn nguyên liệu rồng với giá thấp cho Tử Thiên Tông để đổi lấy một lượng lớn linh thạch. Tuy nhiên, ông đã chuẩn bị rất lâu cho việc mở rộng môn phái, thậm chí vì điều này đã trì hoãn một bảo vật sắp hoàn thành, nhưng lại nhận được thông báo rằng kế hoạch mở rộng đã bị hủy bỏ. Thực sự khiến người ta tiếc nuối.			Đan Hà
29	2	Bí ẩn diệt môn	2	Côn Lôn Cung Đại Năng·Cổ Thông	Theo lời đại năng Cổ Thông của Khôn Lôn Cung, trận Đoạt Long phải sử dụng vật phẩm có hình dạng rồng làm mắt trận, nhờ vào hơi thở của rồng để kích hoạt linh khí của thiên địa, mới có thể phong tỏa trời đất, phát huy toàn bộ sức mạnh. Thêm vào đó, bạn đã chú ý đến một ký hiệu pháp ấn rất kỳ lạ trên một sơ đồ trận pháp mà Cổ Thông đang nghiên cứu, nó trông có vẻ rất cổ kính, dường như là một phần của một loại pháp ấn phức tạp hơn, điều này khiến bạn cảm thấy có chút quan tâm, vì vậy đã lén lút ghi nhớ lại.			Côn Lôn
30	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	《 Thượng Cổ Dị Văn·Tiên Ma Chi Chiến·Quyển Thập Ngũ 》	Theo ghi chép trong "Cổ Thời Dị Văn · Chiến Tranh Tiên Ma · Quyển Mười Lăm", trong thời kỳ cổ đại, dưới sự lãnh đạo của Đông Hoàng Cung, nhân gian đã giành được hai chiến thắng trong cuộc chiến giữa tiên và ma. Tuy nhiên, cả hai trận chiến, giới tu luyện đều phải chịu tổn thất nặng nề. Tổn thất khổng lồ khiến trong Đông Hoàng Cung có một bộ phận người nảy sinh thái độ bi quan đối với cuộc chiến tranh tiên ma lần thứ ba, vì vậy đã dốc toàn bộ lực lượng của giới tu luyện để tạo ra bảo vật "Khô Năng Giới", với hy vọng rằng khi thiên tai xảy ra có thể trốn vào thế giới nhỏ mà nó khai phá để tránh khỏi thảm họa, để lại ngọn lửa cho nhân gian.			
31	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	1	Hợp Hoan Phái Đại Năng·Ân Liên	Theo lời đại năng Ân Liên của Hợp Hoan Phái, "Khô Năng Giới" là bảo vật đến từ đại phái cổ đại Đông Hoàng Cung. Nhưng một bảo vật như vậy có khả năng khai phá không gian, độ khó trong việc luyện chế thật sự là khó có thể tưởng tượng, nếu không có nhu cầu bắt buộc, thực sự không có lý do gì để luyện chế bảo vật như vậy. Và một bảo vật trọng yếu như vậy lại làm sao lại rơi vào tay Thái Nhất Môn, mang đến cho họ thảm họa diệt môn?	32	30|40	Đông Hoàng Cung
32	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	2	《 Thái Nhất Bí Điển 》	Theo ghi chép trong "Bí Điển Thái Nhất", trong thời kỳ cổ đại, lãnh đạo của giới tu luyện nhân gian chính là Đông Hoàng Cung, một trong ba hoàng truyền thừa, sức mạnh áp đảo thiên hạ, không ai không phục. Chỉ là một ngàn năm trước, một biến cố lớn đã khiến Đông Hoàng Cung gần như bị diệt, sau biến cố, Đông Hoàng Cung trở thành một điều cấm kỵ trong giới tu luyện, tài liệu và lịch sử của họ đều bị tiêu hủy, từ đó như chưa từng tồn tại. Hơn một trăm năm sau, một nhánh truyền thừa bí mật còn sót lại đã âm thầm xuất hiện, để tránh sự chú ý của mọi người, họ đã thành lập một môn phái mới, tên là: Thái Nhất Môn!			
33	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	《 Thượng Cổ Dị Văn·Tiên Ma Chi Chiến·Quyển Thất 》	Theo ghi chép trong "Cổ Thời Dị Văn · Chiến Tranh Tiên Ma · Quyển Bảy", trong cuộc chiến tranh tiên ma lần thứ hai, mười đại tà giáo cấu kết với ma đầu, suýt nữa dẫn đến sự diệt vong của nhân gian. Giáo chủ Đông Hoàng Cung đã hiến thân tế trời, tái hiện thân pháp Đông Hoàng, bằng sức mạnh sấm sét đã đánh bại mười đại tà giáo, khiến chúng gần như bị diệt hết, cuối cùng giành chiến thắng trong cuộc chiến tranh tiên ma lần thứ hai.			
34	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	Hợp Hoan Phái Đại Năng·Ân Liên	Theo lời đại năng Ân Liên của Hợp Hoan Phái, trong thời kỳ cổ đại, mười đại tà giáo lần lượt là: Xích Thân Giáo, Thất Sát Ma Cung, Huyết Thần Giáo, Nhật Nguyệt Thần Giáo, Âm Dương Tông, Ngũ Tình Hải, Thiên Ma Tông, Thiên Tà Điện, Địa Mẫu Thần Giáo, Bái Nguyệt Giáo.			
35	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	Hợp Hoan Phái Đại Năng·Ân Liên	Theo lời đại năng Ân Liên của Hợp Hoan Phái, Hợp Hoan Phái là một truyền thừa cổ đại, trong thời kỳ cổ đại đã nổi tiếng là Âm Dương Tông.			
36	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	Hợp Hoan Phái Đại Năng·Ân Liên	Theo lời đại năng Ân Liên của Hợp Hoan Phái, trong thời kỳ cổ đại, Địa Mẫu Thần Giáo là giáo phái mạnh nhất trong giới tu luyện phương Tây, dưới trướng có tới mười vạn đệ tử. Sau cuộc chiến tranh tiên ma, vì một biến động lớn mà gần như bị diệt, một nhánh còn sót lại đã chuyển đổi môn phái, lập lại một môn phái mới, gọi là Thất Thiên Đình.			
37	10002	Bí mật ngày xưa - Kết luận đã biết	1		Không còn nghi ngờ gì nữa, Thất Sát Ma Cung, Hợp Hoan Phái, Thất Thiên Đình đã âm thầm tham gia vào việc thúc đẩy sự kiện tiêu diệt Thái Nhất Môn, thậm chí còn có một loại thù hận đối với Thái Nhất Môn. Nhưng Thái Nhất Môn chỉ là một môn phái nhỏ được thành lập trong gần một trăm năm qua, ba phái này lại là những đại phái ma đạo hiện nay, sự thù hận vô lý này thực sự không thể hiểu nổi.	32	33|34|35|36|40	七杀合欢七千
38	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	《 Thượng Cổ Dị Văn·Tiên Ma Chi Chiến·Quyển Ngũ 》	Theo ghi chép trong "Cổ Thời Dị Văn · Chiến Tranh Tiên Ma · Quyển Năm", trước khi cuộc chiến tranh tiên ma lần thứ hai nổ ra, Đông Hoàng Cung lãnh đạo giới tu luyện nhân gian đã thiết lập một mặt trận thống nhất để chống lại ma giới, tuy nhiên Tử Thiên Tông lại dựa vào chính đạo của mình, không phục sự quản lý. Vào thời khắc quan trọng, khi sấm sét hành động, giáo chủ Đông Hoàng đã tự tay giết chết bảy trưởng lão của Tử Thiên Tông chống lệnh, để ổn định lòng quân, cuối cùng mặt trận thống nhất đã được thiết lập, giành chiến thắng trong cuộc chiến tranh tiên ma lần thứ hai. Cuộc chiến này do sự biến cố của Tử Thiên Tông đã gây ra sự nội chiến nghiêm trọng, dẫn đến tổn thất nặng nề trong giới tu luyện, Đông Hoàng Cung đã ép Tử Thiên Tông phải lập lời thề, trở thành tiên phong trong cuộc chiến tranh tiên ma lần thứ ba, để chuộc tội.			
39	10002	Bí mật ngày xưa - Kết luận đã biết	1		Không còn nghi ngờ gì nữa, Tử Thiên Tông đã trực tiếp tham gia vào sự kiện tiêu diệt Thái Nhất Môn, họ dường như có một loại sợ hãi và e dè không rõ nguyên do đối với Thái Nhất Môn, hành động này giống như là một hành động phòng ngừa nào đó được thực hiện dưới danh nghĩa của Bách Man Sơn. Nhưng Thái Nhất Môn chỉ là một môn phái nhỏ được thành lập trong gần một trăm năm qua, Tử Thiên Tông lại là một đại phái có truyền thừa từ thời cổ đại, sự sợ hãi và e dè vô lý này thực sự khiến người ta không thể hiểu nổi.	32	38|40	紫霄宗
40	10000	Bí mật ngày xưa - Truyền thuyết cổ đại	0	《 Thượng Cổ Dị Văn·Tiên Ma Chi Chiến·Quyển Nhất 》	Theo ghi chép trong "Cổ Thời Dị Văn · Chiến Tranh Tiên Ma · Quyển Một", trong thời kỳ cổ đại, sau khi ba hoàng bay lên, chỉ có Đông Hoàng để lại đạo thống trong nhân gian, được gọi là Đông Hoàng Cung. Thế lực của nó áp đảo thời đại, không ai có thể đối kháng, là chính đạo không thể nghi ngờ. Dưới sự lãnh đạo của nó, cả hai cuộc chiến tranh tiên ma nhân gian đều giành chiến thắng, uy danh của nó vang dội trong thời kỳ cổ đại, không ai không biết, không ai không rõ.			
41	10001	Bí mật ngày xưa - Sự kiện cấm kỵ	0	《 Kim Thuyền Tàn Quyển 》	Theo ghi chép trong "Kim Thuyền Tàn Quyển", một ngàn năm trước, Đông Hoàng Cung đột ngột gây ra một cuộc đại loạn trong giới tu luyện, muốn phá hủy căn cơ của các tu sĩ nhân gian. Truyền thuyết rằng giáo chủ Đông Hoàng đã nhiễm ma khí trong cuộc chiến tranh tiên ma, tự ý sửa đổi đại pháp Ngũ Hành do Đông Hoàng truyền lại, hấp thụ ma khí để tu luyện, do đó rơi vào ma đạo, muốn lật đổ nhân gian. Giáo chủ Đông Hoàng còn được gọi là ma trong các loại ma, với tu vi tuyệt thế nhìn xuống thiên hạ, không ai có thể đối kháng. Các tu sĩ nhân gian để cầu sinh tồn, bất kể chính tà đã liên minh lại, máu chiến suốt mười mấy năm, cuối cùng đã tiêu diệt được Đông Hoàng Cung.			
42	10002	Bí mật ngày xưa - Kết luận đã biết	1		Không còn nghi ngờ gì nữa, Bách Man Sơn không phải là người tham gia duy nhất, Tử Thiên Tông cũng âm thầm phái người tham gia vào việc bố trí trận Đoạt Long. Còn khiến người ta kinh ngạc hơn là, sau lưng hai môn phái này, còn có Hợp Hoan Phái, Thất Sát Ma Cung, Thất Thiên Đình, Đan Hỏa Tông, Khôn Lôn Cung, Tử Thiên Tông, sáu đại phái chính tà đang âm thầm thúc đẩy! Mà thái độ của họ đối với Thái Nhất Môn lại có sự tinh tế khác nhau, dù thế nào, điều này hiển nhiên không phải là chuyện đơn giản của tình yêu và thù hận, mà phía sau chắc chắn có những bí mật sâu sắc hơn.	32	40|41	8大派
43	10000	Ngoại truyện: Thông tin cổ đại	0	Hợp Hoan Phái Đại Năng·Ân Liên	Theo lời đại năng Ân Liên của Hợp Hoan Phái, thông tin từ thời kỳ cổ đại ngày nay ít người có thể giải mã. Thực ra khi đó ma tộc thường xuyên xâm nhập vào nhân gian, vì vậy các tu sĩ nhân gian đã thống nhất sử dụng mật chú để phong tỏa thông tin, cách giải chú phải lấy máu của con người làm dẫn. Làm như vậy chính là để ngăn chặn ma tộc xâm nhập vào nhân gian hiểu biết thông tin của nhân gian.			


