ID	Flag	Desc	Txt	Pic	Link	Voice
19	1	Lần đầu tiên hoàn thành phòng	Bạn đã xây dựng một căn phòng. Trong phòng, các thuộc tính như nhiệt độ, độ thẩm mỹ được tính trung bình. Ngoài ra, phòng còn yêu cầu bố trí hợp lý và độ sang trọng. Người chơi có thể nhấp vào sàn để xem thông tin chi tiết về căn phòng.	ui\Help2\023	43	m19
20	1	Lần đầu tiên tâm trạng nhân vật dưới 40	Có một nhân vật có cảm xúc quá thấp. Người chơi có thể dễ dàng xem tâm trạng qua thẻ nhân vật ở đầu màn hình. Nếu tâm trạng của nhân vật thấp, cần kiểm tra cảm xúc cụ thể trong bảng tâm trạng của nhân vật đó và giải quyết vấn đề một cách có mục tiêu.	ui\Help2\024	23	m20
21	1	Lần đầu tiên nhân vật lười biếng	Có một đệ tử ngoại môn đang lười biếng. Khi tâm trạng của đệ tử ngoại môn dưới 30, họ sẽ lười biếng và không làm việc. Nếu trong thời gian này tâm trạng của nhân vật tăng lên trên 45, trạng thái lười biếng sẽ kết thúc sớm.	ui\Help2\025	23	m21
22	1	Lần đầu tiên có nhân vật cảm thấy nhiệt độ không thoải mái	Có một nhân vật cảm thấy không thoải mái với nhiệt độ. Người chơi có thể cải thiện trang bị (như mặc quần áo phù hợp, mang bùa chú phù hợp) hoặc thay đổi môi trường (như đốt lửa trại, dùng vật liệu lạnh để làm đồ nội thất) để giải quyết vấn đề này. 	ui\Help2\026	23	m22
23	1	Lần đầu tiên thông báo lượng thực phẩm không đủ	Dự trữ thức ăn của bạn không đủ, hãy tìm thức ăn mới trước khi hết thức ăn. Nếu thức ăn cạn kiệt, nhân vật sẽ chết vì đói.	ui\Help2\027		m23
24	1	Lần đầu tiên thông báo lượng thuốc không đủ	Dự trữ thuốc của bạn không đủ, hãy tìm thuốc mới trước khi hết thuốc. Nếu thuốc cạn kiệt, nhân vật bị thương sẽ không thể được chữa trị.	ui\Help2\028		m24
25	1	Lần đầu tiên ăn đất	Có một nhân vật vì đói quá mà ăn đất. Lưu ý rằng ăn đất nhiều lần liên tiếp sẽ gây tử vong do đầy bụng. Hãy trồng các loại cây dễ chín như nấm, săn bắn, hoặc lịch luyện tại làng Nam Bình để thu thập thức ăn.	ui\Help2\029		m25
26	1	Lần đầu tiên thông báo lượng tinh nguyên không đủ	Dự trữ tinh nguyên vật phẩm của bạn không đủ, hãy nhanh chóng thu thập tinh nguyên vật phẩm mới. Tất cả các hoạt động tu luyện của đệ tử nội môn đều cần tinh nguyên, nếu tinh nguyên cạn kiệt, nhân vật sẽ không thể tiếp tục tu luyện.	ui\Help2\030	63	m26
27	1	Lần đầu tiên có kẻ thù đến	Có một nhóm kẻ thù xuất hiện gần đây, họ sắp tấn công bạn. Sức mạnh của kẻ thù liên quan đến danh tiếng của môn phái, danh tiếng càng cao, kẻ thù càng mạnh.	ui\Help2\031	21	m27
28	1	Lần đầu tiên bị thương do ngoại môn	Có một nhân vật bị thương, người chơi có thể kiểm tra thông tin vết thương trong bảng sức khỏe. Tốc độ hồi phục vết thương liên quan đến [color=#D06508]khả năng hồi phục của người bị thương[/color], [color=#D06508]trình độ y thuật của người chữa trị[/color], và [color=#D06508]thuốc chữa trị[/color]. Nếu sau khi chữa trị mà vết thương không cải thiện, hãy cố gắng cải thiện các điều kiện này.	ui\Help2\032	25	m28
29	1	Lần đầu tiên bị thương do nội môn	Có một nhân vật bị thương bởi chân khí dị chủng, người chơi có thể kiểm tra thông tin vết thương trong bảng sức khỏe. Vết thương do chân khí dị chủng gây ra không thể hồi phục bằng thuốc, phải luyện chế [color=#D06508]đan dược tương ứng[/color] trong lò luyện đan và cho người bị thương uống thủ công để hóa giải vết thương. Tốc độ hồi phục vết thương do chân khí dị chủng gây ra liên quan đến [color=#D06508]khả năng hồi phục của người bị thương[/color] và [color=#D06508]hiệu quả của đan dược[/color]. Nếu sau khi uống đan dược mà vết thương không cải thiện, hãy cố gắng cải thiện các yếu tố này.	ui\Help2\033	25	m29
30	1	Lần đầu tiên gặp phải bế tắc	Có một nhân vật tu luyện gặp phải bình cảnh. Trong quá trình tu luyện, nhân vật sẽ gặp phải các loại bình cảnh khác nhau. Chỉ khi vượt qua bình cảnh, họ mới có thể tiếp tục tu luyện. Các phương pháp vượt qua bình cảnh khác nhau tùy theo từng loại, hãy tối ưu hóa điều kiện vượt qua bình cảnh theo đặc điểm của nó để giúp nhân vật vượt qua dễ dàng hơn.	ui\Help2\034	65	m30
31	1	Lần đầu tiên tâm cảnh dưới 50	Có một nhân vật tu luyện gặp vấn đề về tâm cảnh. Tâm cảnh là thuộc tính quan trọng của người tu luyện, liên quan mật thiết đến tu luyện, đột phá, luyện đan, luyện bảo. Người chơi có thể điều chỉnh tâm cảnh của đệ tử thông qua [color=#D06508]lựa chọn chế độ tu luyện[/color] trong bảng nhân vật.	ui\Help2\035	64	m31
32	1	Lần đầu tiên bị ma nhập	Có một nhân vật tu luyện bị nhập ma. Dù nhân vật tu luyện không lười biếng, nhưng nếu [color=#D06508]tâm trạng thấp trong thời gian dài[/color], họ có thể bị nhập ma. Sau khi nhập ma, nhân vật sẽ hoàn toàn mất kiểm soát, chỉ có thể chờ hồi phục. Hãy đảm bảo tâm trạng không quá thấp để tránh nhập ma.	ui\Help2\036	64	m32
33	1	Lần đầu tiên kết đan thành công	Có một nhân vật tu luyện thành công kết thành kim đan! Kim đan tu sĩ có thể nhận đệ tử, sở hữu linh khí mạnh mẽ, nắm giữ các thần thông, có thể nói là cột mốc quan trọng nhất trong tu luyện. Lưu ý rằng sau khi đạt kim đan, việc tu luyện sẽ trở nên khó khăn hơn rất nhiều. Người chơi cần [color=#D06508]sử dụng thần thông của mình[/color] (như thuật nhập định), hoặc [color=#D06508]thông qua lịch luyện[/color] để gặp kỳ ngộ, nhanh chóng tăng tu vi.	ui\Help2\037		m33
34	1	Lần đầu tiên luyện kim	Khi có đệ tử nội môn, bạn có thể nung chảy các vật phẩm không cần thiết để biến chúng thành linh thạch. Mỗi 5000 điểm linh khí có thể nung chảy thành một viên linh thạch. Nếu vật phẩm nung chảy là pháp bảo, phẩm cấp của pháp bảo càng cao, linh thạch nhận được càng nhiều.	ui\Help2\038	68	m34
35	1	Lần đầu tiên học được thần thông	Có một nhân vật tu luyện học được một thần thông. Thần thông có thể được chọn và sử dụng trong thanh thần thông bên phải bảng nhân vật. Sử dụng hợp lý thần thông có thể giải quyết dễ dàng các vấn đề khó khăn. Khi cảnh giới tu luyện tăng cao, nhân vật có thể học thêm nhiều thần thông. Đôi khi, cũng có thể nhận được bí kíp ghi lại thần thông trong lịch luyện.	ui\Help2\039	69	m35
36	1	Lần đầu tiên kích hoạt bí văn	Bạn đã nhận được một bí văn. Người chơi có thể đến địa điểm bí văn để kích hoạt và thử nhận phần thưởng. Bí văn thường có phần thưởng chất lượng cao nhưng cũng phụ thuộc vào cơ duyên, nếu gặp bí văn không thể hoàn thành cũng không cần quá bận tâm.	ui\Help2\040	610	m36
37	1	Lần đầu tiên học được thuật pháp	Có một nhân vật tu luyện học được một thuật pháp. Thuật pháp chỉ có thể sử dụng trong chiến đấu, có thể chọn và sử dụng trong thanh thuật pháp bên phải bảng nhân vật. Thuật pháp rất mạnh mẽ nhưng cũng tiêu hao linh khí của bản thân, do đó cần sử dụng cẩn thận.	ui\Help2\041		m37
38	1	Lần đầu tiên có khách viếng thăm	Có một vị khách tạm thời ở lại môn phái của bạn, bạn có thể thử thuyết phục họ gia nhập môn phái. Khi thuyết phục khách, [color=#D06508]sức hút và kỹ năng xã giao của người thuyết phục[/color] càng cao, [color=#D06508]tâm trạng của khách[/color] càng tốt, cơ hội thuyết phục họ ở lại càng lớn.	ui\Help2\042		m38
39	0	Lần đầu tiên mở giao diện tham ngộ	Bạn đã mở bảng tham ngộ của nhân vật. Trong bảng này, bạn có thể quy hoạch và nâng cao năng lực của nhân vật. Nâng cao năng lực nhân vật cần tiêu hao kinh nghiệm, năng lực nhân vật càng mạnh, đạo hạnh càng cao, việc học kỹ năng mới càng tốn nhiều kinh nghiệm. Kinh nghiệm chủ yếu tích lũy từ tu luyện hàng ngày, cũng có thể nhận được kinh nghiệm trong lịch luyện.	ui\Help2\043		m39
40	0	Lần đầu tiên mở trang trận pháp	Bạn đã mở trang trận pháp. Trong trang này, bạn có thể bố trí trận pháp, tập hợp năng lực của người tu luyện để tạo thành một thể thống nhất. Các nhân vật tham gia trận pháp có thể cùng chia sẻ sát thương hoặc phối hợp tấn công hợp lý.	ui\Help\041	75	m40
41	1	Lần đầu tiên mở bảng gửi quà	Bạn đã mở bảng tặng quà. Có thể chọn vật phẩm từ bên phải và nhấp tặng quà. Thông qua tặng quà có thể hoàn thành việc bái sơn, nhiệm vụ, hoặc tặng vật phẩm yêu thích của chưởng môn.		80	m41
42	1	Lần đầu tiên mở bảng giao dịch	Bạn đã mở bảng giao dịch. Bên trái là vật phẩm của môn phái đối phương, bên phải là vật phẩm của môn phái bạn. Chọn vật phẩm của cả hai bên và nhấp giao dịch để hoàn thành. Giá của các vật phẩm khác nhau, người chơi cần tự tìm hiểu.		80	m42
43	1	Lần đầu tiên mở bảng đại lý	Bạn đã mở bảng mở rộng. Trong bảng này, bạn có thể xem thông tin tại địa điểm, chọn chính sách hoặc xây dựng. Đồng thời có thể cử đệ tử đến đây. Thông qua các chính sách khác nhau, có thể mở rộng tín đồ của chúng ta.		85	m43
44	1	Lần đầu tiên mở bảng thế lực	Bạn đã mở bảng thế lực. Trong bảng này, bạn có thể xử lý các sự kiện tại các địa điểm hoặc nhận vật phẩm từ kho. Nhấp vào biểu tượng địa điểm để mở bảng mở rộng của địa điểm đó.		85	m44
45	1	Lần đầu tiên mở bảng chiêu mộ	Bạn đã mở bảng chiêu mộ. Trong bảng này, có thể gửi nhân vật được chiêu mộ đến môn phái hoặc các điểm đại diện khác.		85	m45
46	0	Lần đầu tiên nhận được công pháp thần tu	Bạn đã nhận được một bộ công pháp thần tu. Phương pháp tu luyện thần đạo khác với phương pháp tu luyện kim đan truyền thống, cách tu luyện này thông qua việc thu thập tín ngưỡng, xây dựng thần quốc, cúng dường hộ pháp để tăng cường bản thân. Thông tin chi tiết vui lòng xem trong phần trợ giúp.		91	m46
47	0	Lần đầu tiên luyện chế thánh vật tín ngưỡng	Bạn đã luyện chế thánh vật tín ngưỡng của mình. Thánh vật tín ngưỡng là pháp bảo bản mệnh của người tu thần đạo, sẽ dần trưởng thành cùng với việc xây dựng thần quốc, cho đến khi trở thành thần binh vượt qua giới hạn.		97	m47
48	0	Lần đầu tiên khai phá thần quốc	Bạn đã khai phá thần quốc của mình. Xây dựng thần quốc là nội dung cốt lõi của tu luyện thần đạo, thông qua việc xây dựng thần quốc có thể nhận được sự bảo hộ của hộ pháp, học thần thông, tăng tín đồ, v.v.		98	m48
49	0	Lần đầu tiên mở trang bí mật trong giao diện dị văn	Bạn đã mở trang bí mật. Trong quá trình tìm hiểu vụ diệt môn của Thái Nhất Môn, người chơi sẽ gặp phải nhiều câu đố khó giải, những câu đố này sẽ hiển thị trong trang bí mật. Bạn cần thu thập đủ thông tin để giải mã bí mật và tìm ra sự thật.		101	m49
50	0	Lần đầu tiên mở trang nhân vật trong giao diện dị văn	Bạn đã mở trang nhân vật. Tại đây ghi lại tất cả các nhân vật mà người chơi đã gặp trong giang hồ cùng với thông tin của họ. Sử dụng thông tin này hợp lý có thể giúp bạn dễ dàng hơn trong giang hồ.		102	m50
51	0	Lần đầu tiên mở trang manh mối trong giao diện dị văn	Bạn đã mở trang manh mối. Tại đây ghi lại tất cả các manh mối mà người chơi thu thập được trong trò chơi, bao gồm người tham gia, động cơ, bằng chứng, v.v. Không phải manh mối nào cũng hữu dụng, cần phân tích và đánh giá cẩn thận.		103	m51
52	0	Lần đầu tiên giao tiếp với người khác	Bạn đang bắt đầu giao tiếp với một nhân vật. Trong phiên bản Hồng Trần Chúng Sinh, mỗi nhân vật đều sống động và cụ thể. Bạn có thể khai thác thông tin mục tiêu, hỏi thăm tin tức cần thiết, hoặc nhận được bảo vật mong muốn.		104	m52
53	0	Lần đầu tiên nhân vật phi thăng, chết, bị trục xuất khỏi phái.	Khi nhân vật của người chơi phi thăng, bị đuổi khỏi môn phái, hoặc tử vong, hành trình tiếp theo của nhân vật đó sẽ xuất hiện trong phần ngoại truyện. Sau khi lưu trò chơi, có thể xem cuộc đời sau này của những nhân vật này trong phần ngoại truyện chính trên giao diện chính.		P11	m53
54	0	Lần đầu tiên xây dựng giá sách trong tàng kinh các.	Bạn đã xây dựng một giá sách tàng kinh các, nhân vật có thể ghi chép và quản lý bí kíp thông qua giá sách này. Mỗi giá sách tàng kinh các cung cấp một dung lượng nhất định, bí kíp yêu cầu đạo hạnh càng cao thì chiếm dụng dung lượng càng lớn.		P12	m54
55	0	Lần đầu tiên sử dụng chức năng bản vẽ.	Bạn đang sử dụng chức năng bản vẽ. Người chơi có thể chọn tối đa phạm vi 20x20 công trình bất kỳ để lưu lại thành bản vẽ. Các bản vẽ đã lưu được sử dụng chung cho tất cả các tệp lưu và có thể chia sẻ thông qua Vạn Giới Thiên Cung.		P13	m55
56	0	Hành động hàng loạt	Bạn đang thực hiện một lệnh, lệnh này có thể thực hiện hàng loạt. Nhiều lệnh (ví dụ: đặt, vận chuyển, v.v.) có thể thực hiện hàng loạt. Nhấp đúp, chọn khung hoặc giữ SHIFT để chọn nhiều đơn vị sau đó thực hiện lệnh hàng loạt.	ui\Help2\072		m56
57	0	Lần đầu tiên chọn linh thú	Bạn đã chọn linh thú. Linh thú có nhiều hành vi khác nhau, một số có ích cho việc xây dựng môn phái, một số tăng cường khả năng chiến đấu của chúng. Bạn có thể huấn luyện các hành vi này để thay đổi điều kiện xảy ra, hướng đến mục tiêu bạn mong muốn.		111	m57
58	0	Lần đầu tiên mở bảng huấn luyện	Bạn đã mở bảng huấn luyện. Trong bảng này, bạn có thể khuyến khích hoặc phản đối năm hành vi gần đây nhất, điều này sẽ thay đổi điều kiện để linh thú thực hiện hành vi đó.		111	m58
59	0	Lần đầu tiên mở bảng thuộc tính cơ bản của linh thú	Bạn đã mở bảng thuộc tính cơ bản của linh thú. Trong bảng này, bạn có thể xem các thuộc tính cơ bản, thuộc tính chiến đấu, mức độ trưởng thành, cũng như thần thông và thuật pháp đã mở khóa hoặc chưa mở khóa của linh thú. Bạn có thể hiểu trạng thái hiện tại của linh thú để định hướng huấn luyện theo mong muốn.		111	m59
60	0	Lần đầu tiên mở bảng công thức nấu ăn	Bạn đã mở bảng thực đơn của linh thú. Trong bảng này, bạn có thể xem giá trị dinh dưỡng của tất cả thực phẩm mà linh thú đã ăn. Các loại dinh dưỡng khác nhau có thể tăng hiệu quả luyện tập cụ thể của linh thú, một số thực phẩm cũng có thể tăng hoặc giảm mức độ khỏe mạnh/béo phì của linh thú.		111	m60
61	0	Lần đầu tiên chọn động vật trong giai đoạn khai trí	Bạn đã chọn một con vật ở giai đoạn khai trí. Trong bảng động vật, bạn có thể xem trạng thái cơ bản và mức độ thoải mái của con vật. Mức độ thoải mái càng cao, tốc độ tạo ra mảnh ý nghĩ càng nhanh. Đồng thời, có thể cho động vật quan sát các công trình, vật phẩm, cây cối để thu thập mảnh ý nghĩ cụ thể, điều này rất hữu ích cho việc thu thập ý nghĩ.		111	m61
62	0	Lần đầu tiên mở bảng linh trí và tư duy	Bạn đã mở bảng linh trí và suy nghĩ. Trong bảng này, bạn có thể xem số mảnh linh trí, số ý nghĩ và lượng tinh nguyên hiện có. Mảnh linh trí là tài nguyên đặc biệt của động vật bán hóa hình, có thể tăng một số thuộc tính, rất quý giá. Để bán hóa hình, cần đủ lượng tinh nguyên và mảnh linh trí. Sau khi bán hóa hình, sẽ trải qua thiên kiếp hóa hình, thời gian xảy ra phụ thuộc vào số lượng mảnh linh trí, càng nhiều thì thiên kiếp đến càng nhanh, cần cân nhắc cẩn thận.		111	m62
63	0	Lần đầu tiên mở bảng tư duy và cảm xúc	Bạn đã mở bảng ý nghĩ và suy nghĩ. Trong bảng này, bạn có thể xem số mảnh ý nghĩ, ký ức và ý nghĩ hiện có. Cần ba mảnh ý nghĩ giống nhau để tiến hành suy nghĩ và nhận được một ý nghĩ. Sau khi suy nghĩ, các mảnh suy nghĩ sẽ hoàn toàn bị lãng quên, nhưng một số mảnh suy nghĩ trong ký ức sẽ được giữ lại một vài lần. Những suy nghĩ thu được cũng chỉ có hiệu lực trong một số lần suy nghĩ nhất định, và thuộc tính của cùng một suy nghĩ không thể phát huy hiệu quả nhiều lần. Vì vậy, hãy cân nhắc cẩn thận.		111	m63
64	0	Lần đầu tiên mở bảng hành động	Bạn đã mở bảng hành vi của linh thú. Trong bảng này, bạn có thể xem trọng lượng của các hành vi đã xảy ra, cũng như các hành vi của linh thú trong ba ngày gần đây.		111	m64
65	0	Lần đầu tiên học công pháp thể tu	Bạn đã chọn con đường thể tu. Con đường thể tu là một hệ thống tu luyện hoàn toàn mới, dùng tinh hoa để tôi luyện cơ thể, cuối cùng đạt đến cảnh giới thánh thể và phi thăng thành tiên. Thông tin chi tiết xin vui lòng tra cứu trong phần trợ giúp.		131	m65
66	0	Lần đầu tiên chọn vật thể thông linh	Bạn đã chọn một vật thể thông linh. Sau khi vật thể thông linh, phẩm cấp sẽ được nâng cao và có thể thay đổi tỉ lệ ngũ hành của mình thông qua việc nuốt các vật phẩm khác, chuẩn bị cho việc hóa hình và tạo hình cơ thể. Thông tin chi tiết xin vui lòng tra cứu trong phần trợ giúp.		141	m66
67	0	Lần đầu tiên mở bảng luyện thể	Bạn đã mở bảng tôi thể. Trong bảng tôi thể, bạn có thể chọn các phương pháp tôi luyện khác nhau, tiêu hao các loại tinh hoa khác nhau để tôi luyện từng bộ phận cơ thể của mình, giúp thể tu phát triển.		131	m67


