ID	Name	Desc
87	Minh Hữu	Tích lũy nhận được pháp bảo trấn phái 1 món
88	Kiến Giao Thiên Hạ	Tích lũy nhận được pháp bảo trấn phái 10 món
89	Lữ Nhân	Trong quá trình rèn luyện tự mình phát hiện 5 địa điểm mới (những địa điểm có được qua sách không tính)
90	Tham Tác Giả	Trong quá trình rèn luyện tự mình phát hiện 25 địa điểm mới (những địa điểm có được qua sách không tính)
91	Thiên Hạ Hành Tẩu	Trong quá trình rèn luyện tự mình phát hiện 50 địa điểm mới (những địa điểm có được qua sách không tính)
1002	Thần Đan Cửu Chuyển	Luyện ra cửu chuyển kim đan
1003	Đan Ngưng Ngũ Cực	Luyện ra ngũ cực linh đan
1004	Ngã Mệnh Do Ngã	Kết thành kim đan
1005	Đan Thành Nhất Phẩm	Kết thành nhất phẩm kim đan
1006	Thái Hòa Môn Hạ	Tu luyện 《Thái Hòa Thập Lục Động Thiên》
1007	Chân Truyện:Thái Hòa	Tu luyện 《Thái Hòa Thập Lục Động Thiên》 với độ khớp trên 150%
1008	Nhất Phẩm:Thái Hòa	Dùng công pháp 《Thái Hòa Thập Lục Động Thiên》 kết thành nhất phẩm kim đan
1009	Đắc Đạo:Thái Hòa	Dùng công pháp 《Thái Hòa Thập Lục Động Thiên》 phi thăng
1010	Đa Bảo Môn Hạ	Tu luyện 《Kỷ Dần Cửu Xung Đa Bảo Chân Giải》
1011	Chân Truyện:Đa Bảo	Tu luyện 《Kỷ Dần Cửu Xung Đa Bảo Chân Giải》 với độ khớp trên 150%
1012	Nhất Phẩm:Đa Bảo	Dùng công pháp 《Kỷ Dần Cửu Xung Đa Bảo Chân Giải》 kết thành nhất phẩm kim đan
1013	Đắc Đạo:Đa Bảo	Dùng công pháp 《Kỷ Dần Cửu Xung Đa Bảo Chân Giải》 phi thăng
1014	Thất Sát Môn Hạ	Tu luyện 《Thất Sát Kiếm Quyết》
1015	Chân Truyện:Thất Sát	Tu luyện 《Thất Sát Kiếm Quyết》 với độ khớp trên 150%
1016	Nhất Phẩm:Thất Sát	Dùng công pháp 《Thất Sát Kiếm Quyết》 kết thành nhất phẩm kim đan
1017	Đắc Đạo:Thất Sát	Dùng công pháp 《Thất Sát Kiếm Quyết》 phi thăng
1018	Ngọc Thanh Môn Hạ	Tu luyện 《Ngọc Thanh Tiên Pháp》
1019	Chân Truyện:Ngọc Thanh	Tu luyện 《Ngọc Thanh Tiên Pháp》 với độ khớp trên 150%
1020	Nhất Phẩm:Ngọc Thanh	Dùng công pháp 《Ngọc Thanh Tiên Pháp》 kết thành nhất phẩm kim đan
1021	Đắc Đạo:Ngọc Thanh	Dùng công pháp 《Ngọc Thanh Tiên Pháp》 phi thăng
1022	Thâu Thiên Môn Hạ	Tu luyện 《Đạo Trộm Thiên》
1023	Chân Truyện:Thâu Thiên	Tu luyện 《Đạo Trộm Thiên》 với độ khớp trên 150%
1024	Nhất Phẩm:Thâu Thiên	Dùng công pháp 《Đạo Trộm Thiên》 kết thành nhất phẩm kim đan
1025	Đắc Đạo:Thâu Thiên	Dùng công pháp 《Đạo Trộm Thiên》 phi thăng
1026	Cửu Chuyển Môn Hạ	Tu luyện 《Cửu Chuyển Kim Đan Trực Chỉ》
1027	Chân Truyện:Cửu Chuyển	Tu luyện 《Cửu Chuyển Kim Đan Trực Chỉ》 với độ khớp trên 150%
1028	Nhất Phẩm:Cửu Chuyển	Dùng công pháp 《Cửu Chuyển Kim Đan Trực Chỉ》 kết thành nhất phẩm kim đan
1029	Đắc Đạo:Cửu Chuyển	Dùng công pháp 《Cửu Chuyển Kim Đan Trực Chỉ》 phi thăng
1030	Bắc Đấu Môn Hạ	Tu luyện 《Bắc Đẩu Động Tâm Kiếp Pháp》
1031	Chân Truyện:Bắc Đấu	Tu luyện 《Bắc Đẩu Động Tâm Kiếp Pháp》 với độ khớp trên 150%
1032	Nhất Phẩm:Bắc Đấu	Dùng công pháp 《Bắc Đẩu Động Tâm Kiếp Pháp》 kết thành nhất phẩm kim đan
1033	Đắc Đạo:Bắc Đấu	Dùng công pháp 《Bắc Đẩu Động Tâm Kiếp Pháp》 phi thăng
1034	Luân Hồi Môn Hạ	Tu luyện 《Trường Sinh Lục Đạo Luân Hồi Kinh》
1035	Chân Truyện:Luân Hồi	Tu luyện 《Trường Sinh Lục Đạo Luân Hồi Kinh》 với độ khớp trên 150%
1036	Nhất Phẩm:Luân Hồi	Dùng công pháp 《Trường Sinh Lục Đạo Luân Hồi Kinh》 kết thành nhất phẩm kim đan
1037	Đắc Đạo:Luân Hồi	Dùng công pháp 《Trường Sinh Lục Đạo Luân Hồi Kinh》 phi thăng
1038	Tam Dương Môn Hạ	Tu luyện 《Tam Dương Tam Mại Bính Đinh Luyện Hỏa Quyết》
1039	Chân Truyện:Tam Dương	Tu luyện 《Tam Dương Tam Mại Bính Đinh Luyện Hỏa Quyết》 với độ khớp trên 150%
1040	Nhất Phẩm:Tam Dương	Dùng công pháp 《Tam Dương Tam Mại Bính Đinh Luyện Hỏa Quyết》 kết thành nhất phẩm kim đan
1041	Đắc Đạo:Tam Dương	Dùng công pháp 《Tam Dương Tam Mại Bính Đinh Luyện Hỏa Quyết》 phi thăng
1042	Quỳ Hoa Môn Hạ	Tu luyện 《Quỳ Hoa Luyện Thần Đại Pháp》
1043	Chân Truyện:Quỳ Hoa	Tu luyện 《Quỳ Hoa Luyện Thần Đại Pháp》 với độ khớp trên 150%
1044	Nhất Phẩm:Quỳ Hoa	Dùng công pháp 《Quỳ Hoa Luyện Thần Đại Pháp》 kết thành nhất phẩm kim đan
1045	Đắc Đạo:Quỳ Hoa	Dùng công pháp 《Quỳ Hoa Luyện Thần Đại Pháp》 phi thăng
1046	Vong Tình Môn Hạ	Tu luyện 《Thái Thượng Vong Tình Đạo》
1047	Chân Truyện:Vong Tình	Tu luyện 《Thái Thượng Vong Tình Đạo》 với độ khớp trên 150%
1048	Nhất Phẩm:Vong Tình	Dùng công pháp 《Thái Thượng Vong Tình Đạo》 kết thành nhất phẩm kim đan
1049	Đắc Đạo:Vong Tình	Dùng công pháp 《Thái Thượng Vong Tình Đạo》 phi thăng
1050	Tố Môn Phàm Lưu	Danh vọng môn phái đạt 400: Tụ Môn Phàm Lưu
1051	Sơ Kiến Giang Hồ	Danh vọng môn phái đạt 1000: Lần đầu gặp giang hồ
1052	Văn Danh Hà Nhĩ	Danh vọng môn phái đạt 5000: Nổi danh khắp nơi
1053	Thanh Chấn Hoàn Vũ	Danh vọng môn phái đạt 10000: Tiếng vang toàn cầu
1054	Vạn Tái Lưu Danh	Danh vọng môn phái đạt 40000: Muôn đời lưu danh
1055	Danh Môn Chính Phái	Môn phái trở thành: Danh môn chính phái
1056	Chính Đạo Trung Lưu	Môn phái trở thành: Chính đạo trung lưu
1057	Chính Đạo Khôi Thủ	Môn phái trở thành: Chính đạo quỷ đầu
1058	Tà Môn Oai Đạo	Môn phái trở thành: Ma đạo tà phái
1059	Tà Đạo Chỉ Trụ	Môn phái trở thành: Tà đạo trụ cột
1060	Ma Môn Cự Phách	Môn phái trở thành: Ma môn khổng lồ
1061	Tiệm Hữu Nhân Khí	Môn phái có 5 người
1062	Sơ Cụ Quy Mô	Môn phái có 10 người
1063	Môn Sinh Hưng Vượng	Môn phái có 18 người
1064	Đạp Thượng Tiên Đồ	Môn phái có 1 nội môn đệ tử
1065	Quảng Thu Môn Đồ	Môn phái có 4 nội môn đệ tử
1066	Nhân Tài Tế Tế	Môn phái có 8 nội môn đệ tử
1067	Thiên Tai:Hàn Lưu	Vượt qua Hàn Lưu
1068	Thiên Tai:Nhiệt Lãng	Vượt qua Sóng Nhiệt
1069	Thiên Tai:Vĩnh Dạ	Vượt qua Vĩnh Dạ
1070	Vạn Kiếm Quy Tông	Kỹ năng điều khiển vật đạt cấp 20
1071	Pháp Hữu Nguyên Thần	Kỹ năng thuật pháp đạt cấp 20
1072	Kim Cương Bất Phôi	Kỹ năng hộ thể đạt cấp 20
1073	Y Tiên	Kỹ năng luyện đan đạt cấp 20
1074	Khí Tông	Kỹ năng luyện khí đạt cấp 20
1075	Thu Khứ Đông Lai	Trong trò chơi vượt qua năm thứ nhất
1076	Thì Quang Phi Thệ	Trong trò chơi vượt qua năm thứ năm
1077	Thông Thông Na Niên	Trong trò chơi vượt qua năm thứ mười
1078	Thể Hồ Quán Đỉnh	Lần đầu thi triển thần thông: Thể Hồ Quán Đỉnh
1079	Tái Tạo Hình Thần	Lần đầu thi triển thần thông: Tái Tạo Hình Thần
1080	Thiên Nhãn Động Khai	Lần đầu thi triển thần thông: Khai Thiên Nhãn
1081	Phạt Mao Tẩy Tủy	Lần đầu thi triển thần thông: Phạt Mao Tẩy Tủy
1082	Nhục Thân Tái Tạo	Lần đầu thi triển thần thông: Tái Tạo Thuật
1083	Hô Phong Hoán Vũ	Lần đầu thi triển thần thông: Cầu Vũ Thuật
1084	Khu Vân Tán Vụ	Lần đầu thi triển thần thông: Khu Vân Thuật
1085	Não Động Đại Khai	Thiên linh cái bị hư hại
1086	Bạo Đầu!	Đầu bị hư hại
1087	Cương Thi Cảnh Cáo	Não bộ bị hư hại
1088	Bạo Can!	Gan bị hư hại
1089	Vô Dục Vô Cầu	Tẩy thân
1090	Ngã Tâm Vĩnh Hằng	Tim bị hư hại
1091	Tu Hành Bảo Địa	Phong thủy môn phái trở thành địa điểm tu hành
1092	Tiên Gia Động Thiên	Phong thủy môn phái trở thành động thiên tiên gia
1093	Cát Trạch	Biến một căn phòng phong thủy thành cát
1094	Phong Thủy Bảo Địa	Biến một căn phòng phong thủy thành đại cát
1095	Nhất Kiếp Thiên Tiên	Trong phái có một tiên nhân lưu lại thế gian, vượt qua một lần thiên tiên kiếp
1096	Tam Kiếp Thiên Tiên	Trong phái có một tiên nhân lưu lại thế gian, vượt qua ba lần thiên tiên kiếp
1097	Ngũ Kiếp Thiên Tiên	Trong phái có một tiên nhân lưu lại thế gian, vượt qua năm lần thiên tiên kiếp
1098	Cửu Kiếp Thiên Tiên	Trong phái có một tiên nhân lưu lại thế gian, vượt qua chín lần thiên tiên kiếp
1099	Lịch Kiếp Linh Bảo	Nhận được một món pháp bảo trải qua một lần thiên tiên kiếp luyện hóa
1100	Cửu Kinh Kiếp Luyện	Nhận được một món pháp bảo trải qua năm lần thiên tiên kiếp luyện hóa
1101	Trấn Phái Thần Khí	Nhận được một món pháp bảo trải qua mười lần thiên tiên kiếp luyện hóa
1102	Truyện Thế Chi Khí	Nhận được một món pháp bảo trải qua hai mươi lần thiên tiên kiếp luyện hóa
2000	Tinh Điêu Tế Trác	Luyện ra pháp bảo chất lượng 100
2001	Thần Khí Tông Tượng	Luyện ra pháp bảo cấp 12
2002	Thần Bút	Vẽ ra phù chú có chất lượng trên 95
2003	Tài Đại Khí Thô	Nung chảy pháp bảo cấp 12
2004	Hướng Thiên Vấn Đạo	Vượt qua kiếp nạn thành công
2005	Thiên Uy Hạo Đãng	Vượt qua kiếp nạn thất bại chết
2006	Đạo Cơ Tận Hủy	Vượt qua kiếp nạn thất bại sống sót
2007	Dũng Mãnh Tinh Tiến	Lần đầu phá vỡ bình cảnh thành công
2008	Kiến Lập Môn Phái	Thành lập một môn phái
2009	Căn Cơ Tráng Đại	Môn phái mở rộng thành phái
2010	Đại Phái Quật Khởi	Môn phái mở rộng thành động thiên
2011	Nhất Nhật Vi Sư	Lần đầu bái sư
2012	Thanh Xuất Vu Lam	Lần đầu truyền thụ
2013	Ái	Lần đầu yêu
2014	Đệ Nhất Bộ	Lần đầu thổ lộ
2015	Tâm Khiêu Hồi Ức	Lần đầu thổ lộ thành công
2016	Nhĩ Thị Hảo Nhân	Lần đầu thổ lộ thất bại
2017	Tâm Ma Thủy Động	Lần đầu nhập ma
2018	Bái Bái Liễu Nâm Lặc	Lần đầu trục xuất đệ tử
2019	Đan Trừu Xuất Kỳ Tích	Lần đầu đào ra hộp đá cổ
2020	Cảnh Thự Hữu Quy Định	Lần đầu ăn phân
2021	Chân Hương	Lần đầu ăn đất
2022	Ngã Bất Tố Nhân Lạp	Đoạt xác một con vật
2023	Biệt Tu Tiên Liễu!	Khách hàng mở hơn 4 giờ, và thời gian hiện tại nằm trong khoảng 0 giờ đến 5 giờ.
2024	Long Vẫn	Giết chết giao long
2025	Phượng Miên	Giết chết hung phượng
2026	Âm Dương Chi Đạo	Giết chết nến long
2027	Cấp Bất Khả Nại	Trong vòng 60 giây biến giao long thành hình thái chân long
2028	Đầu Thượng Hữu Cơ Giác	Giết chết giao long sau khi phá hủy sừng rồng
2029	Thân Hậu Hữu Vĩ Ba	Giết chết giao long sau khi phá hủy đuôi rồng
2030	Vô Năng Cuồng Nộ	Giết chết giao long sau khi phá hủy vảy ngược
2031	Hữu Khí Nan Xuất	Giết chết giao long trước khi nó phát động rồng giận
2032	Ngã Nhu Yếu Thủy	Giết chết giao long trước khi nó phát động trạch quốc
2033	Thiên Hỏa Thiên Hỏa	5 người cùng chia sẻ ngắt kết nối của phượng hoàng và không ai bị thương
2034	Tái Khán Ngã Ngã Tựu Bả Nhĩ	Chịu đựng ánh mắt thiêu đốt trong 20 giây mà không bị thương
2035	Hoan Nghênh Lai Đáo Trọng Khánh	Giết chết hung phượng sau khi nó hoàn toàn phát ra tinh thể mặt trời
2036	Biệt Đả Kiểm	Giết chết hung phượng sau khi phá hủy lông đầu
2037	Ninh Vi Kê Đầu	Giết chết hung phượng sau khi phá hủy lông đuôi
2038	Siêu Cấp Tụ Linh Khí	Duy trì trứng phượng hoàng không nở và không chết trong hơn 36 ngày
2039	Nhất Võng Đả Tận	Khi đánh bại nến long, có hơn 9 quả trứng bị áp chế
2040	Thiên Đạo Hữu Tổn	Đánh bại nến long sau khi phá hủy thiên vảy của nó
2041	Hỗn Độn Chi Lực	Đánh bại nến long sau khi phá hủy ngọc rồng của nó
2042	Âm Dương Hà Dĩ	Cùng một nhân vật có cả tâm linh che giấu và nghiệp hỏa quấn quanh đánh bại nến long
2043	Hoàn Toàn Trấn Áp	Đánh bại nến long mà không có một quả trứng nào nở
2044	Long Tức, Khoái Đóa!	Đánh bại nến long mà không có ai bị trúng hơi thở rồng
2045	Thiên Địa Linh Căn	Lần đầu tiên trồng linh căn
2046	Linh Căn Thu Hoạch	Thu hoạch một lần linh căn ngũ hành
2047	Linh Sát Chi Cực	Giá trị linh sát ngũ hành của linh căn đạt đến một giới hạn
2048	Bản Nguyên Chân Pháp	Lần đầu tiên lĩnh ngộ chân pháp bản nguyên
2049	Nghịch Nguyên Chân Pháp	Lần đầu tiên lĩnh ngộ chân pháp nghịch nguyên
2050	Nâm Lão An Tức	Giết chết một lần đại năng cổ đại
2051	Cân Ngã Hỗn	Lần đầu tiên thuần hóa động vật
2052	Vĩnh Bất Vi Nô!	Động vật lần đầu tiên biến thành yêu thú
10000	Trùng Cốc Bí Văn	Hoàn thành lịch luyện đặc biệt: Bí mật côn trùng cốc
10001	Độc Long Bí Bảo	Hoàn thành lịch luyện đặc biệt: Bảo vật độc long
10002	Y Tiên Nội Phủ	Hoàn thành lịch luyện đặc biệt: Nội phủ y tiên
10003	Hỏa Huyệt Tham Bảo	Hoàn thành lịch luyện đặc biệt: Khám phá hỏa huyệt
10004	Thiên Trì Bảo Tàng	Hoàn thành lịch luyện đặc biệt: Kho báu thiên trì
10005	Thiên Ma Phong Ấn	Hoàn thành lịch luyện đặc biệt: Đế vương thiên ma
10006	Càn Khôn Chi Ngoại	Hiểu biết sự thật cuối cùng của thế giới
3000	Giáo Dục Vi Tiên	Lần đầu tiên xây dựng tàng kinh các
3001	Tri Thức Tại Vu Phân Hưởng	Lần đầu tiên nhập liệu trong tàng kinh các
3002	Hảo Hảo Học Tập	Lần đầu tiên học tập qua tàng kinh các
3003	Thư Doanh Tứ Bích	Đạt được 500 điểm đạo hành trong tàng kinh các
3004	Hãn Ngưu Sung Đống	Đạt được 2000 điểm đạo hành trong tàng kinh các
3005	Hạo Như Yên Hải	Đạt được 5000 điểm đạo hành trong tàng kinh các
3006	Lang Huyên Chi Tàng	Đạt được 10000 điểm đạo hành trong tàng kinh các
3007	Trân Bảo Trọng Quang	Lần đầu tiên luyện chế bí bảo
3008	Tích Huyết Nhận Chủ	Lần đầu tiên kích hoạt bí bảo
3009	Sơ Thí Bí Bảo	Tích lũy kích hoạt 1 bí bảo khác nhau
3010	Bí Bảo Thục Thủ	Tích lũy kích hoạt 5 bí bảo khác nhau
3011	Bí Bảo Cao Thủ	Tích lũy kích hoạt 10 bí bảo khác nhau
3012	Thần Tượng	Tích lũy kích hoạt 20 bí bảo khác nhau
3013	Nhĩ Tỉnh Lạp?	Chủ động điểm hóa một tinh quái
3014	An Tĩnh Liễu!	Dùng ngưng bạch quyết tiêu diệt một tinh quái
3015	Linh Thính Huyền Diệu	Tự nhiên sinh ra tinh quái do ảnh hưởng của nhân vật
3016	Tự Cảm Thành Linh	Chứng kiến tinh quái ra đời trong môi trường tự nhiên
3017	Nhĩ Thị Thập Yêu Đông Tây?	Lần đầu tiên gặp tinh quái hoang dã
3018	Tu Hành Giới:Biến Nhân	Tạo hình cho một tinh quái
3019	Doanh Dưỡng Quân Hành	Tạo hình cho một tinh quái cân bằng ngũ hành
3020	Nhân Tài Thi Giáo	Tạo hình cho một tinh quái thuần khiết ngũ hành (một yếu tố 100%) và chọn pháp môn tiên đạo phù hợp, giúp nó vào nội môn
3021	Nhân Đa Phạn Quản Cú	Khó khăn thoát khỏi tình huống tất cả đều kích hoạt mà không có ai chết trong hai năm
3022	Phong Vũ Vô Trở	Trong điều kiện tồi tệ tất cả đều kích hoạt mà không có ai chết trong một năm
3023	Đại Uy Thiên Long	Trong trường hợp ban đầu có 4 yêu thú, trong năm đầu tiên giết chết tất cả yêu thú trên bản đồ
3024	Tinh Mật Kiến Trúc	Khó khăn xây dựng trong điều kiện tất cả đều kích hoạt trong một năm để xây dựng tiểu khô thiên giới
3025	Tự Hành Mạc Tác	Trong điều kiện tất cả đều kích hoạt, trong năm đầu tiên quy mô môn phái đạt đến động thiên
3026	Tinh Đả Tế Toán	Trong điều kiện thiếu thốn vật tư tất cả đều kích hoạt, trong năm đầu tiên xây dựng tiểu khô thiên giới
3027	Tinh Thiêu Tế Tuyển	Trong thời đại đạo suy tất cả đều kích hoạt, thu nhận một nhân vật có thuộc tính cơ bản đều vượt quá 5 vào môn phái
3028	Thảo Giới Hoàn Giới	Trong điều kiện kinh doanh khó khăn tất cả đều kích hoạt, trong năm đầu tiên thông qua hành thương mua một món đồ trên 10 cấp
3029	Thuận Thế Nhi Vi	Trong điều kiện thiên đạo rối loạn tất cả đều kích hoạt, trong năm đầu tiên để một nhân vật đạt đến nguyên thần kỳ hoặc cảnh giới tương ứng
3030	Nhĩ Khán Uông Uông Đa Năng Cán	Trong điều kiện linh thú yếu đuối tất cả đều kích hoạt, trong năm đầu tiên để linh thú độc lập giết chết một yêu thú đạt kim đan kỳ hoặc cao hơn
3031	Quan Hệ Hộ	Trong điều kiện nhân gian lạnh lẽo tất cả đều kích hoạt, đạt được 100 điểm thiện cảm với tất cả các môn phái
3032	Hàng Yêu Trừ Ma	Trong tình huống quần yêu tấn công trong 80 ngày, giết chết chúng
3033	Tu Chân Sát Thủ Sát Thủ	Trong tình huống tu chân sát thủ tấn công trong 150 ngày, giết chết chúng
3034	Tị Nhi Bất Kiến	Trong 30 ngày sau khi xuất hiện động huyệt bí ẩn, không để giao long xuất hiện trong 200 ngày, sau đó giết chết nó
3035	Nông Phu Dữ Long Đích Cố Sự	Trong điều kiện cổ đại nghiêm uy tất cả đều kích hoạt, sau khi động huyệt bí ẩn xuất hiện không để rồng xuất hiện trong 200 ngày, sau đó giết chết nó
3036	Cao Cấp Đẳng Vu Uy Nghiêm	Trong điều kiện trần gian vụn vặt tất cả đều kích hoạt, trong vòng ba năm nâng cấp tất cả các khu vực và thành phố lên cấp 3
3037	Tiên Nhân Bất Tương Tín Nhãn Lệ	Trong điều kiện tiên gia vô tình tất cả đều kích hoạt, trong năm đầu tiên mua một món đồ 12 cấp từ một môn phái
3038	Trảm Diệt Quần Tiên	Trong tình huống môn phái mạnh nhất, khiến tất cả các môn phái quy phục
3039	Trảm Diệt Chân Âm	Giết chết giao long trong điều kiện sức mạnh tối cao
3040	Trảm Diệt Chân Dương	Giết chết hung phượng trong điều kiện sức mạnh tối cao
3041	Trảm Diệt Thiên Đạo	Giết chết nến long trong điều kiện sức mạnh tối cao
3042	Chung Yên Chi Chiến	Trong tình huống ngày càng khó khăn kích hoạt, đánh bại kẻ thù đến vào ngày thứ 1000
3043	Phi Thăng · Sơ Nhập Chân Tiên	Trong độ khó chân tiên một kiếp hoặc cao hơn, để một đệ tử phi thăng
3046	Phi Thăng · Nhàn Thục Chân Tiên	Trong độ khó chân tiên bốn kiếp hoặc cao hơn, để một đệ tử phi thăng
3049	Phi Thăng · Tuyệt Đỉnh Chân Tiên	Trong độ khó chân tiên bảy kiếp hoặc cao hơn, để một đệ tử phi thăng
3052	Chinh Phạt · Sơ Nhập Chân Tiên	Trong độ khó chân tiên một kiếp hoặc cao hơn, chinh phạt tất cả các môn phái
3055	Chinh Phạt · Nhàn Thục Chân Tiên	Trong độ khó chân tiên bốn kiếp hoặc cao hơn, chinh phạt tất cả các môn phái
3058	Chinh Phạt · Tuyệt Đỉnh Chân Tiên	Trong độ khó chân tiên bảy kiếp hoặc cao hơn, chinh phạt tất cả các môn phái
3061	Trận Pháp Chi Đạo	Lần đầu tiên học bí kíp trận pháp
3062	Thượng Cổ Trận Pháp	Lần đầu tiên lĩnh hội trận đồ cổ đại
