Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
AtkDizzyInner	Ta tuyệt đối không tấn công nội môn đang hôn mê	ta rất ít khi tấn công nội môn đang hôn mê	ta thỉnh thoảng sẽ tấn công nội môn đang hôn mê	ta thỉnh thoảng sẽ tấn công đệ tử nội môn đang hôn mê	ta thường tấn công những người ngoại môn đang hôn mê										
AtkDizzyComing	Ta tuyệt đối không tấn công khách đang hôn mê	ta rất ít khi tấn công khách đến thăm đang hôn mê	ta thỉnh thoảng sẽ tấn công khách viếng thăm đang hôn mê	ta thỉnh thoảng sẽ tấn công khách viếng thăm đang hôn mê	ta thường tấn công những người đến thăm đang hôn mê										
AtkDizzyVisitor	Ta tuyệt đối không tấn công khách viếng thăm đang hôn mê	ta rất ít khi tấn công khách tham quan đang hôn mê	ta thỉnh thoảng sẽ tấn công khách đến đang hôn mê	ta thỉnh thoảng sẽ tấn công người đến thăm đang hôn mê	ta thường tấn công những khách viếng thăm đang hôn mê										
ShitAtShitPlace	Ta tuyệt đối không đi đến điểm bài tiết	ta rất ít khi đi vệ sinh ở điểm vệ sinh	ta thỉnh thoảng sẽ đi vệ sinh	ta thỉnh thoảng sẽ đi vệ sinh ở điểm vệ sinh	ta thường tìm điểm để bài tiết										
ShitAtPlants	Ta tuyệt đối không bài tiết trên thực vật	ta rất ít khi đi vệ sinh trên cây cối	ta thỉnh thoảng sẽ đi vệ sinh trên cây cối	ta thỉnh thoảng sẽ đi vệ sinh trên cây cối	ta thường tìm cây cối để bài tiết										
ShitAtDogHouse	Ta tuyệt đối không đi đến tổ để bài tiết	ta rất ít khi đi vệ sinh trong tổ	ta thỉnh thoảng sẽ đi vệ sinh trong tổ	ta thỉnh thoảng sẽ đi vệ sinh trong tổ	ta thường tìm tổ để bài tiết										
ShitAtStorage	Ta tuyệt đối không đi đến kho để bài tiết	ta rất ít khi đi vệ sinh trong kho	ta thỉnh thoảng sẽ đi vệ sinh trong kho	ta thỉnh thoảng sẽ đi vệ sinh trong kho	ta thường tìm kho để bài tiết										
ShitOnBed	Ta tuyệt đối không đi đến giường để bài tiết	ta rất ít khi đi vệ sinh trên giường	ta thỉnh thoảng sẽ đi vệ sinh trên giường	ta thỉnh thoảng sẽ đi vệ sinh trên giường	ta thường tìm giường để bài tiết										
ShitInFarm	Ta tuyệt đối không đi đến ruộng để bài tiết	ta rất ít khi đi vệ sinh trên cánh đồng	ta thỉnh thoảng sẽ đi vệ sinh trên cánh đồng	ta thỉnh thoảng sẽ đi vệ sinh trên cánh đồng	ta thường tìm ruộng để bài tiết										
CarryOuterToBed	Ta tuyệt đối không di chuyển đệ tử ngoại môn đang hôn mê lên giường	ta rất ít khi chuyển đệ tử ngoại môn đang hôn mê lên giường	ta thỉnh thoảng sẽ chuyển đệ tử ngoại môn đang hôn mê lên giường	ta thỉnh thoảng sẽ chuyển đệ tử ngoại môn đang hôn mê lên giường	ta thường di chuyển các đệ tử ngoại môn đang hôn mê lên giường										
CarryVisitorToDest	Ta tuyệt đối không di chuyển khách viếng thăm đang hôn mê đến điểm vận chuyển	ta rất ít khi chuyển khách tham quan đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển khách viếng thăm đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển khách viếng thăm hôn mê đến điểm vận chuyển	ta thường di chuyển các khách viếng thăm đang hôn mê đến điểm vận chuyển										
CarryEnemyToDest	Ta tuyệt đối không di chuyển kẻ thù đang hôn mê đến điểm vận chuyển	ta rất ít khi chuyển kẻ thù đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển kẻ thù đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển kẻ thù hôn mê đến điểm vận chuyển	ta thường di chuyển các kẻ thù đang hôn mê đến điểm vận chuyển										
CarryIncomingToDest	Ta tuyệt đối không di chuyển phàm nhân đang hôn mê đến điểm vận chuyển	ta rất ít khi chuyển phàm nhân đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển phàm nhân đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển phàm nhân hôn mê đến điểm vận chuyển	ta thường di chuyển các phàm nhân đang hôn mê đến điểm vận chuyển										
CarryEnemyBodyToDest	Ta tuyệt đối không di chuyển thi thể kẻ thù đến điểm vận chuyển	ta rất ít khi chuyển xác kẻ thù đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác kẻ thù đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác kẻ thù đến điểm vận chuyển	ta thường di chuyển xác của kẻ thù đến điểm vận chuyển										
CarryVisitorBodyToDest	Ta tuyệt đối không di chuyển thi thể khách viếng thăm đến điểm vận chuyển	ta rất ít khi chuyển xác khách tham quan đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác khách viếng thăm đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác khách viếng thăm đến điểm vận chuyển	ta thường di chuyển xác của khách viếng thăm đến điểm vận chuyển										
CarryIncomingBodyToDest	Ta tuyệt đối không di chuyển thi thể phàm nhân đến điểm vận chuyển	ta rất ít khi chuyển xác phàm nhân đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác phàm nhân đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác phàm nhân đến điểm vận chuyển	ta thường di chuyển xác của phàm nhân đến điểm vận chuyển										
HelpCarry	Ta tuyệt đối không giúp di chuyển đồ vật	ta rất ít khi giúp vận chuyển đồ vật	ta thỉnh thoảng sẽ giúp vận chuyển đồ vật	ta thỉnh thoảng giúp chuyển đồ vật	ta thường giúp đỡ trong việc vận chuyển đồ vật	0	-1	-1	-1	-1					
HelpTimber	Ta tuyệt đối không giúp chặt cây	ta rất ít khi giúp chặt cây	ta thỉnh thoảng sẽ giúp chặt cây	ta thỉnh thoảng giúp chặt cây	ta thường giúp đỡ trong việc chặt cây										
HelpMine	Ta tuyệt đối không giúp khai thác khoáng sản	ta rất ít khi giúp khai thác mỏ	ta thỉnh thoảng sẽ giúp khai thác mỏ	ta thỉnh thoảng giúp khai thác mỏ	ta thường giúp đỡ trong việc khai thác khoáng sản										
HelpFind	Ta tuyệt đối không tìm kiếm đồ vật trên người kẻ thù	ta rất ít khi tìm kiếm đồ vật trên người kẻ thù	ta thỉnh thoảng sẽ tìm kiếm đồ vật trên người kẻ thù	ta thỉnh thoảng sẽ tìm kiếm đồ vật trên người kẻ thù	ta thường tìm kiếm đồ vật trên người kẻ thù										
HelpKill	Ta tuyệt đối không giết thịt động vật	ta rất ít khi giết thịt động vật	ta thỉnh thoảng sẽ giết thịt động vật	ta thỉnh thoảng sẽ giết thịt động vật	ta thường giết thịt động vật										
HelpPlant	Ta tuyệt đối không tiểu lên cây trồng	ta rất ít khi đi tiểu lên cây trồng	ta thỉnh thoảng sẽ tiểu vào cây trồng	ta thỉnh thoảng sẽ tiểu vào cây trồng	ta thường tiểu lên cây trồng										
Pee	Ta tuyệt đối không tiểu lên cây trồng	ta rất ít khi đi tiểu lên cây trồng	ta thỉnh thoảng sẽ tiểu vào cây trồng	ta thỉnh thoảng sẽ tiểu vào cây trồng	ta thường tiểu lên cây trồng										
CureFreeze	Ta tuyệt đối không chữa trị bỏng lạnh	ta rất ít khi chữa trị thương do đông lạnh	ta thỉnh thoảng sẽ điều trị bỏng lạnh	ta thỉnh thoảng sẽ điều trị bỏng lạnh	ta thường điều trị vết bỏng do lạnh										
CureHot	Ta tuyệt đối không chữa trị say nắng	ta rất ít khi chữa trị say nắng	ta thỉnh thoảng sẽ điều trị say nắng	ta thỉnh thoảng sẽ điều trị say nắng	ta thường điều trị say nắng										
HelpCook	Ta tuyệt đối không giúp nấu ăn	ta rất ít khi giúp nấu ăn	ta thỉnh thoảng sẽ giúp nấu ăn	ta thỉnh thoảng sẽ giúp nấu ăn	ta thường giúp đỡ nấu ăn										
HeatEndure	Ta tuyệt đối không thi triển bùa mát cho đệ tử	ta rất ít khi sử dụng chú làm mát cho đệ tử	ta thỉnh thoảng sẽ sử dụng bùa mát cho đệ tử	ta thỉnh thoảng sẽ thi triển chú giải mát cho đệ tử	ta thường thi triển chú làm mát cho các đệ tử										
ColdEndure	Ta tuyệt đối không thi triển bùa nhiệt độ lò cho đệ tử	ta rất ít khi sử dụng chú điều chỉnh nhiệt độ cho đệ tử	ta thỉnh thoảng sẽ sử dụng bùa nhiệt độ lò cho đệ tử	ta thỉnh thoảng sẽ thi triển chú giải nhiệt độ lò cho đệ tử	ta thường thi triển chú điều chỉnh nhiệt độ cho các đệ tử										
HelpPlay	Ta tuyệt đối không làm cho đệ tử vui vẻ	ta rất ít khi làm cho đệ tử vui vẻ	ta thỉnh thoảng sẽ làm cho đệ tử vui vẻ	ta thỉnh thoảng sẽ làm đệ tử vui vẻ	ta thường đến để làm cho các đệ tử vui vẻ										
FeedTongXie	Ta tuyệt đối không cho đệ tử ăn thuốc thông tiết	ta rất ít khi cho đệ tử ăn thuốc thông tiện	ta thỉnh thoảng sẽ cho đệ tử thuốc thông tiểu	ta thỉnh thoảng sẽ cho đệ tử uống thuốc thông tiện	ta thường đến để cho các đệ tử giải tỏa										
CureInner	Ta tuyệt đối không sử dụng thuật hóa thương để chữa trị vết thương	ta rất ít khi sử dụng thuật chữa thương để điều trị vết thương	ta thỉnh thoảng sẽ sử dụng thuật hóa thương để điều trị vết thương	ta thỉnh thoảng sử dụng thuật hóa thương để điều trị vết thương	ta thường sử dụng thuật hóa thương để điều trị vết thương										
HealInner	Ta tuyệt đối không sử dụng thuật hóa thương để chữa trị vết thương	ta rất ít khi sử dụng thuật chữa thương để điều trị vết thương	ta thỉnh thoảng sẽ sử dụng thuật hóa thương để điều trị vết thương	ta thỉnh thoảng sử dụng thuật hóa thương để điều trị vết thương	ta thường sử dụng thuật hóa thương để điều trị vết thương										
PlayToy	Ta tuyệt đối không chơi đồ chơi	ta rất ít khi chơi đồ chơi	ta thỉnh thoảng sẽ chơi đồ chơi	ta thỉnh thoảng sẽ chơi đồ chơi	ta thường chơi đồ chơi										
TrainQiGan	Ta tuyệt đối không tu luyện linh khí	ta rất ít khi luyện khí linh	ta thỉnh thoảng sẽ luyện khí linh	ta thỉnh thoảng luyện khí linh	ta thường luyện khí linh										
TrainNeiDan	Ta tuyệt đối không tu luyện ngự đan	ta rất ít khi luyện đan	ta thỉnh thoảng sẽ luyện đan	ta thỉnh thoảng luyện đan	ta thường luyện đan dược						0	1	1	1	1
TrainHuTi	Ta tuyệt đối không tu luyện hộ thể	ta rất ít khi luyện bảo vệ cơ thể	ta thỉnh thoảng sẽ luyện bảo vệ cơ thể	ta thỉnh thoảng luyện bảo vệ cơ thể	ta thường luyện bảo vệ cơ thể										
TrainLingZhi	Ta tuyệt đối không tu luyện linh trí	ta rất ít khi luyện trí tuệ linh	ta thỉnh thoảng sẽ luyện linh trí	ta thỉnh thoảng luyện trí tuệ linh	ta thường luyện trí tuệ linh										
TrainShuFa	Ta tuyệt đối không tu luyện thuật pháp	ta rất ít khi luyện thuật pháp	ta thỉnh thoảng sẽ luyện thuật pháp	ta thỉnh thoảng luyện pháp thuật	ta thường luyện pháp thuật						0	1	1	1	1
HelpPlantD	Ta tuyệt đối không tiểu lên ruộng thuốc	ta rất ít khi đi tiểu trên cánh đồng thuốc	ta thỉnh thoảng sẽ tiểu vào ruộng thuốc	ta thỉnh thoảng sẽ tiểu vào ruộng thuốc	ta thường đi tiểu lên ruộng thuốc										
CarryOuterBodyToDest	Ta tuyệt đối không di chuyển thi thể ngoại môn đến điểm vận chuyển	ta rất ít khi chuyển xác ngoại môn đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác ngoại môn đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác ngoại môn đến điểm vận chuyển	ta thường di chuyển xác của ngoại môn đến điểm vận chuyển										
CarryInnerBodyToDest	Ta tuyệt đối không di chuyển thi thể nội môn đến điểm vận chuyển	ta rất ít khi chuyển xác nội môn đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác nội môn đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác nội môn đến điểm vận chuyển	ta thường di chuyển xác của nội môn đến điểm vận chuyển										
Feed_Item_Dan_Happiness	Ta tuyệt đối không cho đệ tử nội môn ăn cực lạc đan	ta rất ít khi cho đệ tử nội môn ăn cực lạc đan	ta thỉnh thoảng sẽ cho đệ tử nội môn đan cực lạc	ta thỉnh thoảng cho đệ tử nội môn ăn cực lạc đan	ta thường cho các đệ tử nội môn ăn cực lạc đan										
Feed_Item_Dan_PracticeSpeed	Ta tuyệt đối không cho đệ tử nội môn ăn hoàng tinh đan	ta rất ít khi cho đệ tử nội môn ăn hoàng nha đan	ta thỉnh thoảng sẽ cho đệ tử nội môn đan hoàng tinh	ta thỉnh thoảng cho đệ tử nội môn ăn hoàng nha đan	ta thường cho các đệ tử nội môn ăn hoàng nhụy đan										
Feed_Item_Dan_CalmDown	Ta tuyệt đối không cho đệ tử nội môn ăn thanh tâm đan	ta rất ít khi cho đệ tử nội môn ăn thanh tâm đan	ta thỉnh thoảng sẽ cho đệ tử nội môn đan thanh tâm	ta thỉnh thoảng cho đệ tử nội môn ăn thanh tâm đan	ta thường cho các đệ tử nội môn ăn thanh tâm đan										
Feed_Item_LingStone	Ta tuyệt đối không cho đệ tử nội môn ăn linh thạch	ta rất ít khi cho đệ tử nội môn ăn linh thạch	ta thỉnh thoảng sẽ cho đệ tử nội môn linh thạch	ta thỉnh thoảng cho đệ tử nội môn ăn linh thạch	ta thường cho các đệ tử nội môn ăn linh thạch										
Feed_Item_LingCrystal	Ta tuyệt đối không cho đệ tử nội môn ăn linh tinh	ta rất ít khi cho đệ tử nội môn ăn linh tinh	ta thỉnh thoảng sẽ cho đệ tử nội môn linh tinh	ta thỉnh thoảng cho đệ tử nội môn ăn linh tinh	ta thường cho các đệ tử nội môn ăn linh tinh										
BiteExpel	Ta tuyệt đối không tấn công phàm nhân	ta rất ít khi tấn công phàm nhân	ta thỉnh thoảng sẽ tấn công phàm nhân	ta thỉnh thoảng sẽ tấn công phàm nhân	ta thường tấn công phàm nhân và sẽ giết chết họ										
AtkDizzyExpel	Ta tuyệt đối không tấn công phàm nhân đang hôn mê	ta rất ít khi tấn công phàm nhân đang hôn mê	ta thỉnh thoảng sẽ tấn công phàm nhân đang hôn mê	ta thỉnh thoảng sẽ tấn công phàm nhân đang hôn mê	ta thường tấn công phàm nhân đang hôn mê										
CarryMortalToDest	Ta tuyệt đối không di chuyển phàm nhân đang hôn mê đến điểm vận chuyển	ta rất ít khi chuyển phàm nhân đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển phàm nhân đang hôn mê đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển phàm nhân hôn mê đến điểm vận chuyển	ta thường di chuyển phàm nhân đang hôn mê đến điểm vận chuyển										
CarryMortalBodyToDest	Ta tuyệt đối không di chuyển thi thể phàm nhân đến điểm vận chuyển	ta rất ít khi chuyển xác phàm nhân đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác phàm nhân đến điểm vận chuyển	ta thỉnh thoảng sẽ chuyển xác phàm nhân đến điểm vận chuyển	ta thường di chuyển xác phàm nhân đến điểm vận chuyển										
Eat_Item_SnakeGallbladder	Ta tuyệt đối không ăn Xà Đảm, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Xà Đảm	Khi có khả năng hấp thu thuốc, ta có thể ăn Xà Đảm	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn mật rắn	Khi có thể hấp thụ dược liệu, ta thường ăn Xà Đảm										
Eat_Item_BearGallbladder	Ta tuyệt đối không ăn Hùng Đảm, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Hùng Đảm	Khi có khả năng hấp thu thuốc, ta có thể ăn Hùng Đảm	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn mật gấu	Khi có thể hấp thụ dược liệu, ta thường ăn Hùng Đảm										
Eat_Item_RedGinseng	Ta tuyệt đối không ăn Xích Tham, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Xích Tham	Khi có khả năng hấp thu thuốc, ta có thể ăn Xích Tham	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn nhân sâm đỏ	Khi có thể hấp thụ dược liệu, ta thường ăn Xích Tham										
Eat_Item_PurpleGanodermaLucidum	Ta tuyệt đối không ăn Tử Chi, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Tử Chi	Khi có khả năng hấp thu thuốc, ta có thể ăn Tử Chi	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn nấm tím	Khi có thể hấp thụ dược liệu, ta thường ăn Tử Chi										
Eat_Item_TuEssence	Ta tuyệt đối không ăn Giả Hoàng Tinh, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Giả Hoàng Tinh	Khi có khả năng hấp thu thuốc, ta có thể ăn Giả Hoàng Tinh	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn hoàng tinh đỏ	Khi có thể hấp thụ dược liệu, ta thường ăn Giả Hoàng Tinh										
Eat_Item_HuoEssence	Ta tuyệt đối không ăn Chu Quả, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Chu Quả	Khi có khả năng hấp thu thuốc, ta có thể ăn Chu Quả	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn quả chu sa	Khi có thể hấp thụ dược liệu, ta thường ăn Chu Quả										
Eat_Item_ShuiEssence	Ta tuyệt đối không ăn Ngũ Sắc Kim Liên, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Ngũ Sắc Kim Liên	Khi có khả năng hấp thu thuốc, ta có thể ăn Ngũ Sắc Kim Liên	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn liên hoa ngũ sắc	Khi có thể hấp thụ dược liệu, ta thường ăn Ngũ Sắc Kim Liên										
Eat_Item_JinEssence	Ta tuyệt đối không ăn Lang Gia Quả, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Lang Gia Quả	Khi có khả năng hấp thu thuốc, ta có thể ăn Lang Gia Quả	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn quả lang ya	Khi có thể hấp thụ dược liệu, ta thường ăn Lang Gia Quả										
Eat_Item_MuEssence	Ta tuyệt đối không ăn Mộc Khô Đằng, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Mộc Khô Đằng	Khi có khả năng hấp thu thuốc, ta có thể ăn Mộc Khô Đằng	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn dây gỗ khô	Khi có thể hấp thụ dược liệu, ta thường ăn Mộc Khô Đằng										
Eat_Item_LifeStream	Ta tuyệt đối không ăn Trường Sinh Tuyền, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Trường Sinh Tuyền	Khi có khả năng hấp thu thuốc, ta có thể ăn Trường Sinh Tuyền	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn suối trường sinh	Khi có thể hấp thụ dược liệu, ta thường ăn Trường Sinh Tuyền										
Eat_Item_LongEgg	Ta tuyệt đối không ăn Giao Long Đích Noãn, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Giao Long Đích Noãn	ta có thể ăn Giao Long Đích Noãn	Ngã Hữu Thì Hậu Hội Cật Giao Long Đích Noãn	Ngã Kinh Thường Hội Cật Giao Long Đích Noãn										
Eat_Item_FengEgg	Ta tuyệt đối không ăn Phượng Hoàng Đích Noãn, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Phượng Hoàng Đích Noãn	ta có thể ăn Phượng Hoàng Đích Noãn	Ngã Hữu Thì Hậu Hội Cật Phượng Hoàng Đích Noãn	Ngã Kinh Thường Hội Cật Phượng Hoàng Đích Noãn										
Eat_Item_DragonShit	Ta tuyệt đối không ăn Thiên Long Sa, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Thiên Long Sa	ta có thể ăn Thiên Long Sa	Ngã Hữu Thì Hậu Hội Cật Thiên Long Sa	Ngã Kinh Thường Hội Cật Thiên Long Sa										
Eat_Item_Jiaozi	Ta tuyệt đối không ăn Giáo Tử, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Giáo Tử	ta có thể ăn Giáo Tử	Ngã Hữu Thì Hậu Hội Cật Giáo Tử	Ngã Kinh Thường Hội Cật Giáo Tử										
Eat_Item_BossFeng_Meat	Ta tuyệt đối không ăn Hung Phượng Đích Huyết Nhục, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Hung Phượng Đích Huyết Nhục	ta có thể ăn Hung Phượng Đích Huyết Nhục	Ngã Hữu Thì Hậu Hội Cật Hung Phượng Đích Huyết Nhục	Ngã Kinh Thường Hội Cật Hung Phượng Đích Huyết Nhục										
Eat_Item_BossLong_Meat	Ta tuyệt đối không ăn Giao Long Đích Huyết Nhục, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Giao Long Đích Huyết Nhục	ta có thể ăn Giao Long Đích Huyết Nhục	Ngã Hữu Thì Hậu Hội Cật Giao Long Đích Huyết Nhục	Ngã Kinh Thường Hội Cật Giao Long Đích Huyết Nhục										
Eat_Item_BossZhuLong_Meat	Ta tuyệt đối không ăn Nguyên Sơ Huyết Nhục, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn Nguyên Sơ Huyết Nhục	ta có thể ăn Nguyên Sơ Huyết Nhục	Ngã Hữu Thì Hậu Hội Cật Nguyên Sơ Huyết Nhục	Ngã Kinh Thường Hội Cật Nguyên Sơ Huyết Nhục										
Eat_Item_Cake	Ta tuyệt đối không ăn Diện Bính, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn bánh mì	ta có thể ăn bánh mì	ta thỉnh thoảng sẽ ăn bánh mì	ta thường ăn bánh mì										
Eat_Item_MonsterBlood	Ta tuyệt đối không ăn Yêu Linh Huyết, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn máu của yêu linh	Khi có khả năng hấp thu thuốc, ta có thể ăn Yêu Linh Huyết	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Yêu Linh Huyết	Khi có thể hấp thụ dược liệu, ta thường ăn Yêu Linh Huyết										
