ID	Content
28	    [NAME] bỗng cảm thán, các đại la trong cõi tiên áp đảo một phương thế giới, thật là phong thái tự do. Nếu có thể tụ tập bạn tiên trong cõi tiên, thống trị một phương, thật sự là niềm vui, không phụ lòng tu vi này. Do đó, đã âm thầm đặt ra quyết tâm thống trị một phương.
29	    [NAME] tại [PLACE1] tình cờ gặp một tiên nhân bị ma nhiễm tâm thần, sau một trận chiến, [NAME] đã thắng một cách khó khăn, tiêu diệt ma đầu.
30	    [NAME] tại [PLACE1] bỗng có một sự lĩnh ngộ lớn về [IDEA1], thậm chí đã sáng tạo ra một môn tiên pháp hoàn toàn mới, tu vi tiến bộ lớn.
31	    Khi [NAME] du lịch ở cõi tiên, tình cờ gặp [NAME1] đang thi triển thần thông trong hỗn độn để mở động phủ cho hậu bối. [NAME] thấy [NAME1] trong từng cử chỉ, đất, nước, lửa, gió đều cuộn trào, không khỏi cảm thấy hứng thú.
32	    [NAME] tại [PLACE1] quan sát [EVENT1] có cảm xúc, trong một thời gian đã rơi vào định cảnh. Khi [NAME] tỉnh lại, đã trôi qua vài năm, tu vi đã tiến bộ lớn.
33	    [NAME] tình cờ tìm thấy một con non của [MONSTER1], thật là một cơ duyên lớn. Phải biết rằng [MONSTER1] là một loại dị thú, khi trưởng thành không kém gì đại la kim tiên, nếu có thể nuôi lớn từ nhỏ, chắc chắn sẽ trở thành một trợ lực lớn.
34	    Khi [NAME] du lịch ở cõi tiên, tình cờ gặp một đồng hương đã bay lên từ vài trăm năm trước. Cả hai đã trò chuyện vui vẻ, chớp mắt đã trôi qua hàng chục năm.
35	    Khi [NAME] du lịch ở cõi tiên, tình cờ gặp [NAME1] đang thảo luận về đạo lý, cuộc thảo luận này kéo dài hàng chục năm, [NAME] nghe bên cạnh đã lĩnh ngộ được nhiều điều.
36	    Khi [NAME] du lịch ở cõi tiên, tình cờ tìm thấy một [DAN1] tại [PLACE1]. [NAME] đã dùng hình thần để luyện hóa, hoàn toàn thấu hiểu sự huyền bí bên trong, tu vi tiến bộ lớn.
37	    Khi [NAME] du lịch ở cõi tiên, tình cờ gặp phải một tiểu động thiên. Sau một hồi khám phá, mới phát hiện nơi này chính là chốn an nghỉ của một thiên tiên đã trở về cách đây hàng ngàn năm, đã bị bỏ hoang từ lâu. Không ai biết nơi ở của thiên tiên này giờ đã đi đâu. [NAME] có chút cảm khái, thu hoạch được nhiều bảo vật của tiên nhân, rồi rời đi.
38	    Khi [NAME] du lịch ở cõi tiên, bỗng nhiên có linh cảm, liền phân ra một hóa thân xuống trần gian, tiếp dẫn một hậu bối có duyên pháp với mình trở lại con đường tiên đạo.
39	    Khi [NAME] du lịch ở cõi tiên, bỗng cảm nhận được ý niệm tế tự của các đệ tử dưới trần, liền phân ra hóa thân xuống trần gian mở đàn thuyết đạo.
40	    Khi [NAME] du lịch ở cõi tiên, bỗng cảm nhận được ý niệm tế tự của các đệ tử dưới trần, liền ban cho một số đồ vật nhỏ vô dụng tích lũy trong cõi tiên xuống trần gian.
41	    Khi [NAME] du lịch ở cõi tiên, tại [PLACE1] tình cờ gặp một bạn tiên. Hai người không hiểu sao lại có duyên, nói chuyện lâu, thậm chí còn đặt ra bàn cờ để chơi một ván cờ. Tiên nhân không biết thời gian trôi qua, khi kết thúc ván cờ, đã qua ngàn năm.
42	    Khi [NAME] du lịch ở cõi tiên, tình cờ đến [PLACE1], cảm thấy cảnh sắc tiên nhân nơi đây thật kỳ diệu, không khỏi tán thưởng. Sau khi suy nghĩ một hồi, [NAME] quyết định ở lại nơi này một thời gian.
43	    Khi [NAME] du lịch ở cõi tiên, tại [PLACE1] gặp [NAME1] tổ chức tiệc tiên, mời các tiên nhân cùng uống rượu thảo luận đạo lý. Tiệc được tổ chức suốt nhiều năm, các tiên nhân say sưa uống rượu, ăn trái tiên, vui vẻ trở về.
44	    Khi [NAME] du lịch ở cõi tiên, bỗng cảm thấy buồn ngủ. Liền tìm một nơi đẹp ở [PLACE1] để ngủ, khi thức dậy đã trôi qua trăm năm.
45	    Khi [NAME] du lịch ở cõi tiên, cùng người đối ẩm say sưa, khi tỉnh lại, đã là hàng chục năm.
46	    Khi [NAME] tại [PLACE1] du lịch, đúng lúc gặp phải cuộc bùng nổ linh kiếp trong cõi tiên. [NAME] có tu vi sâu sắc, vận chuyển tiên lực thần thông, thuận lợi vượt qua khó khăn này. Tu vi lại có chút tiến bộ.
47	    Tại [PLACE1], [NAME] tình cờ gặp một bạn tiên, hai người ngay từ lần gặp đầu tiên đã rất hợp nhau, thậm chí còn có sự ăn ý kỳ lạ trong tu hành. Để chứng minh sự huyền bí, [NAME] và bạn tiên đã định ra một trận đấu pháp kéo dài một trăm năm, hai bên đều phát huy thần thông, bổ sung lẫn nhau, không chỉ hai người đều có lĩnh ngộ. Trong trăm năm, những người xem cũng được lợi không ít, câu chuyện này đã trở thành một giai thoại.
48	    [NAME] bỗng dưng nảy sinh ý tưởng, đột nhiên muốn chế tạo một pháp khí của tiên nhân. Tuy nhiên, đến phút cuối, lại thiếu một chút đạo vận, cuối cùng không thể thành hình. [NAME] cảm thấy một chút tiếc nuối, liền tặng cho đồ vật chế tạo thất bại cho đệ tử ở trần gian.
49	    Khi [NAME] du lịch ở cõi tiên, tại [PLACE1] gặp phải bùng nổ ma lỗ. Để ngăn chặn sự nhiễm ma quy mô lớn xảy ra, các tiên nhân đã hợp lực phong tỏa khu vực này, chiến đấu với ma vật suốt hàng chục năm. [NAME] trải qua cuộc chiến này, được thiên đạo gia trì, tu vi tăng lên lớn.
50	    Sau khi bị đuổi khỏi môn phái, [NAME] cảm thấy lạc lối, may mắn là toàn bộ kiến thức của mình vẫn còn, chỉ có thể sắp xếp lại tâm trạng, một mình bước vào dòng đời cuồn cuộn.
51	    Tại [PLACE2], [NAME] gặp phải âm mưu của kẻ thù, do tính toán không cẩn thận, [NAME] mặc dù đã thi triển toàn bộ khả năng, vẫn bị tiêu diệt ở đây, một đời tu vi đều bị trôi tuột.
52	    [NAME] đã khổ tu nhiều năm, cuối cùng tại [PLACE2] vượt qua thiên kiếp, bước lên bước cuối cùng, bay lên thế giới này thành tiên.
53	    [NAME] tại [PLACE2] kích hoạt thiên kiếp của đạo hành, mong muốn tiến thêm một bước, tuy nhiên tu vi của [NAME] vẫn thiếu một chút, bị thiên kiếp hóa thành tro bụi. Một đời tu vi đều bị trôi tuột.
54	    [NAME] độc lập lang thang trong giới tu hành nhiều năm, bị hạn chế bởi tư chất của bản thân không có đường đi, lại chán ghét sự đấu đá trong giới tu hành. Cuối cùng quyết định ẩn giấu toàn bộ tu vi, hóa thành thân phận phàm nhân, ẩn dật tại [PLACE2].
55	    Tại [PLACE2], [NAME] tình cờ vào một động phủ của những người tu hành cổ xưa, nhưng [NAME] dù sao cũng thiếu chút cơ duyên, trong quá trình khám phá đã vô tình lọt vào cấm pháp không thể thoát ra. Chỉ còn cách nhìn thấy toàn bộ tu vi tiêu tán, cuối cùng chết đi.
56	    [NAME] đã lang thang trong giới tu hành nhiều năm, nhưng bị hạn chế bởi tư chất và tài nguyên, mãi mãi không thể vượt thoát. Cuối cùng, tuổi thọ cạn kiệt, tại [PLACE2] qua đời một cách đột ngột.
57	    Khi [NAME] khám phá những vết nứt của thế giới khác, nhất thời không cẩn thận bị cuốn vào khe hở thời gian và không gian, không còn tìm thấy dấu vết.
58	    Khi [NAME] du lịch khắp nơi, nhất thời không cẩn thận rơi vào tay của phái Hợp Hoan, bị coi như lò luyện, bị hút cạn sinh mạng, thật là thảm thương.
59	    Khi [NAME] du lịch khắp nơi, không may tại [PLACE2] gặp phải yêu thú cổ xưa [MONSTER2], trong cuộc chiến, [NAME] một mình khó chống đỡ, bị đánh đến thần hình đều diệt.
60	    Khi [NAME] du lịch khắp nơi, đã xảy ra tranh chấp với Ma Cung Thất Sát. Trong cuộc đấu pháp, [NAME] bị vây công, đôi tay không địch nổi bốn tay, đã ngã xuống tại chỗ. Thân thể luyện thành bù nhìn, linh hồn bị lấy đi để làm tinh khiết, thật là thảm thương.
61	    [NAME] không thể kiềm chế tham lam, lén lút vào kho báu của [SCHOOL2] để ăn cắp, không may bị bắt. [SCHOOL2] đã tiêu diệt tu vi của hắn, chặt đứt tay chân, vứt vào hoang dã. Cuối cùng, [NAME] bị chết thảm dưới miệng chó hoang, khiến người không khỏi thương xót.
62	    Nhờ vào cơ duyên, [NAME] đã cứu giúp một đệ tử của trưởng lão [SCHOOL2], nhờ vào cơ duyên này, [NAME] đã thành công gia nhập vào môn hạ của [SCHOOL2].
63	    [NAME] tại [PLACE2] đã đóng cửa tu luyện vài tháng, tự cảm thấy không thua kém các anh hùng thiên hạ, quyết định tự lập môn phái, khởi lập một sự nghiệp.
64	    [NAME] đã lang thang trong giới tu hành nhiều năm, phát hiện ra rằng cạnh tranh ở vùng trung nguyên quá khốc liệt. Do đó, đã hóa hình thành người man rợ, đầu quân vào Nam Hoang, thu thập một nhóm người bản địa man rợ để thu thập thiên tài địa bảo, cũng trở thành một thế lực tại đây.
65	    [NAME] đã bị thương nặng trong cuộc chiến với người khác, trong lúc sắp nguy kịch đã bị Thiên Ma dụ dỗ, học tập Thiên Ma hóa thân thuật, trở thành người trong ma đạo.
66	    [NAME] tình cờ gặp lại kiếp trước là người yêu của mình tại [CITY2], mặc dù họ vẫn chỉ là phàm nhân, nhưng lại là hạt giống tu luyện hiếm có. [NAME] đã dẫn dắt họ vào tiên môn, tái hợp thành đôi lứa, quả là một câu chuyện đẹp.
67	    [NAME] tình cờ gặp lại kiếp trước là người yêu của mình tại [CITY2], tiếc rằng kiếp này họ không có bất kỳ tư chất tu luyện nào. [NAME] đã giấu kín thân phận, sống bên họ như một phàm nhân cho đến khi họ qua đời mới rời đi.
68	    [NAME] tình cờ gặp lại kiếp trước là người yêu của mình tại [CITY2], họ đã tái gia nhập tiên đạo trong kiếp này và không muốn có liên quan gì đến [NAME], chỉ muốn một lòng hỏi đạo. [NAME] cũng không làm phiền, hai người chia tay, chỉ cảm thán có duyên mà không có phận.
69	    [NAME] tình cờ gặp lại kiếp trước là người yêu của mình tại [CITY2], họ đã tái gia nhập tiên đạo trong kiếp này. Hai người gặp nhau rất vui mừng, tái kết thành đạo lữ, thành tựu một câu chuyện kỳ diệu.
70	    [NAME] tình cờ nhận được truyền thừa đạo thống phù hợp hơn với mình. Để đạt được thành tựu lớn hơn, [NAME] do dự một hồi rồi vẫn uống đan dược tái sinh huyền phân, quyết định tu luyện lại pháp lực. Chỉ có điều không có môn phái che chở, con đường này chắc chắn sẽ rất khó khăn.
71	    [NAME] thất bại trong việc đột phá, khí huyết bạo phát, tính mạng treo sợi dây. Để cầu một chút sinh cơ, [NAME] đã uống đan dược tái sinh huyền phân, lại bước lên con đường tu luyện. Chỉ có điều không có môn phái che chở, con đường này chắc chắn sẽ rất khó khăn.
72	    [NAME] khi khám phá một động phủ tiên nhân đã lỡ uống nhầm thần niệm của tiên nhân cổ xưa. Toàn bộ pháp lực đều tan biến. Hóa ra nơi này là cơ quan được tiên nhân sắp đặt để bảo vệ truyền thừa đạo thống của mình, [NAME] mặc dù không cam lòng, cũng chỉ có thể ở lại đây tu luyện lại pháp lực, phải trải qua nhiều năm mới có thể tự do.
73	    [NAME] trước đây đã bị thương ở tâm mạch trong khi tu luyện một bí pháp, ngày đêm chịu đựng sự tra tấn, khổ sở không nói nên lời. [NAME] không thể chịu đựng nổi nỗi đau dài đằng đẵng, cuối cùng quyết định uống đan dược tái sinh huyền phân, tu luyện lại để cầu giải thoát. Chỉ có điều không có môn phái che chở, con đường này chắc chắn sẽ rất khó khăn.
74	    [NAME] trong khi du lịch khắp nơi, đột nhiên nảy sinh tâm tư trần tục. Liền hóa thành phàm nhân trở về nơi mình lớn lên một lần, nhưng thấy núi non bị san phẳng, dòng sông đổi dòng, nơi này đã bị thiên tai hủy diệt. [NAME] cảm khái về sự thay đổi của nhân thế, rồi rời khỏi nơi này.
75	    [NAME] trong khi du lịch khắp nơi, đột nhiên nảy sinh tâm tư trần tục. Liền hóa thành phàm nhân trở về nơi mình lớn lên một lần, nhưng thấy nơi này mặc dù không còn người cũ, lại không có gì thay đổi quá lớn, vẫn như xưa. [NAME] bỗng nhiên cảm thấy nhẹ nhõm, mọi chuyện trong quá khứ đều tan biến, cười lớn mà rời đi.
76	    [NAME] trong khi du lịch khắp nơi, đột nhiên nảy sinh tâm tư trần tục. Liền hóa thành phàm nhân trở về nơi mình lớn lên một lần, nhưng thấy nơi này đã trở thành một khuôn viên của một gia đình lớn, những nhân vật cũ không còn dấu vết. [NAME] nhìn một hồi, lắc đầu rời đi.
77	    [NAME] trong khi du lịch khắp nơi, đột nhiên nảy sinh tâm tư trần tục. Liền hóa thành phàm nhân trở về nơi mình lớn lên một lần, nhưng thấy nơi này đã bị chiến tranh thiêu rụi. Nhìn cảnh tượng hoang tàn, [NAME] chợt cảm thấy thiên đạo vô tình, mọi thứ đều như vậy, trăm mối cảm xúc đan xen.
78	    [NAME] trong khi du lịch tại [PLACE2], gặp một cậu bé phàm nhân, trong vô thức cảm thấy có duyên với mình. [NAME] liền thu nhận cậu bé làm đệ tử thân truyền, truyền lại trang bị.
79	    [NAME] truy đuổi hàng ngàn dặm, cuối cùng tại [PLACE2] đã giết chết kẻ thù. Thế nhưng số phận trêu ngươi, hài tử kẻ thù lại có duyên với mình, là người thừa kế tuyệt vời của mình. [NAME] do dự mãi, vẫn quyết định thu nhận cậu bé, không biết là phúc hay họa.
80	    [NAME] hóa thành phàm nhân du lịch tại [CITY2], lại bị một thiếu niên thông minh nhìn thấu điều không tầm thường của mình. [NAME] nhân lúc hứng khởi đã thu nhận thiếu niên này làm đệ tử.
81	    [NAME] trong khi du lịch tại [PLACE2], tình cờ gặp một số người tranh giành [DAN2], [NAME] ẩn thân phía sau, cuối cùng lại thành công thu được bảo vật.
82	    [NAME] trong khi du lịch khắp nơi, vô tình đắc tội với kẻ thù không thể chống lại, bị truy sát hàng ngàn dặm mới thoát được.
83	    [NAME] trong khi du lịch tại [PLACE2], đột nhiên lĩnh ngộ được một tia huyền diệu, sau khi tham ngộ, không ngờ tu vi tiến bộ lớn, đột phá cảnh giới.
84	    [NAME] trong khi du lịch tại [PLACE2], tình cờ gặp một cây [LINGPLANT2] đang ra quả, [NAME] biết cơ duyên khó có, liền lập tức ngồi thiền tham ngộ, không ngờ lĩnh ngộ được một bí pháp nguyên thủy.
85	    [NAME] trong khi du lịch tại [PLACE2], đúng lúc gặp một bảo vật cổ xưa được khai quật, [NAME] đã cùng người khác tranh đấu, thành công thu được bảo vật.
86	    [NAME] trong khi du lịch tại [PLACE2], đúng lúc gặp một bí pháp xuất hiện, [NAME] đã cùng người khác tranh đấu, thành công thu được bí pháp rồi rời đi.
87	    [NAME] trong khi du lịch tại [PLACE2], đột nhiên tâm thần động đậy, không ngờ lĩnh ngộ được một tia huyền diệu. [NAME] nắm bắt cơ hội này, thành công hóa thành một bí pháp kỳ diệu.
88	    [NAME] trong khi du lịch tại [PLACE2], gặp một di tích động phủ của tiên nhân. [NAME] vào trong khám phá một hồi, không ngờ thu được một pháp bảo thánh phẩm, đúng là cơ duyên lớn.
89	    [NAME] trong khi du lịch tại [PLACE2], đột nhiên cảm thấy cần tĩnh tâm, quyết định ẩn cư thêm vài năm.
90	    [NAME] trong khi du lịch tại [PLACE2], đúng lúc gặp một bảo vật cổ xưa được khai quật, [NAME] đã cùng người khác tranh đấu, không may thất bại, ngược lại kết thù với một kẻ thù mạnh mẽ.
91	    [NAME] trong khi du lịch tại [PLACE2], đúng lúc gặp một bí pháp xuất hiện, [NAME] đã cùng người khác tranh đấu, không may thất bại, ngược lại kết thù với một kẻ thù mạnh mẽ.
92	    [NAME] trong khi du lịch tại [PLACE2], gặp kẻ thù dường như đang ra ngoài làm việc. [NAME] không nói hai lời, liền đấu pháp với họ vài ngày, không vui mà chia tay.
93	    [NAME] trong khi du lịch tại [CITY2], muốn dùng thuật hóa thân gửi hồn để thu hoạch một đợt tu vi. Nhưng không ngờ trong số những người gửi hồn lại có một hậu nhân của một đại tu sĩ. [NAME] đã đạp phải một tấm ván sắt, bị truy sát hàng ngàn dặm, suýt mất mạng.
94	    [NAME] trong khi đấu pháp với người khác bị thương nặng, tính mạng treo sợi dây. Trong tình thế không còn cách nào, chỉ có thể dùng thuật đoạt xác để chiếm lấy thân thể của một phàm nhân, tu vi giảm mạnh.
95	    [NAME] trong khi du lịch khắp nơi, đi qua một ngôi làng bị hạn hán tàn phá. [NAME] đột nhiên nảy sinh lòng thiện, không tiếc hao phí tuổi thọ để cầu mưa cho nơi này trong vài ngày. Trong vòng trăm dặm vang danh anh hùng.
