房间	Phòng
<font color=MYCOLOR>程雪青</font>打了个哈欠。	<font color=MYCOLOR>Trình Tuyết Thanh</font> ngáp.
7天 05:17	7 ngày 05:17
晨光初露，<font color=MYCOLOR>程雪青</font>看<font color=HECOLOR>仰厚</font>好像正无聊，就拉着他聊了聊关于<font color=OBJCOLOR>灵晶地板</font>的事。	Ánh mai vừa ló, <font color=MYCOLOR>Trình Tuyết Thanh</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> có vẻ đang chán nản, liền kéo anh ta nói chuyện về <font color=OBJCOLOR>sàn nhà tinh linh</font>.
7天 06:42	7 ngày 06:42
8天 19:53	8 ngày 19:53
日暮时分，<font color=MYCOLOR>程雪青</font>正在<font color=OBJCOLOR>工作</font>。看<font color=HECOLOR>轩辕士</font>从旁边经过，就抬手打了个招呼。但<font color=HECOLOR>轩辕士</font>面无表情的看了一眼，并没有回应，这让<font color=MYCOLOR>程雪青</font>心里一堵。	Lúc hoàng hôn, <font color=MYCOLOR>Trình Tuyết Thanh</font> đang <font color=OBJCOLOR>làm việc</font>. Thấy <font color=HECOLOR>Huyền Nguyên Sĩ</font> đi ngang qua, liền giơ tay chào. Nhưng <font color=HECOLOR>Huyền Nguyên Sĩ</font> chỉ liếc nhìn lạnh lùng mà không đáp lại, khiến <font color=MYCOLOR>Trình Tuyết Thanh</font> cảm thấy bức bối trong lòng.
8天 20:22	8 ngày 20:22
程	Trình
雪青	Tuyết Thanh
香酥田鸡腿	Hương Tô Điền Kê Thối
胜	Thắng
贺	Hạ
珊	San
毕	Tất
绍	Thiệu
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	<font color=MYCOLOR>Hiên Viên sĩ</font> giẫm phải đồ vật nào đó.
1天 10:07	1 ngày 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	<font color=MYCOLOR>Hiên Viên Sĩ</font> ợ hơi.
3天 06:27	3 ngày 06:27
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Hiên Viên Sĩ</font> thấy <font color=HECOLOR>Ngưỡng Hậu</font> từ đằng xa đi tới, liền vẫy tay và chào hỏi.
<font color=MYCOLOR>轩辕士</font>鞋里进了东西。	<font color=MYCOLOR>Hiên Viên sĩ</font> có đồ vật lọt vào giày.
4天 15:45	4 ngày 15:45
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>千里神视符</font>换掉。	<font color=MYCOLOR>Hiên Viên Sĩ</font> muốn thay <font color=OBJCOLOR>Thiên Lý Thị Phù</font>.
5天 09:25	5 ngày 09:25
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>紫布修行衣衫</font>清洁一下。	<font color=MYCOLOR>Hiên Viên Sĩ</font> muốn làm sạch <font color=OBJCOLOR>áo tu luyện vải tím</font>.
6天 12:38	6 ngày 12:38
华灯初上，<font color=MYCOLOR>轩辕士</font>刚刚吃饱喝足，正满意的拍肚子，看到<font color=HECOLOR>程雪青</font>刚好在旁边，就和她打了个招呼。但没想到<font color=HECOLOR>程雪青</font>却并不想理他，这让<font color=MYCOLOR>轩辕士</font>觉得很尴尬。	Đèn hoa vừa lên, <font color=MYCOLOR>Hiên Viên Sĩ</font> vừa ăn no uống đủ, đang hài lòng vỗ bụng, nhìn thấy <font color=HECOLOR>Trình Tuyết Thanh</font> tình cờ ở bên cạnh, liền chào hỏi nàng. Nhưng không ngờ <font color=HECOLOR>Trình Tuyết Thanh</font> lại không muốn để ý đến anh ta, khiến <font color=MYCOLOR>Hiên Viên Sĩ</font> cảm thấy rất khó xử.
轩辕	Hiên Viên
士	Sĩ
仰厚	Ngưỡng Hậu
程雪青	Tuyết Thanh
兴业	Hưng Nghiệp
言	Ngôn
诗蕊	Thi Nhị
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>随便看看</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>hơi lạnh</font> quấy rối, chỉ có thể <font color=OBJCOLOR>xem qua</font> để thư giãn tâm trí.
4天 21:39	4 ngày 21:39
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Trời quang vạn lý, <font color=MYCOLOR>Đổng Chi Nhu</font> khi <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> bỗng phát ra một tiếng thở dài.
5天 09:54	5 ngày 09:54
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Trời Vạn Lý không gợn mây, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Quan sát sao đêm</font> bỗng chảy nước mắt.
6天 02:33	6 ngày 02:33
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>muôn màu muôn vẻ</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>chơi nhạc</font> để giải tỏa.
6天 09:33	6 ngày 09:33
天朗气清，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng dưng trăm mối ngổn ngang.
6天 13:08	6 ngày 13:08
天朗气清，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>cha Đổng Minh</font> của bản thân.
7天 10:12	7 ngày 10:12
绿荫之下，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Dưới bóng tán cây, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>quan sát mây cuộn mây tan</font>, chợt nhớ đến <font color=OBJCOLOR>cha mình Đổng Minh</font>.
7天 14:22	7 ngày 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>Cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
8天 13:02	8 ngày 13:02
万里无云，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trời vạn lý không mây, <font color=MYCOLOR>Chi Nhu</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng dưng suy nghĩ miên man.
8天 14:00	8 ngày 14:00
董	Đổng
之柔	Chi Nhu
明	Minh
郎	Lang
凌春	Lăng Xuân
陈	Trần
慵醉	Thung Túy
江南罩	Giang Nam Trạo
松柏之侧，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>肉干</font>。	Bên cạnh cây tùng bách, <font color=MYCOLOR>Khương Long</font> trong lúc <font color=OBJCOLOR>xem qua</font> bỗng nhiên muốn ăn <font color=OBJCOLOR>thịt khô</font>.
4天 13:54	4 ngày 13:54
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Vừa nguôi giận, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì bỗng thở dài một tiếng.
5天 07:43	5 ngày 07:43
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>突然小难过</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Giang Long</font> bị cảm xúc <font color=OBJCOLOR>Bỗng nhiên buồn nhẹ.</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
6天 00:09	6 ngày 00:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trong môn phái, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bỗng thấy bức <font color=OBJCOLOR>tường linh thạch</font> bên cạnh rất thú vị..
6天 06:06	6 ngày 06:06
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì trong đầu đột nhiên hiện lên hình ảnh của <font color=OBJCOLOR>Bách Lý My</font>.
7天 00:12	7 ngày 00:12
起更之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然想吃<font color=OBJCOLOR>蛙肉</font>。	Vào lúc đổi gác, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt ếch</font>.
7天 20:50	7 ngày 20:50
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然流下眼泪。	Đầu ngày, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>Quan sát mây cuộn mây tan</font> bỗng chảy nước mắt.
8天 08:09	8 ngày 08:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> đột nhiên muốn ăn <font color=OBJCOLOR>thịt bò</font>.
8天 12:17	8 ngày 12:17
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Vạn Lý không mây, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt rơi nước mắt.
8天 13:14	8 ngày 13:14
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trời quang đãng, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng cảm thấy <font color=OBJCOLOR>linh thạch</font> bên cạnh khá thú vị..
8天 15:26	8 ngày 15:26
夜深人静，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>夜观星象</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	Đêm khuya yên tĩnh, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>quan sát sao đêm</font> bỗng cảm thấy <font color=OBJCOLOR>cỏ dại</font> bên cạnh rất thú vị..
8天 22:35	8 ngày 22:35
姜	Khương
龙	Long
师父	Sư phụ
赏	Thưởng
寄瑶	Ký Dao
思淼	Tư Miểu
申	Thân
语琴	Ngữ Cầm
保	Bảo
建	Kiến
百里	Bách Lý
眉	Mi
落木尊者	Tôn Giả Lạc Mộc
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>Ngưng thần nhìn trời</font>, đột nhiên rơi lệ.
7天 18:34	7 ngày 18:34
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>赏月</font>来放空心灵。	<font color=MYCOLOR>Bách Lý</font> bị cảm xúc <font color=OBJCOLOR>cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>ngắm trăng</font> để không tâm.
7天 22:50	7 ngày 22:50
徒弟	Đệ tử
西岭	Tây Lĩnh
颛孙	Chuyên Tôn
眸微	Mâu Vi
修罗陀	Tu La Đà
姜龙	Khương Long
傀儡	Khôi lỗi
董之柔	Đổng Chi Nhu
百里眉	Bách Lý
席	Tịch
信	Tín
才	Tài
长孙	Trưởng tôn
晓夏	Hiểu Hạ
江南散人	Tản Nhân Giang Nam
教学	Hướng dẫn
门	Cửa
存档写入完成	Hoàn tất ghi lưu trữ
松豪遇到瓶颈	Tùng Hào gặp bình cảnh
食物储量不足	Dự trữ thực phẩm không đủ
仰厚需要砍伐工具	Ngưỡng Hậu cần dụng cụ đốn gỗ
药物储量不足	Dự trữ thuốc không đủ
轩辕士：受伤	Hiên Viên Sĩ: Bị thương
出现镇物！	Xuất hiện vật trấn!
董之柔心境不稳	Tâm cảnh của Đổng Chi Nhu bất ổn
姜龙心境不稳	Khương Long tâm cảnh bất ổn
天下传闻	Tin Tức Thiên Hạ
天苍246年 春 第12日	Thiên Thương năm 246, mùa Xuân, ngày thứ 12
据传合欢派的大能清羽兰在南屏村出没。	Nghe nói đại năng Thanh Vũ Lan của Hợp Hoan phái xuất hiện ở Nam Bình Thôn.
据传昆仑宫近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	Nghe đồn gần đây Côn Lôn Cung đã cải cách môn quy, phân chia lại các đường ngõ, toàn bộ Môn phái thay da đổi thịt, thực lực đại tăng.
天苍246年 春 第16日	Năm Thiên Thương 246, mùa Xuân, ngày 16
据传紫霄宗的大能宰璧在南屏村出没。	Nghe đồn Đại năng Tể Bích của Tử Tiêu xuất hiện ở Nam Bình Thôn.
轩辕士感到危险	Hiên Viên Sĩ cảm thấy nguy hiểm
百里眉心境不稳	Bách Lý My tâm cảnh bất ổn
百里眉拜董之柔为师	Bách Lý My bái Đổng Chi Nhu làm sư phụ
姜龙拜百里眉为师	Giang Long bái Bách Lỹ Mi làm sư phụ
路人需要帮助	Người qua đường cần giúp đỡ
化形镇神神雷	Hóa Hình Trấn Thần thần lôi
丙火金刚真言	Bính Hỏa Kim Cương Chân Ngôn
奔烈覆天神雷	Thần Lôi Phục Thiên Bôn Liệt
天火飞星神雷	Thiên Hoả Phi Tinh Thần Lôi
奠基宝典	Điện Cơ Bảo Điển
少量的	Một chút
奠基秘册	Điện Cơ Bí Sách
奠基经	Kinh Điện Cơ
金刚宝典	Kim Cang Bảo Điển
五戒奠基秘法	Ngũ Giới Điện Cơ Bí Pháp
中量的	Vừa
辟谷要诀	Tịch Cốc Yếu Quyết
微草佛心宝典	Vi Thảo Phật Tâm Bảo Điển
黄芽合一册	Sách Hợp Nhất Hoàng Nha
五内琢玉通卷	Ngũ Nội Trác Ngọc Thông Quyển
凌霄决意神功	Lăng Tiêu Quyết Ý Thần Công
大量的	Số lượng lớn
奔烈合一要诀	Bôn Liệt Hợp Nhất Yếu Quyết
凌霄摄神	Linh Tiêu Nhiếp Thần
海量的	Cực lớn
御木诀	Ngự Mộc Quyết
元坤妙法	Nguyên Khôn Diệu Pháp
醍醐灌顶之术	Đề Hồ Quán Đỉnh Thuật
凌霄沃野密卷	Lăng Tiêu Vọng Dã Mật Quyển
赋灵术	Phú Linh Thuật
五泉涤心法	Ngũ Tuyền Địch Tâm Pháp
先天罡气	Tiên Thiên Cương Khí
化伤术	Hóa Thương Thuật
天霖诀	Thiên Lâm Quyết
天一真法	Thiên Nhất Chân Pháp
水镜观心定	Thủy Kính Quán Tâm Định
同风诀	Đồng Phong Quyết
归海诀	Quy Hải Quyết
九阴真水界	Cửu Âm Chân Thủy Giới
罡煞合流	Cương Sát Hợp Lưu
金刚诀	Kim Cương Quyết
霹雳陨星	Phích Lịch Vẫn Tinh
五台覆灭诀	Quyết Ngũ Đài Phúc Diệt
三才飞星诀	Tam Tài Phi Tinh Quyết
咒神宝典	Chú Thần Bảo Điển
咒神	Chú thần
急诵宝典	Cấp Tụng Bảo Điển
霹雳归藏	Phích Lịch Quy Tàng
大日咒神	Đại Nhật Chú Thần
多宝急诵卷	Quyển Đa Bảo Cấp Tụng
西海归祖七签	Tây Hải Quy Tổ Thất Thiêm
神佑记	Ký Thần Hữu
清心	Thanh Tâm
饕餮秘法	Thao Thiết Bí Pháp
震雷百炼纲要	Cương Yếu Bách Luyện Chấn Lôi
勾陈鲸吞纪要	Câu Trần Kình Thôn Kỷ Yếu
多宝沃野	Đa Bảo Uất Dã
震雷百炼通卷	Chấn Lôi Bách Luyện Thông Quyển
赤霄宫佛心书	Xích Tiêu Cung Phật Tâm Thư
六气神农通卷	Lục Khí Thần Nông Thông Quyển
少林合一书	Sách Thiếu Lâm Hợp Nhất
凝珀诀	Ngưng Phách Quyết
炼制灵晶之术	Thuật Luyện Chế Linh Tinh
玉液炼形诀	Ngọc Dịch Luyện Hình Quyết
药典	Dược Điển
明目诀	Minh Mục Quyết
菁华诀	Tinh Hoa Quyết
灵息诀	Linh Tức Quyết
清心咒	Thanh Tâm Chú
百草金石录	Bách Thảo Kim Thạch Lục
开炉九诀	Khai Lò Cửu Quyết
归元诀	Quy Nguyên Quyết
新体诀	Tân Thể Quyết
入定之术	Thuật Nhập Định
洗心咒	Tẩy Tâm Chú
太上丹经	Thái Thượng Đan Kinh
秘宝：神农鼎	Bí Bảo: Thần Nông Đỉnh
太上内经	Thái Thượng Nội Kinh
无漏之身	Vô Lậu Chi Thân
再造术	Tái Tạo Thuật
道德清净法	Đạo Đức Thanh Tịnh Pháp
道心	Đạo Tâm
秘宝：离地焰光旗	Bí Bảo: Ly Địa Diễm Quang Kỳ
速炼法	Tốc Luyện Pháp
炼身法-速	Luyện Thân Pháp-Tốc
精炼法	Tinh Luyện Pháp
炼身法-精	Luyện Thân Pháp-Tinh
神炼法	Thần Luyện Pháp
炼身法-神	Luyện Thân Pháp-Thần
伐毛洗髓之术	Phạt Mao Tẩy Tủy Thuật
再造形神之术	Tái Tạo Hình Thần Thuật
开天眼之术	Khai Thiên Nhãn Thuật
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
赤炎覆天真言	Xích Viêm Phúc Thiên Chân Ngôn
道基流光神雷	Đạo Cơ Lưu Quang Thần Lôi
阴阳流光真言	Âm Dương Lưu Quang Chân Ngôn
急诵	Cấp Tụng
急诵秘法	Cấp tốc tụng Bí Pháp
崩天经	Băng Thiên kinh
朱雀归藏九卷	Chu Tước Quy Tàng Cửu Quyển
五戒急诵秘诀	Ngũ Giới Cấp Tụng Bí Quyết
道基崩天密卷	Đạo Cơ Băng Thiên Mật Quyển
焚日金刚宝典	Phần Nhật Kim Cương Bảo Điển
东华咒神	Đông Hoa Chú Thần
丙火急诵宝典	Bính Hỏa Cấp Tụng Bảo Điển
御气崩天经	Kinh Ngự Khí Băng Thiên
丁火千钧秘诀	Đinh Hỏa Thiên Quân Bí Quyết
