祝贺	Chúc mừng
灵淬之法	Pháp Luyện Linh Tẩy
厚德篇	Hậu Đức Thiên
虚空谒神法	Hư Không Nghệ Thần Pháp
坏灭诀	Hoại Diệt Quyết
再造形神之术	Tái Tạo Hình Thần Thuật
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
化伤术	Hóa Thương Thuật
驱云诀	Khu Vân Quyết
金乌观	Kim Ô Quán
先天罡气	Tiên Thiên Cương Khí
五内蕴火	Ngũ Nội Dưỡng Hỏa
焚日真法	Phần Nhật Chân Pháp
九阳神火界	Cửu Dương Thần Hỏa Giới
心炎	Tâm Viêm
火真之体	Hỏa Chân Chi Thể
天火同人	Thiên Hỏa Đồng Nhân
落花诀	Lạc Hoa Quyết
未来星宿绝杀神雷	Vị Lai Tinh Tú Tuyệt Sát Thần Lôi
摄神	Nhiếp Thần
天岭鲸吞神功	Thiên Lĩnh Kình Thôn Thần Công
百草阁摄神书	Bách Thảo Các Nhiếp Thần Thư
六气神农通卷	Lục Khí Thần Nông Thông Quyển
海量的	Cực lớn
太乙多宝通卷	Thông quyển Đa Bảo Thái Ất
再造术	Tái Tạo Thuật
灵犀咒	Linh Tê Chú
缑家摄神书	Sách Câu Gia Nhiếp Thần
九极咒	Cửu Cực chú
东华七星咒	Đông Hoa Thất Tinh Chú
坤元秘诀	Bí Quyết Khôn Nguyên
坤元十式	Khôn Nguyên Mười Thức
破灭密卷	Mật Quyển phá diệt
百草阁破灭剑	Bách Thảo các Phá Diệt kiếm
炎神殿万古要诀	Viêm Thần Điện Vạn Cổ Yếu Quyết
朱雀多宝密卷	Mật quyển Đa Bảo Chu Tước
燃魂辟谷纪要	Nhiên Hồn Tịch Cốc Kỷ Yếu
丙火神龟	Bính Hỏa Thần Quy
星辰清心	Tinh Thần Thanh Tâm
焚日归藏宝典	Thiêu Nhật Quy Tàng Bảo Điển
吸星掌	Hấp Tinh Chưởng
入定之术	Thuật Nhập Định
五印刻神	Ngũ Ấn Khắc Thần
归真曳影	Quy Chân Dạ Ảnh
三阳真脉	Tam Dương Chân Mạch
御真秘典	Ngự Chân Bí Điển
烈焰决	Liệt Diệm Quyết
净火灼心	Tịnh Hỏa Chước Tâm


