书	Sách
麒麟魔骨罩	Giáp Ma Cốt Kỳ Lân
苍龙九宫绫	Thương Long Cửu Cung Lăng
棋局	Bàn cờ
苍莽局	Cục Thương Mãng
鱼肉	Thịt cá
万里斩魄陀	Vạn Lý Trảm Phách Tháp
梧桐神木	Ngô Đồng thần mộc
甲乙天璇柱	Cột Giáp Ất Thiên Toàn
幻空天枢珏	Huyễn Không Thiên Xu Giác
碧光无极绳	Dây Bích Quang Vô Cực
蜜梨双冲饮	Mật Lê Song Trùng Ẩm
屠魔灵宝	Linh bảo trừ ma
苍龙异骨书	Thương Long Dị Cốt Thư
五雷驱邪碑	Bia Trừ Tà Ngũ Lôi
粪便	Phân
戊己七魄屎	Mậu Kỷ Thất Phách Thỉ
垃圾	Rác
行疆阴魂散	Hành Cương Âm Hồn Tán
长生涤心线	Trường Sinh Địch Tâm Tuyến
琴谱	Phổ nhạc
长生莲花卷	Trường Sinh Liên Hoa quyển
野猪皮	Da lợn rừng
地龙七星革	Địa Long Thất Tinh Cách
断岳炼魔珏	Ngọc Luyện Ma Đoạn Nhạc
万里散	Tán Vạn Lý
地龙极光散	Địa Long Cực Quang Tán
棕石	Đá nâu
戊己阴魂石	Mậu Kỷ Âm Hồn Thạch
石髓	Tinh thạch
己土紫霞珏	Dismal Tử Hà Ngọc
黑布清凉下裳	Quần mát hắc bộ
引魂衣	Áo Dẫn Hồn
五雷天枢珏	Ngũ Lôi Thiên Khu Kết
熊皮	Da gấu
麒麟涤心革	Kỳ Lân Tẩy Tâm Cách
火铜矿石	Quặng Hoả Đồng
万骨金	Vạn Cốt Kim
木针灸	Châm Cứu gỗ
碧光七魄刺	Bích Quang Thất Phách Thích
灰石砖	Gạch đá xám
万里珏	Vạn Lý
红布	Vải đỏ
青龙斩魄纱	Lụa Thanh Long Trảm Phách
铁农具	Dụng Cụ Nông Nghiệp sắt
震雷锄	Chấn lôi sừ
彩云魔骨碑	Cải Vân Ma Cốt Bi
兔肉	Thịt thỏ
己土千魂糜	Dismal Thiên Hồn Mì
木矿镐	Cuốc mỏ
苍龙冲虚镐	Cuốc Trùng Hư Thương Long
龟蛋	Trứng rùa
腾岳道德卵	Đằng Nhạc Đạo Đức Trứng
道德毒	Đạo Đức độc
长生天心衣	Trường Sinh Thiên Tâm Áo
白布	Vải trắng
碧光阴魂帛	Bích Quang Âm Hồn bố
肉干	Thịt khô
腾岳炽魂干	Cán Đằng Nhạc Xích Hồn
黄布伞	Dù hoàng bố
太极灵血伞	Ô Linh Huyết Thái Cực
奇怪的蘑菇	Nấm kỳ lạ
彩云斩仙菇	Nấm Trảm Tiên Thải Vân
狼皮修行下裳	Tu Hành Hạ Thường Da Sói
五云苍穹御	Ngũ Vân Thương Không Ngự
黄布	Hoàng bố
碧光万骨罗	Bích Quang Vạn Cốt La
寒晶锭	Hàn Tinh Đĩnh
修蛇流星碑	Tu Xà Lưu Tinh Bi
甲乙彩云纱	Giáp Ất Thái Vân Sa
甲乙灵血弓	Cung Giáp Ất Linh Huyết
灵木料	Vật liệu gỗ linh mộc
苍龙灵骨木	Thương Long Linh Cốt Mộc
野猪皮修行衣衫	Áo Tu Hành Da Lợn Rừng
五行神甲	Giáp Thần Ngũ Hành
靛蓝布厚制衣衫	Áo dày thường điện lam bố
苍莽极光衫	Thương Mãng Cực Quang Sam
腾岳驱邪散	Tán Đằng Nhạc Trừ Tà
苍莽三清卷	Quyển Thương Long Tam Thanh
五行罩	Ngũ Hành
黑布	Hắc bộ
苍龙四象纱	Thương Long Tứ Tượng Sa
万象斩仙局	Vạn Tượng Trảm Tiên Cục
青龙灵血桩	Trụ Linh Huyết Thanh Long
甲乙万骨罗	Giáp Ất Vạn Cốt La
观音土	Đất Quan Âm
戊己斩仙灵宝	Mậu Kỷ Trảm Tiên Linh Bảo
腾岳飞星御	Đằng Nhạc Phi Tinh Ngự
苍龙卷	Cuộn Thương Long
灵石砖	Gạch linh thạch
万世环空石	Vạn Thế Hoàn Không Thạch
蓝布	Vải xanh
大日天璇罗	Đại Nhật Thiên Tả La
花布修行下裳	Vải hoa Hưu Nhàn Hạ Thường
苍龙炼心御	Thương Long Luyện Tâm Ngự
星髓角料	Tinh tủy vụn
驱邪碎	Khu tà toái
庇世石	Tí Thế thạch
己土饮血圭	Dismal Ẩm Huyết Khuê
金丝木环	Vòng kim ti mộc
千光环	Thiên Quang Hoàn
寒晶剑	Tinh hàn kiếm
逆浪七魄剑	Nghịch Lãng Thất Phách Kiếm
兔皮厚制下裳	Hậu Chế Hạ Thường Da Thỏ
麒麟道德甲	Giáp Đạo Đức Kỳ Lân
木	Mộc
蓝布厚制衣衫	Áo dày vải xanh
苍莽魂衣	Thương Mãng Hồn Y
牛皮	Da bò
坤元魔骨革	Da Khôn Nguyên Ma Cốt
金丝木针灸	Kim Ti Mộc Châm Cứu
长生玄光针	Trường Sinh Huyền Quang Châm
己土异骨碑	Bia Dị Cốt Dismal
野猪皮手帕	Khăn tay da lợn rừng
万里妖帛	Vạn Lý Yêu Bộc
天岭灵骨石	Thiên Lĩnh Linh Cốt thạch
断岳天地钉	Đoạn Nhạc Thiên Địa đinh
地龙七魄粪	Địa Long Thất Phách phân
青龙极光木	Gỗ Cực Quang Thanh Long
大理石	Đá cẩm thạch
坤元玄光珏	Khôn Nguyên Huyền Quang Kết
碧光磨骨柱	Bích Quang Ma Cốt Trụ
行疆五行陀	Bàn Hành Cương Ngũ Hành
灰石	Đá xám
地龙霓光石	Địa Long Nghê Quang Thạch
冲虚极光珏	Ngọc Cực Quang Xung Hư
流星开阳珏	Lưu Tinh Khai Dương Ngọc
木铃铛	Linh lục lạc
青龙斩仙铃	Thanh Long Trảm Tiên Linh
甲乙涤心碎	Giáp Ất Tẩy Tâm Toái
狼皮厚制衣衫	Áo dày da sói
麒麟天心甲	Giáp Thiên Tâm Kỳ Lân
神珀符	Thần Phách Phù
苍莽问心禁	Thương Mãng Vấn Tâm Cấm
紫布	Vải tím
青龙万象帛	Thanh Long Vạn Tượng Bạc
野猪皮休闲下裳	Quần Nghỉ Ngơi Da Lợn Rừng
坤元极光御	Khôn Nguyên Cực Quang Ngự
坤元障	Khôn Nguyên
红烧熊肉	Hồng Thiêu Hùng Nhục
极光灵宝	Cực Quang Linh bảo
万里七星散	Vạn Lý Thất Tinh Tán
天心珏	Thiên Tâm ngọc
五雷炼魔珏	Ngũ Lôi Luyện Ma Quyết
灵木骰子	Xúc Xắc Gỗ linh mộc
青龙炼魔骰	Thanh Long Luyện Ma xúc xắc
碧光禁	Cấm Bích Quang
地龙摇光镇	Trấn Địa Long Dao Quang
兔皮	Da thỏ
坤元白骨革	Khôn Nguyên Bạch Cốt Cách
苍龙魂帛	Thương Long Hồn Lụa
蓝布薄衣衫	Áo mỏng vải xanh
神衫	Áo thần
环空斩魔符	Hoàn Không Trảm Ma Phù
苍龙道德纱	Thương Long Đạo Đức Sa
惊波斩魔金	Kim Trảm Ma Kinh Ba
五云镇	Trấn Ngũ Vân
万里幻空罩	Vạn Lý Huyễn Không Chướng
莲藕	Ngó sen
凝光藕	Ngưng Quang ngẫu
长生千光册	Trường Sinh Thiên Quang Sách
熊皮修行下裳	Quần tu hành da gấu
腾岳炼魔甲	Đằng Nhạc Luyện Ma Giáp
靛蓝布休闲衣衫	Áo Nghỉ Ngơi điện lam bố
碧光斩魔衣	Bích Quang Trảm Ma Y
木长枪	Trường thương gỗ
天璇引魂枪	Thiên Tả Dẫn Hồn Thương
长生炼心柱	Trường Sinh Luyện Tâm Trụ
苍穹镇	Thương Khung
灵血符	Linh Huyết Phù
苍龙魔骨咒	Thương Long Ma Cốt Chú
甲乙炼魂桩	Giáp Ất Luyện hồn trụ
神符	Thần Phù
天玄赤血罩	Giáp Thiên Huyền Xích Huyết
熊皮休闲衣衫	Da gấu Áo Thường Nhật
行疆道德甲	Giáp Đạo Đức Hành Cương
碧光阴魂碎	Bích Quang Âm Hồn Toái
阴魂灵宝	Linh Bảo Âm Hồn
昙花水梨汤	Đàm Hoa Thủy Lê Thang
凝光千光灵宝	Ngưng Quang Thiên Quang Linh Bảo
玉石骰子	Xúc Xắc Đá ngọc
万里问心骰	Vạn Lý Vấn Tâm Xúc xắc
紫云流光阙	Cung Lưu Quang Tử Vân
震雷七魄珏	Ngọc Chấn Lôi Thất Phách
木环	Vòng gỗ
青龙问心环	Thanh Long Vấn Tâm hoàn
碧光灵血咒	Chú Linh Huyết Bích Quang
幻空千魂木	Huyễn Không Thiên Hồn Mộc
戊己千光幕	Mậu Kỷ Thiên Quang Mạc
碳烤牛腿	Thán Khảo Ngưu Thối
先天鬼灵宝	Linh Bảo Quỷ Linh Tiên Thiên
蘑菇高汤浇饭	Ma Cô Cao Thang Kiêu Phạn
紫云灵宝	Tử Vân Linh Bảo
苍莽诛神纱	
地龙庇世糜	Địa Long Tí Thế nê
地龙魔印	Ma Ấn Địa Long
戊土飞羽革	Mậu Thổ Phi Vũ Cách
天龙砂	Cát Thiên Long
万里庇世粪	Vạn Lý Bị Thế Phấn
摇光天心局	Dao Quang Thiên Tâm Cục
地龙天罡渣	Địa Long Thiên Cương Trà
灵血衣	Áo Linh Huyết
蛇蛋	Trứng rắn
万里万骨球	Vạn Lý Vạn Cốt Cầu
冲虚恶魄印	Xung Hư Ác Phách Ấn
熊肉	Thịt gấu
斩魔幕	Màn Trảm Ma
木农具	Nông cụ bằng gỗ
苍龙炼魔锄	Thương Long Luyện Ma Sừ
面粉	Bột mì
环空辟邪粉	Bột Trừ Tà Hoàn Không
玉石	Đá ngọc
己土碑	Kỷ thổ bi
花布厚制衣衫	Áo dày hoa văn
长生七星甲	Trường Sinh Thất Tinh Giáp
行疆七魄罩	Hành Cương Thất Phách Tráo
青龙索	Thanh Long Tỏa
玉石角料	Đá ngọc vụn
天岭冲虚钉	Thiên Lĩnh Xung Hư Đinh
黄布厚制下裳	Hậu Chế Hạ Thường hoàng bố
青龙鬼甲	Thanh Long Quỷ Giáp
震雷赤血珏	Chấn Lôi Xích Huyết Giác
龟肉	Thịt rùa
万象阴魂幕	Vạn Tượng Âm Hồn Mạc
玉石砖	Gạch ngọc
行疆赤血碑	Hành Cương Xích Huyết Bi
大理石手镯	Vòng tay đá cẩm thạch
腾岳鬼镯	Đằng Nhạc Quỷ Trạc
地龙炼心渣	Cặn Luyện Tâm Địa Long
甲乙六合线	Dây Lục Hợp Giáp Ất
镇岳天心阙	Trấn Nhạc Thiên Tâm Khuyết
地龙彩云障	Chướng Thải Vân Địa Long
紫布厚制下裳	Quần dày vải tím
七杀诛神衣	Thất Sát Tru Thần Y
长生魂绫	Trường Sinh Hồn Lăng
腾岳饮血砂	Cát Đằng Nhạc Ẩm Huyết
面饼	Bánh mì
地龙饼	Địa Long Bánh
白虹斩魔绫	Bạch Hồng Trảm Ma Lăng
镇岳流光圭	Trấn Nhạc Lưu Quang Quỳ
寒精刀	Đao Hàn Tinh
玄武天璇刀	Huyền Vũ Thiên Tả Đao
兔皮休闲衣衫	Áo giải trí da thỏ
妖衣	Yêu y
天雷碑	Thiên Lôi Bia
地龙大日石	Địa Long Đại Nhật Thạch
黑布休闲衣衫	Hắc bố hưu nhàn y sam
碧光无上甲	Bích Quang Vô Thượng Giáp
虎皮休闲衣衫	Áo thường ngày da hổ
幻空斩仙衫	Huyễn Không Trảm Tiên Sam
苍穹流光木	Thương Khung Lưu Quang Mộc
六合桩	Cọc Lục Hợp
牛肉	Thịt bò
坤元千光幕	Khôn Nguyên Thiên Quang Mạc
碧光斩魔纱	Bích Quang Trảm Ma Sa
靛蓝布修行下裳	Tu hành hạ thường điện lam bố
青龙三清衫	Áo Thanh Long Tam Thanh
苍莽禁	Cấm Thương Mãng
甲乙妖卷	Yêu Quyển Giáp Ất
坤元斩魄砂	Khôn Nguyên Trảm Phách Sa
蛙肉	Thịt ếch
天岭陀	Thiên Lĩnh Đà
己土饮血散	Kỷ Thổ Ẩm Huyết Tán
天机涤心甲	Giáp Thiên Cơ Thanh Tâm
断岳荡魔碎	Đoạn Nhạc Dẹp Ma Toái
金丝木角料	Gỗ vụn kim ti
合天万骨镖	Hợp Thiên Vạn Cốt Tiêu
戊己球	Cầu Mậu Kỷ
狼皮休闲衣衫	Áo Giải Trí Da Sói
坤元恶魄甲	Giáp Khôn Nguyên Ác Hồn
青龙合天枪	Thanh Long Hợp Thiên Thương
青龙饮血纱	Lụa Thanh Long Ẩm Huyết
猪妖的精肉	Trư Yêu Đích Tinh Nhục
戊土千光干	Cán Grim Thiên Quang
靛蓝布休闲下裳	Hưu Nhàn Hạ Thường điện lam bố
苍龙极光衣	Áo Thương Long Cực Quang
紫霞霓光陀	Tử Hà Nghê Quang Đà
千棱神玉	Thiên Lăng Thần Ngọc
镇岳饮血石	Trấn Nhạc Ẩm Huyết Thạch
狼皮	Da sói
戊己罩	Mậu Kỷ trạo
己土魔骨罩	Kỷ Thổ Ma Cốt Tráo
梧桐木料	Vật liệu ngô đồng thần mộc
苍龙魔骨柱	Thương Long Ma Cốt Trụ
苍莽三清符	Thương Mãng Tam Thanh Phù
玄铁矿石	Quặng huyền thiết
四象玄光印	Tứ Tượng Huyền Quang Ấn
腾岳云浪毒	Đằng Nhạc Vân Lãng Độc
甲乙五色帛	Giáp Ất Ngũ Sắc Bạc
天岭斩魔袋	Thiên Lĩnh Trảm Ma Bao
棕石手镯	Vòng tay đá nâu
坤元圣镯	Khôn Nguyên Thánh Trạc
戊土斩魄散	Mậu Thổ Trảm Phách Tán
幻空万魂纱	Huyễn Không Vạn Hồn Sa
紫布清凉下裳	Quần mát vải tím
魔甲	Ma giáp
苍龙五色线	Thương Long Ngũ Sắc Tuyến
棕石长枪	Trường thương Đá nâu
戊己枪	Mậu Kỷ trường thương
白布清凉衣衫	Áo mát vải trắng
碧光彩云衫	Áo mỏng thái quang
青龙紫云柱	Trụ Tử Vân Thanh Long
长生索	Trường Sinh Tỏa
幻空极光印	Huyễn Không Cực Quang ấn
金丝木农具	Công cụ kim ti mộc
甲乙锄	Cuốc Giáp Ất
腾岳千魂毒	Đằng Nhạc Thiên Hồn Độc
靛蓝布	Vải chàm
天枢天心纱	Thiên Xu Thiên Tâm Sa
先天苍穹散	Tiên Thiên Thương Khung Tán
冰银炼魂阙	Băng Ngân Luyện Hồn Khuyết
苍穹粪	Thương Khung Phân
腾岳斩魄圭	Đằng Nhạc Trảm Phách Khuê
苍龙极光桩	Thương Long Cực Quang Trụ
青龙魂局	Thanh Long hồn cục
戊土斩魄革	Mậu Thổ Trảm Phách Cách
清炒蘑菇	Thanh Sao Ma Cô
碧光极光灵宝	Bích Quang Cực Quang Linh Bảo
野猪皮厚制衣衫	Áo Dày Da Lợn Rừng
九宫炽魂御	Ngự Xích Hồn Cửu Cung
己土万魂毒	Độc Kỷ Thổ Vạn Hồn
青龙流光书	Thanh Long Lưu Quang Thư
震雷斩仙阙	Chấn Lôi Trảm Tiên Khuyết
天罡恶魄毒	Thiên Cương Ác Phách Độc
镇岳魔骨砂	Trấn Nhạc Ma Cốt Sa
寒晶角料	Tinh hàn vụn
归源万魂碎	Quy Nguyên Vạn Hồn Toái
佳肴	Món ăn ngon
镇岳霓光灵宝	Trấn Nhạc Nghê Quang Linh Bảo
天柱石砖	Gạch Thiên trụ thạch
坤元万魂镇	Khôn Nguyên Vạn Hồn Trấn
地龙渣	Địa Long Tàn
寒晶弓	Tinh hàn cung
惊波万世弓	Kinh Ba Vạn Thế cung
碧光神绳	Bích quang Thần thừng
圣绳	Dây thánh
黄布修行下裳	Quần tu hành hoàng bố
碧光鬼甲	Bích quang Quỷ giáp
天雷驱邪阙	Khuyết Trừ Tà Thiên Lôi
兔皮修行下裳	Tu Hành Hạ Thường Da thỏ
镇岳天权甲	Trấn Nhạc Thiên Quyền Giáp
水	Nước
百汇水	Bách hội
苍龙圣线	Thương Long Thánh Tuyến
地龙六合阙	Địa Long Lục Hợp Khuyết
青龙炼魂罗	Lò Luyện Hồn Thanh Long
小麦	Lúa mì
腾岳冲虚索	Dây Đằng Nhạc Trùng Hư
万里三清碑	Bia Vạn Lý Tam Thanh
苍龙赤血图	Đồ Thương Long Xích Huyết
麒麟障	Kỳ lân chướng
甲乙斩魄卷	Giáp Ất Trảm Phách Quyển
青龙紫云线	Thanh Long Tử Vân Tuyến
苍莽五色桩	Trụ Ngũ Sắc Thương Mãng
腾岳阙	Đằng Nhạc khuyết
碧光荡魔禁	Cấm Trừ Ma Bích Quang
长生炼魂图	Trường Sinh Luyện Hồn Đồ
青龙天地索	Dây Thanh Long Thiên Địa
行疆天地石	Hành Cương Thiên Địa Thạch
断岳印	Đoạn Nhạc Ấn
坤元七魄革	Khôn Nguyên Thất Phách Cách
地龙炼魔障	Địa Long Luyện Ma Chướng
戊土散	Grim
蓝布厚制下裳	Quần dày vải xanh
长生斩魔御	Trường Sinh Trảm Ma Ngự
腾岳炽魂石	Đằng Nhạc Sí Hồn thạch
青龙白骨桩	Thanh Long Bạch Cốt Tráng
甲乙桩	Cọc Giáp Ất
狼皮薄衣衫	Áo mỏng da sói
戊土御	Vận chuyển Grim
麒麟磨骨印	Kỳ Lân Ma Cốt Ấn
金丝灵木	Gỗ linh kim tuyến
青龙落影枝	Nhánh Thanh Long Lạc Ảnh
坤元问心陀	Khôn Nguyên Vấn Tâm Đà
碧光引魂绫	Bích Quang Dẫn Hồn Lăng
黑布厚制衣衫	Hắc Bố Hậu Chế Y Sam
碧光霓光甲	Bích Quang Nghê Quang Giáp
万里魂干	Vạn Lý Hồn Can
戊己印	Ấn Mậu Kỷ
苍龙九宫图	Thương Long Cửu Cung Đồ
归源镖	Phiêu Quy Nguyên
修蛇钉	Tu Xà đinh
断岳飞羽圭	Quỹ Phi Vũ Đoạn Nhạc
落影磨骨灵宝	Lạc Ảnh Ma Cốt linh bảo
寒精锭	Hàn Tinh Đĩnh yêu
癸水屠神镇	Quý Thủy Đồ Thần Trấn
天岭五色干	Cây Ngũ Sắc Thiên Lĩnh
戊土辟邪枪	Mậu Thổ Tích Tà Thương
花布休闲衣衫	Hoa Bố Nhàn Hạ Y Sam
八极御	Ngự Bát Cực
寒晶矿石	Quặng tinh hàn
归源碑	Bia Quy Nguyên
麒麟辟邪渣	Kỳ lân Tịch Tà Chà
冲虚万魂木	Xung Hư Vạn Hồn Mộc
碧光苍穹图	Bích Quang Thương Khung đồ
神禁	Thần cấm
灵晶砖	Gạch tinh linh
无上驱邪镇	Vô Thượng Khu Tà Trấn
长生四象卷	Trường Sinh Tứ Tượng Quyển
梨	Lê
癸水阴魂珠	Quý Thủy Âm Hồn Châu
魂卷	Quyển hồn
铁锤	Búa sắt
白虎斩魔锤	Bạch Hổ Trảm Ma Chùy
腾岳斩魔衣	Đằng Nhạc Trảm Ma Y
长生禁	Trường Sinh
白虎极光阙	Bạch Hổ Cực Quang Khuyết
坤元莲花灵宝	Khôn Nguyên Liên Hoa Linh Bảo
镇岳问心粪	Trấn Nhạc Vấn Tâm Phân
麒麟斩魔印	Kỳ Lân Trảm Ma Ấn
蛇肉	Thịt rắn
万里妖糜	Vạn lý yêu mê
甲乙屠魔木	Giáp Ất Đồ Ma Gỗ
逆浪屠魔藕	Nghịch Lãng Đồ Ma Ngẫu
苍龙九宫骰	Thanh Long Cửu Cung Xí Ngầu
腾岳诛神卵	Đằng Nhạc Chư Thần Trứng
玄武千光藕	Huyền Vũ Thiên Quang Ngẫu
天府涤心石	Thiên Phủ Địch Tâm Thạch
青龙恶魄桩	Thanh Long Ác Phách Trang
甲乙斩仙罗	Giáp Ất Trảm Tiên La
虎肉	Thịt hổ
戊土极光幕	Màn Kỷ Thổ Cực Quang
天岭流光陀	Thiên Lĩnh Lưu Quang Đà
天岭五色珏	Thiên Lĩnh Ngũ Sắc Quyết
苍莽镖	Phi tiêu Thương Mãng
镇岳罩	Lồng Trấn Nhạc
天地天机枝	Nhánh Thiên Cơ Thiên Địa
戊己天婵屎	Mậu Kỷ Thiên Thiền Phân
地龙衫	Địa Long
七杀柱	Cột Thất Sát
长生魔咒	Trường sinh ma chú
熊皮薄下裳	Da gấu Bạc Hạ Thường
天璇天地衣	Thiên Huyền Thiên Địa Y
飞羽五色陀	Phi vũ ngũ sắc đà
碧光符	Bích Quang phù
天火辟邪阙	Cung Trừ Tà Thiên Hỏa
碧光天枢灵宝	Bích Quang Thiên Xu Linh Bảo
黄布休闲衣衫	Áo Thường Nhật hoàng bố
碧光星宿衣	Bích Quang Tinh Tú Y
坤元三清砂	Khôn Nguyên Tam Thanh Sa
野猪皮薄下裳	Hạ Thường da lợn rừng mỏng
千光御	Thiên Quang
无上灵血桩	Vô Thượng Linh Huyết Trang
大日驱邪圭	Đại Nhật Khu Tà Khuê
牛皮休闲衣衫	Áo da bò thường nhật
坤元异骨衣	Khôn Nguyên Dị Cốt Y
麒麟天权屎	Phân Kỳ Lân Thiên Quyền
四象太极卷	Tứ Tượng Thái Cực Quyển
五雷引魂钉	Ngũ Lôi Dẫn Hồn Đinh
七杀玄光水	Thất Sát Huyền Quang Thủy
青龙五色谱	Thanh Long Ngũ Sắc Phổ
灵木	Gỗ linh mộc
八极落影柱	Cột Bát Cực Lạc Ảnh
长生鬼符	Trường Sinh Quỷ Phù
落影五色桩	Trụ Ngũ Sắc Lạc Ảnh
碧光千魂柱	Bích Quang Thiên Hồn Trụ
地龙磨骨障	Địa Long Ma Cốt Chắn
天权荡魔弓	Cung Đả Ma Thiên Quyền
野猪皮伞	Ô da lợn rừng
戊土五色伞	Mậu Thổ Ngũ Sắc Dù
己土万魂罩	Kỷ Thổ Vạn Hồn Tráo
甲乙天玄卷	Quyển Giáp Ất Thiên Huyền
长生赤血木	Trường Sinh Xích Huyết mộc
长生饮血符	Trường Sinh Ẩm Huyết Phù
腾岳天心砂	Đằng Nhạc Thiên Tâm Sa
四象磨骨枝	Tứ Tượng Ma Cốt Chi
花布	Vải hoa
青龙斩魔帛	Lụa Thanh Long Trảm Ma
李氏龙涎果脯	Lý Thị Long Tiên Quả Bô
戊己五云果	Mậu Kỷ Ngũ Vân Quả
苍龙神线	Thương Long Thần Tuyến
麒麟无极渣	Cặn Vô Cực Kỳ Lân
苍莽七魄卷	Thương Mãng Thất Phách Quyển
行疆飞羽球	Hành Cương Phi Vũ Cầu
麒麟灵骨枪	Kỳ Lân Linh Cốt Thương
天雷魔骨金	Thiên Lôi Ma Cốt Kim
甲乙神环	Giáp Ất Thần Hoàn
开天灵骨圭	Cân Khai Thiên Linh Cốt
熊皮修行衣衫	Tu Hành Y Sam Da Gấu
万里九宫御	Vạn Lý Cửu Cung ngự
万里道德毒	Vạn Lý Đạo Đức độc
麒麟炼魔镇	Kỳ Lân Luyện Ma Trấn
逆浪五色球	Nghịch Lãng Ngũ Sắc Cầu
火铜锤	Hoả Đồng Chùy
圣锤	Thánh chùy
天雷圣碑	Thánh bia Thiên Lôi
寒精骰子	Xúc Xắc Hàn tinh
壬水万魂骰	Nhâm Thủy Vạn Hồn Sắc
凝光道德碑	Bia Ngưng Quang Đạo Đức
霹雳七魄阙	Phích Lịch Thất Phách Khuyết
己土问心御	Dismal Vấn Tâm Ngự
苍莽魂木	Hồn mộc Thương Mãng
归源紫霞圭	Quy Nguyên Tử Hà Khuê
甲乙千光柱	Giáp Ất Thiên Quang Trụ
行疆魂饼	Bánh hồn hành cương
腾岳幕	Đằng Nhạc
己土天璇圭	Cân Kỷ Thổ Thiên Toàn
红布休闲下裳	Vải đỏ Hưu Nhàn Hạ Thường
碧光驱邪御	Ngự Bích Quang Trừ Tà
玄铁角料	Huyền thiết vụn
天权斩仙镖	Phiên Thiên Quyền Trảm Tiên
行疆印	Ấn Hành Cương
铁弓	Cung sắt
断岳玄光弓	Cung Huyền Quang Đoạn Nhạc
合天神谱	Hợp Thiên Thần Phổ
己土粪	Kỷ Thổ Phân
庚辛玄光镇	Trấn Canh Tân Huyền Quang
己土斩魄渣	Kỷ Thổ Trảm Phách Tạ
震雷神阙	Chấn Lôi Thần Khuyết
碧光妖咒	Bích Quang Yêu Chú
己土天府珏	Kỷ Thổ Thiên Phủ Kết
花布清凉下裳	Hoa Bố Thanh Lương Hạ Sam
长生屠魔甲	Trường Sinh Đồ Ma Giáp
甲乙阴魂纱	Giáp Ất Âm Hồn Sa
花布修行衣衫	Áo tu hành vải hoa
碧光异骨衫	Bích Quang Dị Cốt Sam
青龙问心木	Mộc Thanh Long Vấn Tâm
苍龙大日索	Dây Thương Long Đại Nhật
长生流星绫	Trường Sinh Lưu Tinh Lăng
坤元斩魔渣	Khôn Nguyên Trảm Ma Cặn
苍龙问心符	Thanh Long Vấn Tâm phù
天岭天玄罩	Thiên Lĩnh Thiên Huyền Chướng
苍龙摇光图	Thương Long Dao Quang Đồ
铁矿角料	Quặng sắt vụn
无极磨骨镖	Phiêu Mài Xương Vô Cực
碧光万世柱	Cột Bích Quang Vạn Thế
五色阙	Ngũ Sắc Khuyết
断岳万象镖	Đoạn Nhạc Vạn Tượng Phiêu
天权钉	Đinh Thiên Quyền
苍莽炼心柱	Trụ Luyện Tâm Thương Mãng
戊己玄光镯	Mậu Kỷ Huyền Quang Vòng
冲虚斩魔衫	Áo Trả Ma Trùng Hư
戊土阙	Mậu Thổ
万里神屎	Thần phận vạn lý
腾岳神糜	Đằng Nhạc Thần My
苍莽问心符	Thương Mãng Vấn Tâm Phù
火精锭	Hỏa Đồng Đĩnh yêu
丁火圭	Ardent Quy
青龙灵骨线	Dây Linh Cốt Thanh Long
腾岳障	Đằng Nhạc chướng
苍莽戮血木	Mộc Thương Long Lục Huyết
万里障	Vạn Lý chướng
地龙罩	Địa Long Giáp
