ID	Name	Desc
47	Tiền Triêu Di Cô	[NAME] lớn lên trong một khu vườn, mỗi ngày như những đứa trẻ xung quanh đọc sách, chơi đùa, giúp người lớn làm việc. Chỉ có điều mọi người đều không biết, danh tính thật sự của [IT] là hoàng tử của triều đại trước, luôn âm thầm chờ đợi nghĩa quân đến đón [IT] phục hưng triều đại.
48	Hạnh Tồn Giả	[NAME] là một trong những người sống sót sau một cuộc tắm máu lớn. Khi [IT] tỉnh dậy từ một thị trấn đầy xác chết, mọi thứ trước mắt trở thành một cơn ác mộng không thể nào quên trong suốt cuộc đời.
49	Tiên Thiên Bất Túc	Cha Mãu thân của [NAME] là anh em ruột, vì vậy [IT] sinh ra đã mắc bệnh bẩm sinh. Điều này khiến [IT] yếu ớt bẩm sinh và khó sống lâu.
50	Tảo Thục Nhi Đồng	Gia đình của [NAME] khá giả, và [IT] có ngoại hình xinh đẹp. Từ nhỏ đã rất được người khác giới yêu thích, vì vậy [IT] trở nên rất sớm trưởng thành, có thể khéo léo nắm bắt khoảng cách giữa người và người.
51	Lưu Lãng Nhi	Phụ thân của [NAME] vô tình giết chết hài tử của một kẻ côn đồ địa phương, để tránh sự trả thù, chỉ có thể dẫn vợ chạy trốn. Ký ức từ nhỏ của [NAME] chỉ là những cuộc chạy trốn vất vả, ăn không đủ no.
52	Tiểu Thâu	[NAME] vì sinh tồn, buộc phải làm một số việc lén lút, nhưng lương tâm của [IT] vẫn chưa tắt. [IT] rất ít khi ăn trộm của người nghèo, và thường chia sẻ những gì [IT] trộm được với những đứa trẻ nhỏ hơn [IT].
53	Tiểu Đạo Tặc	[NAME] là một thành viên của một băng nhóm trộm cắp. Vì [IT] còn nhỏ và vụng về, thường bị các thành viên khác trong băng nhóm ghét bỏ và đánh đập, họ để [IT] lại trong hang ổ để phụ trách hậu cần. Chính vì vậy, trong một lần triều đình truy quét, [IT] đã may mắn sống sót.
54	Mã Bối Thượng Đích Đồng Niên	[NAME] là một đứa trẻ của một bộ tộc du mục. [IT] lớn lên trên lưng ngựa, theo bộ tộc rong ruổi trên thảo nguyên. Hằng ngày, [IT] phụ trách nhặt phân ngựa và dọn dẹp chuồng ngựa, nhưng [IT] không thích những công việc này. Giấc mơ của [IT] là trở thành thợ săn mạnh nhất.
55	Đồng Dưỡng Tức	[NAME] từ nhỏ đã bị bán cho hài tử ngốc của địa chủ làm vợ hầu. Vì [IT] xinh đẹp và hiểu chuyện, nên rất được yêu mến. Trong thời gian ở nhà địa chủ, [IT] đã nhận được sự đào tạo tốt, nắm vững nhiều kỹ năng gia đình. Nhờ sự ảnh hưởng từ môi trường, [IT] cũng trở nên có cách nói chuyện thanh nhã.
56	Mục Dương Hài Đồng	[NAME] sinh ra trong một bộ tộc ven biển ở Tây Hải. [IT] cùng với một vài bạn nhỏ khác chăn dắt đàn cừu cho bộ tộc. Bên cạnh đồng cỏ có một tàn tích, truyền thuyết nói rằng có quỷ quái quấy phá. [NAME] thường xuyên trong quá trình chăn cừu lại lén lút chạy vào tàn tích để khám phá.
57	Chiến Loạn Di Cô	[NAME] sinh ra trong một thành phố biên giới. Khi [IT] còn nhỏ, có kẻ ngoại xâm xâm lược, tàn sát thành phố nơi [IT] sinh ra. [IT] đã may mắn sống sót. Từ nhỏ, [IT] đã thề rằng nhất định phải gia nhập quân đội để báo thù. Vì vậy, [IT] với ý chí mạnh mẽ đã hoàn thành một nhiệm vụ lại một nhiệm vụ huấn luyện không thể nào.
58	Thập Hoang Nhi Đồng	[NAME] đã mất nhà cửa trong chiến tranh. Cùng với nhiều đứa trẻ khác, sống bằng nghề nhặt rác. [IT] nhỏ nhắn và nhanh nhẹn, thường xuyên lén lút chạy vào khu vực của người giàu để chọn những đồ vật quý giá trong đống rác để bán. Điều này đã giúp [IT] tích lũy đủ tài sản sớm, gia nhập một cửa hàng thủ công làm học trò.
59	Phật Tiền Đồng Tử	[NAME] là một đứa trẻ trong chùa, phụ trách công việc thắp đèn trước Phật. Năm tháng dài nghe kinh niệm Phật khiến [IT] tràn đầy linh khí, cuộc sống tách biệt với thế giới khiến [IT] không có tâm tư lộn xộn.
60	Tiểu Đạo Đồng	[NAME] là một đứa trẻ trong đạo quán, [IT] từ nhỏ đã theo thầy sống theo nhịp sinh hoạt của mặt trời và mặt trăng, quan sát mây mưa mà động tĩnh. [IT] có trí tuệ thông minh, tiềm năng sâu sắc, ở độ tuổi rất nhỏ đã đạt đến cảnh giới hòa hợp giữa trời và người, mặc dù [IT] không hề biết.
61	Tiểu Sa Di	[NAME] là một tiểu sa di trong một ngôi chùa. [IT] sinh ra đã hiếu động, lại tham ăn, cuộc sống khổ cực trong chùa khiến [IT] cảm thấy vô cùng đau khổ. [IT] đã nhiều lần muốn trốn khỏi chùa, nhưng đều bị các hòa thượng trong chùa bắt lại.
62	Thi Đàn Thần Đồng	[NAME] mang trong mình trí tuệ bẩm sinh, sinh ra đã biết nói, có khả năng ghi nhớ vượt trội. [IT] ba tuổi đã làm thơ, năm tuổi đã sáng tác, bảy tuổi đã nổi tiếng trong giới thơ, được gọi là thần đồng. Văn nhân trong triều và ngoài triều đều biết đến tên [IT].
63	Ngoan Đồng	[NAME] từ nhỏ đã rất nghịch ngợm. Là một trong những đứa trẻ nổi tiếng ở vùng, bất kể người lớn hay trẻ nhỏ khi nhắc đến [IT] đều cảm thấy đau đầu. Có một lần [IT] không phục sự quản lý, bỏ nhà ra đi, lạc đường trong núi. Nhưng [IT] lại vô tư sống cùng với khỉ nửa tháng mới được gia đình tìm thấy.
64	Bạn Nghịch Đích Hài Tử	Phụ thân của [NAME] là một học giả lão luyện, từ nhỏ đã quản lý [IT] rất nghiêm khắc. Điều này khiến [IT] trong lòng tràn đầy tinh thần phản kháng, luôn tìm cách khiến cha tức giận. Vì vậy, [IT] thường xuyên bị đánh đòn.
65	Hoạt Bát Nhi Đồng	[NAME] là một đứa trẻ hoạt bát và hướng ngoại. [IT] từ nhỏ không sợ người lạ, càng lớn càng nói năng lưu loát. [IT] nói năng lưu loát khiến nhiều người lớn cảm thấy không chịu nổi. [NAME] có danh tiếng cao trong số các trẻ em xung quanh, thường dẫn dắt trẻ em trong thị trấn lên núi xuống sông, gây rối.
66	Nội Hướng Đích Đồng Niên	[NAME] từ nhỏ đã nhút nhát. Ngoài cha mẹ ra, [IT] không dám gặp ai khác. Mỗi khi có người tiếp cận [IT], [IT] đều cảm thấy rất căng thẳng và không biết phải làm sao. Trong lần đầu tiên [IT] đi học tư thục, vì một bạn học khác giới nói chuyện với [IT], mà [IT] đã căng thẳng đến ngất xỉu ngay tại chỗ.
67	Tà Thuật Thí Nghiệm Phẩm	[NAME] từ nhỏ đã bị một phái tà bắt đi, bị sử dụng làm vật liệu dự phòng cho việc luyện tập tà thuật và bị phong ấn bằng yêu thuật. Sau này phái tà bị chính phái tiêu diệt, [IT] mới được cứu. Nhưng cũng vì bị phong ấn lâu ngày bằng yêu thuật, cơ thể [IT] bị tổn thương nghiêm trọng.
68	Tiểu Hỗn Hỗn	Phụ thân của [NAME] là một kẻ côn đồ địa phương. Từ khi hiểu chuyện, [IT] đã thấy cha làm những việc áp bức người tốt, và coi đó là niềm vui. Khi [IT] khoảng bảy, tám tuổi, [IT] đã lợi dụng danh tiếng xấu của cha để thành lập một băng nhóm côn đồ, thường xuyên đi cùng nhau gây rối trong làng, khiến người dân rất ghét.
69	Thông Linh Nhi Đồng	[NAME] có đôi mắt âm dương, có thể nhìn thấy những thứ mà người bình thường không thấy. Tuy nhiên, khả năng này đã khiến [IT] sớm tiêu hao một lượng lớn nguyên khí. [IT] thường xuyên ốm yếu, và thể chất yếu đuối. Khi [IT] mười tuổi gặp một thầy thuốc lang, thầy này đã sử dụng châm cứu để phong ấn đôi mắt âm dương của [IT], và cơ thể [IT] mới dần dần khỏe mạnh trở lại.
70	Thảo Nhân Hỉ Hoan	[NAME] có một tài năng bẩm sinh, đó là cảm nhận tâm hồn của người khác. Điều này giúp [IT] dễ dàng đưa ra những phản ứng phù hợp với suy nghĩ của người khác. \n Khi còn nhỏ, [IT] đã có thể thành thạo sử dụng khả năng này để làm vui lòng những người xung quanh.
71	Phật Môn Truyện Thừa	[NAME] sinh ra ở một nơi gọi là làng Cỏ Miếu, khi [IT] bảy tuổi, toàn bộ dân làng bị một kẻ ác giết hại. Một vị hòa thượng già đi ngang qua đã cứu [IT], và truyền cho [IT] một đoạn khẩu quyết, dặn [IT] hàng ngày phải tu luyện, không được nói với ai.
72	Chiết Dực Thiên Tài	[NAME] sinh ra trong một gia đình võ thuật, vốn là một thiên tài võ công tuyệt thế. Tuy nhiên, khi [IT] mười một tuổi, [IT] mắc phải một căn bệnh kỳ lạ, nội lực dần dần suy giảm, việc tu luyện trở nên rất khó khăn. Cô gái đã được hứa hôn với [IT] cũng vì vậy mà đòi hủy hôn. \n Sự thay đổi trong thân phận khiến [IT] nếm trải đủ mọi đau khổ, [IT] thề rằng nhất định phải lấy lại tất cả những gì thuộc về mình.
73	Bồi Độc Hài Đồng	[NAME] là một cậu bé đi theo học một tú tài, tuy nhiên, vị tú tài này nhiều lần không đỗ đạt, trong lúc tức giận thường xuyên đánh đập và mắng chửi [IT]. \n [NAME] không chịu nổi sự sỉ nhục, cuối cùng quyết tâm lén lút bỏ đi vào một đêm mưa.
74	Phú Nhân Tử Đệ	[NAME] có cha mẹ là những thương nhân nổi tiếng khắp cả nước, công việc bận rộn, thường xuyên ra ngoài, chỉ để lại cho [IT] một số tiền lớn để sống một mình. \n Vì vậy, từ nhỏ, [IT] đã sống một cuộc đời kiêu ngạo và tùy tiện.
75	Du Hí Vương	[NAME] sinh ra đã thông minh và hiếu động, thích vui chơi cùng bạn bè. Khi [IT] mười tuổi, bất kể là cờ bạc hay đố chữ, hay đá bóng ném bình, [IT] đều rất thành thạo. Đấu cào cào đặc biệt là sở trường của [IT], cào cào mà [IT] chọn thường rất sắc bén, hiếm có đối thủ.
76	Thư Ngốc Tử	[NAME] có cha là một tú tài, cả đời không đỗ đạt, mọi hy vọng đều đặt lên [IT], hàng ngày thúc giục [NAME] học hành. \n [IT] từ nhỏ đã sống cùng sách vở, không biết chuyện bên ngoài. Trở thành một kẻ ngốc không biết làm gì, tay chân không biết việc gì.
77	Đạn Cung Cao Thủ	[NAME] hồi nhỏ rất giỏi chơi ná, thường xuyên gây rối loạn trong bộ lạc. \n Khi [IT] lớn hơn một chút, [IT] phụ trách trông nom ruộng đất trong bộ lạc, dùng ná để đuổi những con thú nhỏ đến ăn trộm.
78	Thiên Sinh Quái Bệnh	[NAME] từ nhỏ đã mắc bệnh kỳ lạ, kinh mạch không thông, không thể tu luyện. Hơn nữa, [IT] thường xuyên ngất xỉu. Mỗi lần ngất, [IT] đều phát ra một mùi hương đặc biệt, khi tỉnh dậy lại giống như vừa trải qua một cơn bệnh nặng, rất yếu ớt. \n Bị căn bệnh kỳ lạ này quấy rầy, [NAME] không thể làm việc nặng.
79	Tây Vực Nhi Đồng	[NAME] sinh ra trong một gia đình người Hồi ở Tây Bắc. Năm mười tuổi, bộ lạc của [IT] bị Trung Nguyên chinh phục, cả gia đình [IT] cũng bị đưa vào Trung Nguyên làm nô lệ. \n Do địa vị thấp kém và không hiểu tiếng Trung Nguyên, cuộc sống mới của [IT] ở Trung Nguyên rất khó khăn, thường xuyên bị bắt nạt. Điều này cũng khiến [IT] trở nên nhút nhát hơn.
80	Hoàng Tử	[NAME] là một trong những hoàng tử của triều đình. Từ nhỏ đã nhận được giáo dục nghiêm khắc trong cung và trải qua những cuộc tranh đấu quyền lực. \n Khi còn thiếu niên, [IT] bị đại hoàng tử hãm hại. Để bảo toàn mạng sống, [IT] phải ẩn danh và giả chết để trốn khỏi hoàng cung.
81	Khôi Lỗi Hoàng Đế	[NAME] ba tuổi đã kế thừa ngôi vị hoàng đế. \n Thời thơ ấu của [IT] hầu như chỉ là ngồi trên ngai vàng, tận hưởng sự tâng bốc và nịnh bợ của người khác. [IT] không hề hay biết mình bị nhiếp chính vương thao túng. \n Năm mười ba tuổi, nhiếp chính vương phát động chính biến, [IT] nhờ sự che chở của người thân cận của tiên đế mà thoát chết… nhưng cũng vĩnh viễn từ bỏ cuộc sống xa hoa.
82	Đồng Tử Quân	[NAME] sinh ra trong thời loạn, quân phiệt khắp nơi thu quân, ngay cả trẻ em cũng không tha. [IT] chính là như vậy bị một quân phiệt lớn cưỡng ép gọi nhập vào đội quân nhi đồng. \n Thời thơ ấu, [IT] theo quân đội lưu lạc khắp nơi, chủ yếu phụ trách một số công việc xây dựng sau này. Sau đó, quân phiệt này thất bại, thuộc hạ của [IT] cũng tản mát chạy trốn, mỗi người một ngả.
83	Khoáng Động Cô Nhi	[NAME] có cha mẹ đều là thợ mỏ, [IT] từ nhỏ đã lớn lên trong túp lều của thợ mỏ. \n Trong một lần tai nạn mỏ, cha mẹ [IT] không may qua đời. Để sống sót, [IT] phải gánh vác cái cuốc mỏ từ khi còn nhỏ.
84	Tiểu Thâu	[NAME] có cha là một kẻ giang hồ, mê cờ bạc, sống bằng nghề trộm cắp. Bị ảnh hưởng từ nhỏ, [NAME] cũng từ đó hình thành tính cách không chịu lao động, thích hưởng thụ, và trở thành một tên trộm. \n [IT] sở hữu một ngoại hình đẹp, vẻ ngoài tốt khiến người khác lơ là cảnh giác. Vì vậy, ở độ tuổi nhỏ, [IT] có thể nhiều lần thành công.
85	Tiểu Thâu	[NAME] hồi nhỏ bị bắt cóc, bị một băng nhóm trộm cắp ép buộc trở thành kẻ trộm. \n Trong một lần ăn trộm, [IT] đã đặt một mảnh giấy cầu cứu vào túi của mục tiêu, và thành công thu hút sự chú ý của chính quyền. Băng nhóm trộm cắp bị bắt gọn, [IT] cũng thành công thoát khỏi biển khổ.
86	Tàn Tật Hài Đồng	[NAME] hồi nhỏ bị lợn rừng cắn đứt một bên tai và một cánh tay. Mặc dù [IT] may mắn sống sót, nhưng lại mang di chứng suốt đời. \n [IT] không vì vậy mà nản lòng, mà còn chăm chỉ rèn luyện bản thân. Khi [IT] mười tuổi, [IT] cho rằng mình đã luyện thành, liền đi vào rừng tìm lợn rừng để báo thù. Lần này, [IT] bị va chạm gãy cả hai chân. [IT] từ đó trở nên tuyệt vọng.
87	Tàn Tật Hài Đồng	[NAME] mắc phải một căn bệnh kỳ lạ, từ khi mười tuổi đã không còn lớn lên nữa, khiến [IT] trông như mãi mãi là một đứa trẻ. \n Căn bệnh kỳ lạ này mang đến cho [IT] rất nhiều rắc rối, [IT] không thể tự nuôi sống bản thân như người lớn, và cũng rất khó để được người khác công nhận.
88	Ách Ba	[NAME] hồi nhỏ đã từng sốt cao, làm hỏng não. Điều này khiến [IT] có trí tuệ hơi kém, và mất khả năng nói. \n [IT] vì vậy mà buồn bã, ngày ngày tự nhốt mình trong thế giới của đàn, cờ, sách, họa để tự an ủi.
