白布薄衣衫	Áo mỏng vải trắng
天苍 237年第91日,通过从回忆获取的理智，对躁动的感知，对珍宝的认知，产生了一点灵智碎片。	Thiên Thương năm 237 ngày thứ 91, thông qua lý trí thu nhận từ hồi ức, cảm giác về bồn chồn, nhận thức về trân bảo, đã tạo ra một mảnh linh trí.
天苍 239年第103日,通过从登高获取的理智，对非常担忧的感知，对雷的认知，产生了一点灵智碎片。	Thiên Thương năm 239 ngày thứ 103, thông qua lý trí thu nhận từ Leo cao, cảm giác về Rất lo lắng, nhận thức về Sét, đã tạo ra một mảnh linh trí.
天苍 239年第111日,通过从发呆获取的理智，对有点愤怒的感知，对武器的认知，产生了一点灵智碎片。	Thiên Thương năm 239 ngày thứ 111, thông qua lý trí thu nhận từ Đãng trí, cảm giác về Có chút phẫn nộ, nhận thức về Vũ khí, đã tạo ra một mảnh linh trí.
杀人之兔	Thỏ sát nhân
入定之术	Thuật Nhập Định
百炼诀	Bách Luyện Quyết
博物志	Bác Vật Chí
上清真气	Thượng Thanh Chân Khí
灵淬法	Linh Tẩy Pháp
炼器十要	Luyện Khí Thập Yếu
炼制灵石之术	Thuật Luyện Chế Linh Thạch
御木诀	Ngự Mộc Quyết
化伤术	Hóa Thương Thuật
托体同山诀	Thác Thể Đồng Sơn Quyết
琢玉册	Trác Ngọc Sách
丙丁雷泽火	Bính Đinh Lôi Trạch Hỏa
神火合一·雷泽	Thần Hỏa Hợp Nhất·Lôi Trạch
上清先天真焰	Thượng Thanh Tiên Thiên Chân Diễm
神火合一·上清	Thần Hỏa Hợp Nhất·Thượng Thanh
心焰	Tâm Diễm
神火合一·心焰	Thần Hỏa Hợp Nhất·Tâm Diễm
伐毛洗髓之术	Phạt Mao Tẩy Tủy Thuật
上清秘传造化真解	Thượng Thanh Bí Truyền Tạo Hóa Chân Giải
元灵补天诀	Nguyên Linh Bổ Thiên Quyết
炼制灵晶之术	Thuật Luyện Chế Linh Tinh
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
不！！不，这是什么力量？我为什么会有这样的力量？兔子？我怎么变成了这个样子？我真的没有杀人！	Không!! Không, đây là sức mạnh gì? Tại sao ta lại có sức mạnh như vậy? Thỏ sao? Tại sao ta lại biến thành thế này? Ta thật sự không giết người!
你……你也是来污蔑我的？我要杀了你！！	Ngươi... ngươi cũng đến vu khống ta? Ta sẽ giết ngươi!!


