拜祖师	Bái tổ sư
虎皮休闲下裳	Hưu Nhàn Hạ Thường da hổ
极光甲	Cực Quang giáp
黑布薄下裳	Hắc bố bạc hạ thường
棕石长枪	Trường thương Đá nâu
兔皮	Da thỏ
镇岳恶魄障	Trấn Nhạc Ác Phách Chướng
蛇蛋	Trứng rắn
坤元万魂珠	Khôn Nguyên Vạn Hồn Châu
野猪皮薄下裳	Hạ Thường da lợn rừng mỏng
玄机气摄密卷	Huyền Cơ Khí Nhiếp Mật Quyển
灰石砖	Gạch đá xám
行疆天璇碑	Hành Cương Thiên Huyền Bi
白布清凉下裳	Hưu Nhàn Hạ Thường vải trắng mát
碧光乾坤御	Bích Quang Càn Khôn Ngự
狼皮薄下裳	Quần mỏng da sói
木弓	Cung gỗ
狼皮	Da sói
坤元障	Khôn Nguyên
龟蛋	Trứng rùa
戊土荡魔蛋	Trứng Đả Ma Dismal
观音土	Đất Quan Âm
天心庇世灵宝	Thiên Tâm Tí Thế Linh Bảo
莲花炼心菇	Liên Hoa Luyện Tâm Nấm
灵晶角料	Tinh linh vụn
六合钉	Lục Hợp đinh
多宝琢玉秘传	Đa Bảo Trác Ngọc Bí Truyền
己土阴魂罩	Giáp Kỷ Thổ Âm Hồn
狼皮厚制衣衫	Áo dày da sói
腾岳五行甲	Giáp Ngũ Hành Đằng Nhạc
花布薄下裳	Hạ quần mỏng hoa văn
棕石锤	Búa đá nâu
木料	Gỗ
苍龙五色柱	Thương Long Ngũ Sắc Trụ
地龙天璇灵宝	Địa Long Thiên Toàn Linh Bảo
肉干	Thịt khô
昙花水梨汤	Đàm Hoa Thủy Lê Thang
花布清凉衣衫	Áo mát vải hoa
紫布休闲衣衫	Tử Bố Nhàn Hạ Y Sam
蓝布厚制衣衫	Áo dày vải xanh
龙鳞法衣	Long lân pháp y
阴寰法衣	Pháp Y Âm Hoàn
烬灭法衣	Pháp Y Tàn Diệt
蔽天法衣	Pháp Y Tề Thiên
阳华羽衣	Áo Lông Dương Hoa
日炎金袍	Áo Vàng Lửa Mặt Trời
火浣衣	Hỏa Hoán Y
玄海流仙袍	Huyền Hải Lưu Tiên Bào
幽玄法衣	U Huyền Pháp Y
青鹤云裳	Thanh Hạc Vân Thường
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Có thể ở một mức độ nhất định che giấu khí tức của mình, làm cho bản thân khi ra ngoài luyện tập không dễ bị nhận diện danh tính, giảm tốc độ tăng danh vọng.
匿踪符	Nặc tung phù
七巧蒸洪藕	Thất Xảo Chưng Hồng Ngẫu
牛肉丸	Ngưu Nhục Hoàn
雌龟粪便	Phân rùa cái
干栋	Can Đống
灵晶神秘洞穴	Linh Tinh Hang Động Bí Ẩn
灵石墙	Linh thạch tường
灵石门	Môn Linh thạch
灵石灯笼	Đèn lồng linh thạch
灵石置物台	Kệ đặt linh thạch
傀儡停放点	Điểm đỗ khôi lỗi
灵石床	Linh thạch
灵石手工桌	Bàn thủ công linh thạch
灵石制药桌	Linh thạch Chế Dược Trang
灵石缝纫桌	Bàn may Linh Thạch
灵石画符桌	Bàn vẽ bùa Linh Thạch
灵石纺织机	Linh thạch Máy dệt
灵石石匠台	Bàn thợ đá Linh thạch
灵石磨坊	Xưởng Xay Linh Thạch
灵石水井	Linh Thạch Giếng Nước
灵石丹炉	Lò Đan Linh Thạch
木砍柴处	Nơi đốn củi gỗ
灵石炼宝台	Bàn Luyện Bảo Linh Thạch
灵石熔炉	Lò Linh thạch
灵石锻铁台	Linh thạch Đoàn Thiết Đài
灵石观星台	Đài Quan Tinh Linh Thạch
灵石炉灶	Bếp Lò Linh Thạch
灵石桌子	Bàn Linh Thạch
灵石小方桌	Linh thạch. Bàn vuông nhỏ
灵石水缸	Linh Thạch Chum Nước
练功点	Điểm luyện công
灵石祖师牌位	Bài vị tổ sư Linh Thạch
红布蒲团	Bồ đoàn vải đỏ
历练归来点	Điểm trở về sau lịch luyện
灵石钟	Chuông linh thạch
灵石门派山门	Linh Thạch Môn Phái Sơn Môn
灵石神鹤灯	Linh thạch Đèn Thần Hạc
灵石鼓	Trống linh thạch
灵石黄龙灯台	Linh Thạch Hoàng Long Đăng Đài
灵石琴台	Đàn cầm linh thạch
灵石香炉	Linh Thạch Lư Hương
灵石假人桩	Linh thạch Giả Nhân Trụ
灵石鼎	Đỉnh Linh thạch
灵石围棋桌	Linh Thạch Vi Kỳ Trác
灵石烟花-龙歌	Linh thạch Pháo hoa-Long Ca
灵石护山剑阵	Kiếm Trận Hộ Sơn Linh Thạch
母猫	Mèo cái
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>Đẩu Thế</font> vì <font color=OBJCOLOR>Phong thủy phòng tốt</font> mà tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>Xem qua</font> để giải tỏa.
2天 09:36	2 ngày 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	Vào giờ Ngọ, <font color=MYCOLOR>Đẩu Thế</font> khi <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng thở dài một tiếng.
3天 10:47	3 ngày 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>Đẩu Thế</font> bị <font color=OBJCOLOR>ngủ trên mặt đất</font> làm phiền, chỉ có thể <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> để thả lỏng tâm hồn.
3天 15:18	3 ngày 15:18
钭	Thẩu
世	Thế
建立门派	Thành lập môn phái
私塾学子	Tư Thục Học Tử
朋	Bằng
米	Mễ
秋灵	Thu Linh
双	Song
晓霜	Hiểu Sương
贺	Hạ
扇错	Phiến Thác
庄	Trang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Yến Xuân Thúy</font> rất <font color=OBJCOLOR>thích</font> <font color=OBJCOLOR>ngày nắng</font>.
4天 08:02	4 ngày 08:02
晏	Yến
春翠	Xuân Thúy
彪	Bưu
晁	Triều
碧彤	Bích Đồng
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Trời không một gợn mây, <font color=MYCOLOR>Phong Cương</font> vừa vì phong cảnh tuyệt mỹ mà thở dài cảm thán, nhìn thấy <font color=HECOLOR>Yến Xuân Thúy</font> ngay bên cạnh liền kéo nàng cùng trò chuyện. Khi bàn đến <font color=OBJCOLOR>đèn lồng linh thạch</font>, hai người không ngờ lại đồng điệu tâm hồn, càng nói càng thấu hiểu nhau.
2天 14:10	2 ngày 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	Trong môn phái, <font color=MYCOLOR>Phong Cương</font> thấy <font color=HECOLOR>Yến Xuân Thúy</font> có vẻ đang <font color=OBJCOLOR>chán nản</font>, liền kéo nàng trò chuyện về chủ đề <font color=OBJCOLOR> con mèo</font>.
2天 21:14	2 ngày 21:14
酆	Phong
刚	Cương
清	Thanh sạch
水	Nước
如之	Như Chi
皇甫	Hoàng Phủ
妙松	Diệu Tùng
傀儡	Khôi lỗi
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Buổi trưa, <font color=MYCOLOR>Hàm Nguyên</font> đang <font color=OBJCOLOR>xem qua</font>, bỗng trong đầu hiện lên hình ảnh <font color=OBJCOLOR>Đẩu Thế</font>.
2天 11:00	2 ngày 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Vào chính Ngọ, <font color=MYCOLOR>Hàm Nguyên</font> đang <font color=OBJCOLOR>ngưng thần nhìn trời</font> thì trong đầu bỗng hiện lên hình ảnh <font color=OBJCOLOR>Đẩu Thế</font>.
2天 11:44	2 ngày 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Giờ Tý, <font color=MYCOLOR>Hàm Nguyên</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rất nhớ nhà.
3天 00:51	3 ngày 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Hàm Nguyên</font> vì <font color=OBJCOLOR>Tâm cảnh sáng suốt</font> tâm trạng tốt, không nhịn được đến <font color=OBJCOLOR>chơi nhạc</font> để bày tỏ nỗi lòng.
3天 08:52	3 ngày 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Lúc hoàng hôn, <font color=MYCOLOR>Hàm Nguyên</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bỗng rơi nước mắt.
3天 18:07	3 ngày 18:07
咸	Hàm
元	Nguyên
毛依白	Mao Y Bạch
乐	Nhạc
龙	Long
玉靖	Ngọc Tĩnh
令狐	Lệnh Hồ
梅	Mai
俊书生	Tuấn thư sinh
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	Trong môn phái, <font color=MYCOLOR>Hùng Tử Thạch</font> lặng lẽ <font color=OBJCOLOR>quan sát mây cuộn mây tan</font>, bỗng nhớ tới <font color=OBJCOLOR>mẫu thân Mộ Dung Sơ Ảnh</font>.
2天 19:42	2 ngày 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Hùng Tử Thạch</font> vì <font color=OBJCOLOR>cảnh giới nâng cao</font> tâm trạng tốt, không nhịn được mà đến <font color=OBJCOLOR>chơi nhạc</font> để giải tỏa.
3天 01:42	3 ngày 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Hùng Tử Thạch</font> bị cảm xúc <font color=OBJCOLOR>Cần một căn phòng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
3天 03:38	3 ngày 03:38
3天 09:14	3 ngày 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>Tử Thạch</font> vì <font color=OBJCOLOR>tâm cảnh sáng suốt</font> nên tâm trạng tốt, không kìm được liền <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> để giải bày tâm sự.
3天 10:55	3 ngày 10:55
熊	Gấu
子石	Tử Thạch
玉书	Ngọc Thư
慕容	Mộ Dung
疏影	Sơ Ảnh
刁	Điêu
紫真	Tử Chân
夺命藕	Đoạt Mệnh Ấu
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>Tòng Công</font> vì <font color=OBJCOLOR>Phong cảnh độc đáo</font> mà tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>Đọc sách thưởng thức quyển</font> để giải tỏa.
2天 13:06	2 ngày 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Lúc nhàn rỗi, <font color=MYCOLOR>Tòng Công</font> đang <font color=OBJCOLOR>xem qua</font> bỗng thốt lên một tiếng thở dài.
2天 16:00	2 ngày 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	Trong môn phái, <font color=MYCOLOR>Tòng Công</font> đang <font color=OBJCOLOR>xem qua</font> bỗng rơi nước mắt.
2天 16:54	2 ngày 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Giờ Tý, <font color=MYCOLOR>Tòng Công</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> đột nhiên muốn ăn <font color=OBJCOLOR>canh lê hoa nở đêm</font>.
2天 23:41	2 ngày 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	Lúc hoàng hôn, <font color=MYCOLOR>Tòng Công</font> khi <font color=OBJCOLOR>ngưng thần nhìn trời</font>, bỗng cảm thấy bứt rứt khó hiểu.
4天 20:54	4 ngày 20:54
从	Tòng
功	Công
宁	Yên tĩnh
傲云	Ngạo Vân
解	Giải
丹秋	Thu đỏ
阴蜈蚣	Ngô Công Âm
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Dưới bóng cây, <font color=MYCOLOR>Nam Môn Mặc Trúc</font> đang <font color=OBJCOLOR>ngưng thần nhìn trời</font> bỗng dưng rơi lệ.
2天 09:51	2 ngày 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Vạn lý vô vân, <font color=MYCOLOR>Nam Môn Mặc Trúc</font> khi <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bỗng phát ra một tiếng thở dài.
3天 10:00	3 ngày 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>Nam Môn Mặc Trúc</font> Vì mặc đồ vừa vặn mà Vui vẻ, thấy <font color=HECOLOR>Mao Y Bạch</font> có vẻ đang chán, liền kéo nàng lại trò chuyện về <font color=OBJCOLOR>sở thích</font>.
4天 05:24	4 ngày 05:24
南门	Nam Môn
墨竹	Mặc Trúc
新	Tân
闻人	Văn nhân
妙竹	Diệu Trúc
鄢	Yên
爽	Sảng
妙尊者	Diệu Tôn giả
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>Thiều Hưng</font> vì <font color=OBJCOLOR>tâm cảnh viên mãn</font> tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>ngưng thần nhìn trời</font> để trút lòng.
2天 21:53	2 ngày 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Thiều Hưng</font> lặng lẽ <font color=OBJCOLOR>nhìn trần nhà</font>, đột nhiên nhớ đến <font color=OBJCOLOR>cha Thiều Tịch Huyền</font> của bản thân.
3天 21:17	3 ngày 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Trời xanh vạn lý, <font color=MYCOLOR>Thiều Hưng</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ đến <font color=OBJCOLOR>mẹ Phượng Loan</font> của mình.
3天 22:05	3 ngày 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>Thiệu Hưng</font> bị cảm xúc <font color=OBJCOLOR>Cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi cờ</font> để thả lỏng tâm hồn.
4天 03:12	4 ngày 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Trời quang vạn lý, <font color=MYCOLOR>Thiều Hưng</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> bỗng hình ảnh <font color=OBJCOLOR>Đẩu Thế</font> hiện lên trong đầu.
4天 04:16	4 ngày 04:16
韶	Thiều
兴	Hưng
寂弦	Tịch Huyền
勾	Câu
凤鸾	Phượng Loan
万剑君	Vạn Kiếm
天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Trời trong xanh, <font color=MYCOLOR>Đào Phi</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bỗng thốt lên một tiếng thở dài.
2天 11:22	2 ngày 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	Giờ chiều tối, <font color=MYCOLOR>Đào Phi</font> đang <font color=OBJCOLOR>quan sát sao đêm</font> bỗng nhớ nhà.
2天 20:07	2 ngày 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	Giờ Tý, <font color=MYCOLOR>Đào Phi</font> khi đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng rất nhớ nhà.
3天 23:45	3 ngày 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	Trong môn phái, <font color=MYCOLOR>Đào Phi</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, bỗng nhớ đến <font color=OBJCOLOR>phụ thân Đào Tịch Huyền</font>.
4天 11:37	4 ngày 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Trong môn phái, <font color=MYCOLOR>Đào Phi</font> đang <font color=OBJCOLOR>chơi cờ</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>Đàm Hoa Thủy Lê Thang</font>.
4天 14:25	4 ngày 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	Trong môn phái, <font color=MYCOLOR>Đào Phi</font> lặng lẽ <font color=OBJCOLOR>Chơi cờ</font>, bỗng nhớ đến <font color=OBJCOLOR>mẫu thân Quốc Đại</font> của mình.
4天 15:23	4 ngày 15:23
陶	Đào
飞	Phi
友菱	Hữu Lăng
国	Quốc
黛	Đại
逆浪君	Nghịch Lãng quân
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	Giờ Dậu, <font color=MYCOLOR>Cát Mộ Nhi</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>mãu thân Lỗ Chi Ngọc</font>.
3天 18:28	3 ngày 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Trời quang đãng, <font color=MYCOLOR>Mộ Nhi</font> đang <font color=OBJCOLOR>chơi cờ</font> thì đột nhiên cảm thấy <font color=OBJCOLOR>Đài cầm Linh thạch</font> bên cạnh rất thú vị…
4天 08:47	4 ngày 08:47
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Trong môn phái, <font color=MYCOLOR>Cát Mộ Nhi</font> một mình <font color=OBJCOLOR>chơi cờ</font>, bỗng dưng nghĩ ngợi miên man.
4天 10:42	4 ngày 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>Cát Mộ Nhi</font> đang nhàn rỗi giết thời gian, thấy <font color=HECOLOR>Mao Y Bạch</font> đi ngang qua liền kéo nàng lại trò chuyện về <font color=OBJCOLOR>cần phòng</font>.
4天 12:00	4 ngày 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Giữa trưa, <font color=MYCOLOR>Mộ Nhi</font> đang <font color=OBJCOLOR>nhảy múa</font> bỗng cảm thấy <font color=OBJCOLOR>đài cầm linh thạch</font> bên cạnh khá thú vị..
4天 14:38	4 ngày 14:38
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>Cát Mộ Nhi</font> vì <font color=OBJCOLOR>Trò Chuyện</font> mà tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>Nhìn Trần Nhà</font> để giãi bày.
4天 17:46	4 ngày 17:46
葛	Cát
慕儿	Mộ Nhi
友	Hữu
鲁	Lỗ
之玉	Chi Ngọc
汲	Cấp
遮月	Già Nguyệt
坤元圭	Khôn Nguyên khuê
海	Hải
乜	Khiết
珊	San
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	Giờ Nhật Trung, <font color=MYCOLOR>Hề Thuận</font> đang <font color=OBJCOLOR>xem qua</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>bánh mì</font>.
2天 12:27	2 ngày 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	Giờ Thân, <font color=MYCOLOR>Hề Thuận</font> một mình <font color=OBJCOLOR>quan sát mây cuộn mây tan</font>, bỗng dưng suy nghĩ miên man.
2天 16:14	2 ngày 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Trời quang mây tạnh, <font color=MYCOLOR>Hề Thuận</font> đang <font color=OBJCOLOR>xem qua</font>, bỗng trong đầu hiện lên hình ảnh <font color=OBJCOLOR>Đẩu Thế</font>.
2天 16:58	2 ngày 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Hề Thuận</font> trong lúc <font color=OBJCOLOR>chơi cờ</font> bỗng nhiên muốn ăn <font color=OBJCOLOR>phân sói</font>.
3天 04:14	3 ngày 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Ánh chiều nghiêng, tâm trạng mệt mỏi, <font color=MYCOLOR>Hề Thuận</font> khi <font color=OBJCOLOR>thư họa</font>, bỗng cảm thấy ngột ngạt.
3天 13:34	3 ngày 13:34
奚	Hề
顺	Thuận
苗宣	Miêu Tuyên
容	Dung
春柏	Xuân Bách
震雷竹	Chấn Lôi trúc
