ID	Name	Desc	EndDesc
33	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
34	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
39	Thái Nhất thạch hộ	Nghe nói thợ săn ở làng Nam Bình đã phát hiện một thi thể dưới chân núi Nguyệt Luân, thi thể mang theo một chiếc hộp đá, không bị nước lửa xâm phạm, rất kỳ lạ. \n    (Kích hoạt bí văn, vui lòng đến bảng [color=#D06508]Thiên Hạ[/color], nhấp vào nút bí văn ở góc dưới bên phải để xem bí văn. Nhấp vào bí văn có thể chuyển đến địa điểm bí văn, nếu địa điểm chưa được mở khóa, cần phải luyện tập nhiều hơn để mở khóa địa điểm mới.)	
40	Trở về Thái Nhất	Tính ra đã qua hơn nửa tháng, không biết kẻ thù đã tiêu diệt môn phái Thái Nhất có rời đi hay không. Có lẽ có thể quay về Thái Nhất môn xem có manh mối gì không.	
41	Tiên kiếm lệnh	Trong giới tu hành truyền tai nhau, có mười bảy tên tội đồ của Thiên Hồn Giáo đã vượt ngục từ nhà tù núi Thục, núi Thục đã phát đi lệnh mời tu sĩ khắp thiên hạ tiêu diệt yêu nhân, chắc chắn sẽ có thưởng lớn.	Shushan đã thu hồi kiếm lệnh, mười bảy tên tàn dư của Thiên Hồn Giáo đã bị tiêu diệt hoàn toàn.
42	Hành tung ma giáo	Nghe nói có tàn dư của Thiên Hồn Giáo đã trốn đến [TXT], họ để phục hồi công lực, sẽ tìm kiếm những người phàm có linh hồn mạnh mẽ để tu luyện ma công, có thể thiết lập bẫy để bắt giữ họ.	Tàn dư của Thiên Hồn Giáo đã không còn dấu vết, không thể tìm thấy.
43	Khôn Lôn pháp hội	Hàng năm, hội pháp hội kéo dài bảy ngày tại núi Kunlun mở ra, các môn phái bất kể chính tà đều cử ra những đại diện xuất sắc nhất để tụ tập tại núi Kunlun luận đạo đấu pháp, tranh giành tiên duyên.	Pháp hội Kunlun đã kết thúc.
44	Tiên duyên đại hội	Hội tiên duyên hàng năm trong giới tu hành sẽ mở ra, các đại phái tụ tập tại [TXT], chiêu mộ những đệ tử có phẩm chất. Một thời gian, những nhân tài có chí cầu tiên hỏi đạo trên khắp thiên hạ tụ tập tại đây.	Đại hội Tiên Duyên đã kết thúc.
45	Tà đế lăng mở ra	Lăng mộ của Tà Đế Nam Hoang đã đến thời điểm mở ra ba năm một lần. Nghe nói lăng mộ tà đế sẽ mở ra liên tục trong hai mươi tám ngày, những ai có duyên đều có khả năng nhận được truyền thừa của tà đế. Một thời gian, giới tu hành phong ba hội tụ tại Nam Hoang.	Lăng mộ của Tà Đế đã đóng lại.
46	Kim hộ mở ra	Tại hồ Ngọc Tinh ở đại tuyết nguyên gần đây nước hồ dâng lên cuồn cuộn, báo hiệu rằng kho báu trong chiếc hộp vàng sắp được mở ra sau bảy ngày. Kho báu trong hộp vàng chứa đựng những kỳ trân dị bảo mà Ma Đế Phụ Bích Không đã thu thập khắp thiên hạ, các tu sĩ trên toàn thế giới đều ùn ùn kéo đến.	Kho báu trong hộp vàng đã đóng lại, lần mở này đã bị chia sẻ sạch sẽ.
47	Dị giới động loạn	Gần đây có tin đồn từ thành Quan Hải, trong biển sâu phía Bắc xuất hiện một vùng biển mù sương, có vào mà không có ra, vô cùng nguy hiểm.	
48	Dị giới huyền bí	Vết nứt dị giới lại xuất hiện, không biết có cơ duyên gì mới không.	
49	Đánh bạc Diệp Huyền	Có người nói hôm nay thấy Diệp Huyền ở [TXT] xuất hiện. Truyền thuyết rằng Diệp Huyền này rất thích thu thập kỳ trân dị bảo khắp nơi, tính cách kỳ quái, mê cờ bạc như mạng sống, thường dùng bảo vật để đánh cược tuổi thọ của người khác. Trong trăm năm qua, có không ít kẻ liều mạng thua hết tuổi thọ mà chết dưới tay hắn, kẻ thù khắp nơi. Chỉ là hắn tinh thông thuật độn, đến nay không ai có thể bắt được hắn.	Đồ cờ bạc Diệp Huyền đã rời khỏi [TXT], không biết nơi nào.
50	Cổ Thiên Cực phù	Các môn phái đều có biểu tượng riêng của mình để làm dấu hiệu khi đi khắp thiên hạ, chẳng hạn như phù kiếm của núi Thục, phù Thiên Cực của Cực Thiên Cung... Sau khi đọc kỹ "Quần Tiên Lục: Quyển ba", bạn nhạy bén phát hiện ra dấu hiệu mà Thiên Cực lão tổ đã sử dụng khi đi khắp thiên hạ có sự khác biệt lớn so với phù Thiên Cực hiện nay đại diện cho Cực Thiên Cung, bạn cảm thấy điều này thật kỳ lạ, vì vậy thông tin này mặc dù không có gì hữu ích nhưng bạn vẫn ghi nhớ lại.	
51	Di hài trở về tông	Trả lại hóa thân của Thiên Cực lão tổ cho Cực Thiên Cung, để một bậc thầy có thể hưởng thụ sự cúng bái của đồ đệ hậu bối.	
52	Cuốn hình ảnh	Bảo bối tiên thiên Hỗn Độn "Vạn Tượng Khắc Ảnh Quyển" vừa xuất hiện tại Bình Đỉnh Sơn ở Trung Nguyên, truyền rằng vật này có thể triệu hồi linh hồn của sinh linh trong thiên địa hiện ra, kỳ diệu vô cùng.	
53	Dấu tích giao long	Gần đây từ [TXT] cảm ứng được hơi thở của rồng xuất hiện.	Hơi thở của rồng đã biến mất không dấu vết...
54	Dấu tích hung phượng	Gần đây từ [TXT] cảm ứng được hơi thở của phượng hoàng xuất hiện.	Hơi thở của phượng hoàng đã biến mất không dấu vết...
55	Hơi thở âm dương	Gần đây từ [TXT] cảm ứng được hơi thở bất thường của đạo âm dương.	Hơi thở bất thường của đạo âm dương đã biến mất...
56	Truyền thuyết cổ tu	Gần đây có tin đồn, [TXT] có thông tin của những tu sĩ cổ đại rò rỉ ra ngoài.	Tin đồn về tu sĩ cổ đại xuất hiện tại [TXT] đã rời đi...
57	Dấu vết cố nhân	Gần đây, có một số dân làng gần đó nói rằng trên núi Đồng Long xuất hiện một người kỳ quái, hai cánh tay dài bất thường, bước đi như bay, vượt núi lội suối như đi trên mặt đất. Nghe hình dáng của người này, có vẻ như là sư huynh thứ bảy trong môn phái ngày xưa mê mẩn thuật trận. Không lẽ hắn cũng sống sót qua cuộc đại nạn này? Có lẽ nên tìm thời gian để xem xét.	
58	Kim hộ mở ra	Tại hồ Ngọc Tinh ở đại tuyết nguyên gần đây nước hồ dâng lên cuồn cuộn, báo hiệu rằng kho báu trong chiếc hộp vàng sắp được mở ra sau bảy ngày. Kho báu trong hộp vàng chứa đựng những kỳ trân dị bảo mà Ma Đế Phụ Bích Không đã thu thập khắp thiên hạ, các tu sĩ trên toàn thế giới đều ùn ùn kéo đến.	Kho báu trong hộp vàng đã đóng lại, lần mở này đã bị chia sẻ sạch sẽ.
59	Chiến tranh phàm nhân	Gần đây, [TXT] khu vực xảy ra một cuộc chiến tranh giữa những người phàm, dân chúng chết chóc không đếm xuể, xác chết nằm la liệt.	Một tu sĩ đi qua không nỡ nhìn sinh linh bị tổn thương, đã sử dụng tiên pháp để chấm dứt cuộc chiến này.
60	Dịch bệnh hoành hành	Gần đây, [TXT] bùng phát một trận dịch bệnh, dân chúng chết chóc rất nhiều, một thời gian lòng người hoang mang.	Một tu sĩ đi qua không nỡ nhìn sinh linh bị tổn thương, đã dùng pháp lực để xóa bỏ dịch bệnh.
61	Yêu tà loạn thế	Gần đây, có một bọn yêu tà đang quấy rối và luyện pháp ở [TXT], không ít người phàm bị bắt cóc và giết hại, một thời gian tin đồn lan truyền, lòng người hoảng loạn.	Một tu sĩ đi qua đã ra tay khuất phục yêu tà.
62	Thiên tai đột phát	Gần đây, [TXT] khu vực xảy ra một trận thiên tai, có rất nhiều người phàm chết trong thảm họa, một thời gian tiếng khóc vang khắp nơi.	Một tu sĩ đi qua đã ra tay bình định thiên tai, an ổn cho những người sống sót.
63	Kim hộ mở ra	Tại hồ Ngọc Tinh ở đại tuyết nguyên gần đây nước hồ dâng lên cuồn cuộn, báo hiệu rằng kho báu trong chiếc hộp vàng sắp được mở ra sau bảy ngày. Kho báu trong hộp vàng chứa đựng những kỳ trân dị bảo mà Ma Đế Phụ Bích Không đã thu thập khắp thiên hạ, các tu sĩ trên toàn thế giới đều ùn ùn kéo đến.	Kho báu trong hộp vàng đã đóng lại, lần mở này đã bị chia sẻ sạch sẽ.
64	Đạo thống hiện thế	Nghe nói [TXT] sao ban ngày rơi xuống, đất phun ra hoa vàng, nghi có đạo thống của bậc tiền bối tiên nhân sắp xuất thế, thu hút các tu sĩ bốn phương tụ tập.	Một tu sĩ bí ẩn đã nhận được đạo thống của tiên nhân tiền bối.
65	Pháp môn thất truyền	Với quy mô đại lý ngày càng mở rộng, chúng tôi đã thu hút được nhiều tín đồ hơn ở Lingnan, tin tức cũng dần trở nên thông suốt. Gần đây, người đại lý đã truyền về tin tức, nói rằng có dân chúng phát hiện một di tích kỳ bí dưới một khe núi, dường như có điều gì kỳ lạ, đáng để đi điều tra một phen.	Nghe nói rằng khe núi đó đã xảy ra sụp đổ, di tích đã bị hủy hoại trong chốc lát, thật sự rất đáng tiếc.
66	Kim hộ mở ra	Tại hồ Ngọc Tinh ở đại tuyết nguyên gần đây nước hồ dâng lên cuồn cuộn, báo hiệu rằng kho báu trong chiếc hộp vàng sắp được mở ra sau bảy ngày. Kho báu trong hộp vàng chứa đựng những kỳ trân dị bảo mà Ma Đế Phụ Bích Không đã thu thập khắp thiên hạ, các tu sĩ trên toàn thế giới đều ùn ùn kéo đến.	Kho báu trong hộp vàng đã đóng lại, lần mở này đã bị chia sẻ sạch sẽ.
67	Dị giới kỳ văn	Gần đây trong giới tu hành truyền tai nhau, có người từ sâu trong vết nứt dị giới phát hiện ra một con đường bí ẩn. Theo lời người này, đầu bên kia của con đường cực kỳ nguy hiểm, trong đó có những sinh linh tu sĩ chưa từng nghe thấy, nhưng thực lực thậm chí còn mạnh mẽ hơn cả những tu sĩ cổ đại gấp nhiều lần. Tuy nhiên, tin đồn này quá phóng đại, bị người ta coi là giai thoại để cười đùa.	
68	Khách từ dị giới	Gần đây trong giới tu hành truyền tai nhau, có người phát hiện ra một số dấu vết kỳ lạ trong vết nứt dị giới, dường như có một số tu sĩ từ phía bên kia của vết nứt xuất hiện...	
1000	Trưởng lão xuất hành	Theo truyền thuyết {0} có đại năng {1} đang hoạt động ở {2}.	Đại năng {0} {1} đã mất dấu tại {2}.
1001	Đan Hạ động thiên tiến cống	Lại đến ngày hàng năm tiến cống của Đan Hạ Động Thiên, có thể cử đệ tử đi thu nhận cống phẩm.	
1002	Khôn Lôn cung tiến cống	Lại đến ngày hàng năm tiến cống của Côn Luân Cung, có thể cử đệ tử đi thu nhận cống phẩm.	
1003	Cực Thiên cung tiến cống	Lại đến ngày hàng năm tiến cống của Cực Thiên Cung, có thể cử đệ tử đi thu nhận cống phẩm.	
1004	Tử Tiêu tông tiến cống	Lại đến ngày hàng năm tiến cống của Tử Tiêu Tông, có thể cử đệ tử đi thu nhận cống phẩm.	
1005	Huyền Nhất đạo tiến cống	Lại đến ngày hàng năm tiến cống của Huyền Nhất Đạo, có thể cử đệ tử đi thu nhận cống phẩm.	
1006	Thanh Liên kiếm tông tiến cống	Lại đến ngày hàng năm tiến cống của Thanh Liên Kiếm Tông, có thể cử đệ tử đi thu nhận cống phẩm.	
1007	Tịch Hạ động thiên tiến cống	Lại đến ngày hàng năm tiến cống của Tịch Hạ Động Thiên, có thể cử đệ tử đi thu nhận cống phẩm.	
1008	Bách Man sơn tiến cống	Lại đến ngày hàng năm tiến cống của Bách Man Sơn, có thể cử đệ tử đi thu nhận cống phẩm.	
1009	Thất Thiên Vũng tiến cống	Lại đến ngày hàng năm tiến cống của Thất Thiên Cốc, có thể cử đệ tử đi thu nhận cống phẩm.	
1010	Thất Sát ma cung tiến cống	Lại đến ngày hàng năm tiến cống của Thất Sát Ma Cung, có thể cử đệ tử đi thu nhận cống phẩm.	
1011	Hợp Hoan phái tiến cống	Lại đến ngày hàng năm tiến cống của Hợp Hoan Phái, có thể cử đệ tử đi thu nhận cống phẩm.	
1012	Vạn Yêu điện tiến cống	Lại đến ngày hàng năm tiến cống của Vạn Yêu Điện, có thể cử đệ tử đi thu nhận cống phẩm.	
1013	Hành tung	Đã nhận được tin tức [EXTXT] đến [TXT].	[EXTXT] đã mất dấu tại [TXT].
1014	Ẩn dấu xuất hành		
1015	Trưởng lão xuất hành	Theo truyền thuyết {0} có đại năng {1} đang hoạt động ở {2}.	Đại năng {0} {1} đã mất dấu tại {2}.
9000	Tái xây dựng ủy quyền	Nghe nói tín đồ của Thái Nhất Môn không nơi nào để thờ phụng, tiếng oán than vang dậy, có nên đi hỏi cho rõ ràng không?	
9001	Tiêu diệt phản đồ	Môn phái {0} - Nghe nói đệ tử phản bội của môn phái {0} đã trốn đến đây. Họ mong bạn đi khống chế hắn.	
9002	Vật phàm đấu giá	Hội đấu giá lại bắt đầu. Lần này hội đấu giá bán một số vật phẩm thông dụng.	
9003	Chém ác trừ tà	Giết chết đệ tử {0} của tán tu {1} gần đây đang hoạt động ở {2}, bạn đã hứa với {0} sẽ giúp báo thù.	
9004	Thanh trừ gián điệp	Gián điệp của {0} {1} đã chạy trốn đến {2}. Bạn đã hứa với {0} sẽ đi tiêu diệt hắn.	
9005	Tiêu diệt phản đồ	Đệ tử phản bội của {0} {1} đã chạy trốn đến {2}. Bạn đã hứa với {0} sẽ đi tiêu diệt hắn.	
9006	Sự kiện hạn hán	[TXT] đột nhiên xảy ra [EXTXT], người phàm chết chóc vô số, tiếng oán than vang dậy, lòng người hoang mang.	Có người tại đây đã sử dụng pháp lực ảnh hưởng đến thảm họa, nếu tiếp tục đi tới sẽ tổn hại đến thiên đạo.
9007	Sự kiện lũ lụt	[TXT] đột nhiên xảy ra [EXTXT], người phàm chết chóc vô số, tiếng oán than vang dậy, lòng người hoang mang.	Có người tại đây đã sử dụng pháp lực ảnh hưởng đến thảm họa, nếu tiếp tục đi tới sẽ tổn hại đến thiên đạo.
9008	Sự kiện lạnh giá	[TXT] đột nhiên xảy ra [EXTXT], người phàm chết chóc vô số, tiếng oán than vang dậy, lòng người hoang mang.	Có người tại đây đã sử dụng pháp lực ảnh hưởng đến thảm họa, nếu tiếp tục đi tới sẽ tổn hại đến thiên đạo.
9009	Sự kiện động đất	[TXT] đột nhiên xảy ra [EXTXT], người phàm chết chóc vô số, tiếng oán than vang dậy, lòng người hoang mang.	Có người tại đây đã sử dụng pháp lực ảnh hưởng đến thảm họa, nếu tiếp tục đi tới sẽ tổn hại đến thiên đạo.
9010	Dã thú khai trí		Thú hoang được khai trí đã bị người khác mang đi.
9011	Huyền cơ đấu giá	Hội đấu giá lại bắt đầu. Lần này các vật phẩm đấu giá rất bí ẩn, không thể nhận diện.	
9012	Bách vật đấu giá	Hội đấu giá lại bắt đầu. Lần này các vật phẩm đấu giá rất đa dạng, người tham gia cũng đủ loại.	
9013	Châu báu đấu giá	Hội đấu giá lại bắt đầu. Lần này các vật phẩm đấu giá đều là kỳ trân dị bảo, khách đến cũng đều là nhân tài xuất chúng!	
9100	Long Nhai thạch khắc	Nghe nói sâu trong Đại Mạc bỗng nhiên đất trời sụp đổ, khắc đá Long Nhai - thánh địa của yêu tộc thời cổ đại lại xuất hiện trên nhân gian!	
9101	Long Nhai thạch khắc	Nghe nói sâu trong Đại Mạc bỗng nhiên đất trời sụp đổ, khắc đá Long Nhai - thánh địa của yêu tộc thời cổ đại lại xuất hiện trên nhân gian!	
2001	Dấu vết đan sư	Nghe nói gần đây Nguyệt Luân Sơn xảy ra dị thường, có kẻ thấy Đan Sư cổ đại xuất hiện, nên phái đệ tử đến khám phá một phen!	


